 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, rowcost
Eb major (3b), 1+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:2, 6+0:1:0:0:3, 6+0:2:0:0:4, 3+0:0:0:0:2, 3+0:0:0:0:1, 6+0:2:0:0:4, 3+0:1:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:2, 4+0:1:0:0:3, 6+0:2:0:0:4, 4+0:2:0:0:3, 4+0:2:1:0:2, 2+0:0:0:0:1, 4+0:0:0:0:2, 4+0:1:0:0:3, 4+0:1:0:0:3, 3+0:0:0:0:2, 3+0:0:0:0:2, 6+0:1:0:0:3, 6+0:2:0:0:4, 5+0:1:0:0:3, 3+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 101+0:19:1:0:63
A major (3#), 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:2:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:1, 3+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 4+0:1:0:0:1, 5+0:1:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 73+0:10:0:0:8
C minor (3b), 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:1:0:0:1, 5+0:2:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:2:0:0:2, 3+0:1:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 5+0:2:0:0:1, 3+0:2:0:0:1, 4+0:2:1:0:2, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:1:0:0:1, 5+0:2:0:0:1, 4+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 80+0:19:1:0:13
F# minor (3#), 3+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:2, 4+0:1:0:0:2, 4+0:1:0:0:2, 4+0:0:0:0:1, 4+0:1:0:0:3, 2+0:0:0:0:0, 3+0:0:0:0:1, 6+0:2:0:0:4, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:1:0:0:1, 3+0:0:0:0:2, 5+0:1:0:0:3, 2+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:2, 4+0:1:0:0:2, 4+0:1:0:0:2, 6+0:1:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:2, 94+0:10:0:0:40
Ab major (4b), 1+0:0:0:0:1, 3+0:0:0:0:3, 4+0:0:0:0:3, 7+0:1:0:0:4, 7+0:2:0:0:5, 3+0:0:0:0:3, 4+0:0:0:0:2, 7+0:2:0:0:5, 4+0:1:0:0:3, 4+0:0:0:0:2, 2+0:0:0:0:2, 5+0:1:0:0:4, 7+0:2:0:0:5, 5+0:2:0:0:4, 5+0:2:1:0:3, 3+0:0:0:0:2, 5+0:0:0:0:3, 5+0:1:0:0:4, 5+0:1:0:0:4, 3+0:0:0:0:3, 4+0:0:0:0:3, 7+0:1:0:0:4, 7+0:2:0:0:5, 5+0:1:0:0:4, 4+0:0:0:0:3, 2+0:0:0:0:2, 3+0:0:0:0:2, 121+0:19:1:0:88
E major (4#), 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:1:0:0:1, 5+0:1:0:0:1, 3+0:0:0:0:0, 5+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:2:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:1, 4+0:0:0:0:0, 5+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:1:0:0:1, 5+0:1:0:0:1, 5+0:1:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 93+0:10:0:0:10
F minor (4b), 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:1:0:0:1, 8+0:2:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:0, 6+0:2:0:0:2, 3+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 6+0:2:0:0:2, 5+0:2:0:0:2, 5+0:2:0:0:2, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:1:0:0:1, 4+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:1:0:0:1, 8+0:2:0:0:2, 4+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 103+0:19:0:0:19
C# minor (4#), 1+0:0:0:0:1, 4+0:0:0:0:3, 5+0:0:0:0:3, 5+0:1:0:0:3, 6+0:1:0:0:3, 4+0:0:0:0:3, 6+0:1:0:0:4, 3+0:0:0:0:1, 3+0:0:0:0:2, 6+0:2:0:0:5, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:2, 3+0:0:0:0:1, 2+0:1:0:0:1, 5+0:0:0:0:3, 6+0:1:0:0:4, 3+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:3, 5+0:0:0:0:3, 5+0:1:0:0:3, 6+0:1:0:0:3, 6+0:1:0:0:4, 5+0:0:0:0:3, 2+0:0:0:0:2, 5+0:0:0:0:3, 114+0:10:0:0:69
Db major (5b), 2+0:0:0:0:1, 4+0:0:0:0:3, 5+0:0:0:0:4, 7+0:1:0:0:5, 7+0:2:0:0:6, 4+0:0:0:0:3, 5+0:0:0:0:3, 7+0:2:0:0:6, 5+0:1:0:0:4, 5+0:0:0:0:3, 3+0:0:0:0:2, 6+0:1:0:0:5, 8+0:2:0:0:6, 6+0:2:0:0:5, 5+0:2:1:0:4, 4+0:0:0:0:3, 6+0:0:0:0:4, 6+0:1:0:0:5, 6+0:1:0:0:5, 4+0:0:0:0:3, 5+0:0:0:0:4, 7+0:1:0:0:5, 7+0:2:0:0:6, 6+0:1:0:0:4, 5+0:0:0:0:4, 3+0:0:0:0:2, 4+0:0:0:0:3, 142+0:19:1:0:108
B major (5#), 2+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:1, 5+0:1:0:0:1, 6+0:1:0:0:1, 4+0:0:0:0:1, 6+0:1:0:0:2, 3+0:0:0:0:0, 4+0:0:0:0:0, 7+0:2:0:0:3, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:1:0:0:1, 5+0:0:0:0:1, 6+0:1:0:0:2, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:1, 5+0:1:0:0:1, 6+0:1:0:0:1, 6+0:1:0:0:2, 5+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:1, 118+0:10:0:0:23
Bb minor (5b), 2+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 6+0:1:0:0:2, 6+0:2:0:0:3, 3+0:0:0:0:1, 4+0:0:0:0:1, 6+0:2:0:0:3, 4+0:1:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:1, 5+0:1:0:0:2, 7+0:2:0:0:3, 5+0:2:0:0:3, 4+0:2:1:0:3, 3+0:0:0:0:1, 5+0:0:0:0:1, 5+0:1:0:0:2, 5+0:1:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:1, 6+0:1:0:0:2, 6+0:2:0:0:3, 5+0:1:0:0:2, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 117+0:19:1:0:42
G# minor (5#), 1+0:0:0:0:1, 4+0:0:0:0:3, 5+0:0:0:0:4, 5+0:1:0:0:4, 7+0:1:0:0:4, 4+0:0:0:0:3, 6+0:1:0:0:5, 3+0:0:0:0:2, 5+0:0:0:0:3, 7+0:2:0:0:6, 2+0:0:0:0:2, 3+0:0:0:0:2, 5+0:0:0:0:3, 4+0:0:0:0:2, 4+0:1:0:0:2, 5+0:0:0:0:4, 6+0:1:0:0:5, 3+0:0:0:0:2, 5+0:0:0:0:3, 4+0:0:0:0:3, 5+0:0:0:0:4, 5+0:1:0:0:4, 7+0:1:0:0:4, 6+0:1:0:0:4, 5+0:0:0:0:4, 3+0:0:0:0:2, 5+0:0:0:0:4, 124+0:10:0:0:89
Gb major (6b), 3+0:0:0:0:2, 5+0:0:0:0:4, 6+0:0:0:0:5, 8+0:1:0:0:6, 8+0:2:0:0:7, 5+0:0:0:0:4, 6+0:0:0:0:4, 7+0:2:0:0:7, 6+0:1:0:0:5, 6+0:0:0:0:4, 4+0:0:0:0:3, 6+0:1:0:0:6, 8+0:2:0:0:7, 6+0:2:0:0:6, 5+0:2:1:0:4, 5+0:0:0:0:4, 7+0:0:0:0:5, 6+0:1:0:0:6, 7+0:1:0:0:6, 5+0:0:0:0:4, 6+0:0:0:0:5, 8+0:1:0:0:6, 8+0:2:0:0:7, 7+0:1:0:0:5, 6+0:0:0:0:5, 4+0:0:0:0:3, 5+0:0:0:0:4, 163+0:19:1:0:134
F# major (6#), 3+0:0:0:0:1, 5+0:0:0:0:1, 6+0:0:0:0:2, 6+0:1:0:0:2, 6+0:1:0:0:2, 5+0:0:0:0:1, 6+0:1:0:0:3, 4+0:0:0:0:0, 5+0:0:0:0:1, 8+0:2:0:0:4, 3+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 4+0:1:0:0:1, 5+0:0:0:0:2, 7+0:1:0:0:3, 4+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:0:0:1, 6+0:0:0:0:2, 6+0:1:0:0:2, 6+0:1:0:0:2, 7+0:1:0:0:2, 6+0:0:0:0:2, 4+0:0:0:0:1, 5+0:0:0:0:2, 139+0:10:0:0:40
Eb minor (6b), 3+0:0:0:0:1, 5+0:0:0:0:2, 5+0:0:0:0:2, 7+0:1:0:0:3, 7+0:2:0:0:4, 5+0:0:0:0:2, 5+0:0:0:0:1, 6+0:2:0:0:4, 5+0:1:0:0:2, 5+0:0:0:0:1, 4+0:0:0:0:2, 5+0:1:0:0:3, 7+0:2:0:0:4, 5+0:2:0:0:3, 4+0:2:1:0:2, 4+0:0:0:0:1, 6+0:0:0:0:2, 5+0:1:0:0:3, 6+0:1:0:0:3, 5+0:0:0:0:2, 5+0:0:0:0:2, 7+0:1:0:0:3, 7+0:2:0:0:4, 7+0:1:0:0:3, 5+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:1, 143+0:19:1:0:63
D# minor (6#), 3+0:0:0:0:2, 5+0:0:0:0:3, 6+0:0:0:0:5, 6+0:1:0:0:5, 6+0:1:0:0:5, 5+0:0:0:0:3, 6+0:1:0:0:6, 5+0:0:0:0:3, 5+0:0:0:0:4, 8+0:2:0:0:7, 3+0:0:0:0:2, 5+0:0:0:0:3, 6+0:0:0:0:4, 4+0:0:0:0:3, 5+0:1:0:0:3, 5+0:0:0:0:5, 7+0:1:0:0:6, 5+0:0:0:0:3, 5+0:0:0:0:4, 5+0:0:0:0:3, 6+0:0:0:0:5, 6+0:1:0:0:5, 6+0:1:0:0:5, 7+0:1:0:0:4, 6+0:0:0:0:5, 4+0:0:0:0:3, 5+0:0:0:0:5, 145+0:10:0:0:111
Cb major (7b), 2+0:0:0:0:2, 6+0:0:0:0:5, 7+0:0:0:0:5, 8+0:1:0:0:7, 8+0:2:0:0:7, 6+0:0:0:0:5, 7+0:0:0:0:5, 7+0:2:0:0:7, 6+0:1:0:0:6, 7+0:0:0:0:5, 4+0:0:0:0:4, 6+0:1:0:0:6, 8+0:2:0:0:7, 6+0:2:0:0:6, 5+0:2:0:0:4, 6+0:0:0:0:5, 8+0:0:0:0:6, 6+0:1:0:0:6, 7+0:1:0:0:6, 6+0:0:0:0:5, 7+0:0:0:0:5, 8+0:1:0:0:7, 8+0:2:0:0:7, 8+0:1:0:0:6, 7+0:0:0:0:6, 4+0:0:0:0:4, 6+0:0:0:0:5, 174+0:19:0:0:149
C# major (7#), 2+0:0:0:0:1, 6+0:0:0:0:2, 7+0:0:0:0:3, 7+0:1:0:0:3, 7+0:1:0:0:3, 6+0:0:0:0:2, 7+0:1:0:0:4, 5+0:0:0:0:1, 5+0:0:0:0:2, 8+0:2:0:0:5, 4+0:0:0:0:2, 5+0:0:0:0:1, 6+0:0:0:0:2, 4+0:0:0:0:1, 4+0:1:0:0:1, 6+0:0:0:0:3, 8+0:1:0:0:4, 5+0:0:0:0:1, 6+0:0:0:0:2, 6+0:0:0:0:2, 7+0:0:0:0:3, 7+0:1:0:0:3, 7+0:1:0:0:3, 8+0:1:0:0:3, 7+0:0:0:0:3, 4+0:0:0:0:2, 6+0:0:0:0:3, 160+0:10:0:0:65
Ab minor (7b), 1+0:0:0:0:0, 5+0:0:0:0:3, 6+0:0:0:0:2, 8+0:1:0:0:4, 8+0:2:0:0:4, 5+0:0:0:0:3, 6+0:0:0:0:2, 7+0:2:0:0:5, 5+0:1:0:0:3, 6+0:0:0:0:2, 3+0:0:0:0:2, 5+0:1:0:0:4, 7+0:2:0:0:5, 5+0:2:0:0:4, 5+0:2:0:0:3, 5+0:0:0:0:2, 7+0:0:0:0:3, 5+0:1:0:0:4, 6+0:1:0:0:3, 5+0:0:0:0:3, 6+0:0:0:0:2, 8+0:1:0:0:4, 8+0:2:0:0:4, 7+0:1:0:0:4, 6+0:0:0:0:3, 3+0:0:0:0:2, 5+0:0:0:0:2, 153+0:19:0:0:82
A# minor (7#), 2+0:0:0:0:2, 6+0:0:0:0:4, 7+0:0:0:0:6, 8+0:1:0:0:6, 8+0:1:0:0:6, 6+0:0:0:0:4, 7+0:1:0:0:6, 6+0:0:0:0:4, 5+0:0:0:0:5, 8+0:2:0:0:8, 4+0:0:0:0:3, 5+0:0:0:0:4, 6+0:0:0:0:5, 4+0:0:0:0:3, 4+0:1:0:0:4, 6+0:0:0:0:5, 8+0:1:0:0:7, 5+0:0:0:0:4, 6+0:0:0:0:5, 6+0:0:0:0:4, 7+0:0:0:0:6, 8+0:1:0:0:6, 8+0:1:0:0:6, 8+0:1:0:0:5, 7+0:0:0:0:6, 4+0:0:0:0:4, 6+0:0:0:0:5, 165+0:10:0:0:133
