 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
C major (0), C minor (3b), C minor (3b), C minor (3b), G minor (2b), C minor (3b), G minor (2b), G minor (2b), G major (1#), G major (1#), C major (0), C major (0), C minor (3b), C minor (3b), F minor (4b), C minor (3b), Eb major (3b)
A minor (0), C major (0), C minor (3b), C minor (3b), G minor (2b), C minor (3b), G minor (2b), G minor (2b), G major (1#), G major (1#), C major (0), C major (0), C minor (3b), C minor (3b), F minor (4b), C minor (3b), Eb major (3b)
F major (1b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), F major (1b), Bb major (2b), G minor (2b), G major (1#), G major (1#), C major (0), F major (1b), Bb major (2b), Bb major (2b), F minor (4b), Ab major (4b), Ab major (4b)
G major (1#), C major (0), C minor (3b), C minor (3b), G minor (2b), C minor (3b), G minor (2b), G minor (2b), G major (1#), G major (1#), C major (0), C major (0), C minor (3b), C minor (3b), F minor (4b), C minor (3b), Eb major (3b)
D minor (1b), C minor (3b), G minor (2b), C minor (3b), G minor (2b), C minor (3b), G minor (2b), G minor (2b), G major (1#), G minor (2b), C minor (3b), F major (1b), F minor (4b), C minor (3b), F minor (4b), C minor (3b), F minor (4b)
E minor (1#), C major (0), G minor (2b), G major (1#), G minor (2b), G major (1#), G minor (2b), G minor (2b), G major (1#), G major (1#), C major (0), C major (0), C minor (3b), C minor (3b), F minor (4b), C minor (3b), Eb major (3b)
Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), F major (1b), Bb major (2b), G minor (2b), G major (1#), G minor (2b), C minor (3b), Bb major (2b), Eb major (3b), Eb major (3b), Ab major (4b), Eb major (3b), Eb major (3b)
D major (2#), C major (0), G minor (2b), G major (1#), G minor (2b), G major (1#), G minor (2b), G minor (2b), G major (1#), G major (1#), C major (0), F major (1b), F minor (4b), C minor (3b), F minor (4b), F major (1b), F minor (4b)
G minor (2b), C minor (3b), C minor (3b), C minor (3b), G minor (2b), C minor (3b), G minor (2b), G minor (2b), G major (1#), G minor (2b), C minor (3b), Bb major (2b), Eb major (3b), C minor (3b), F minor (4b), C minor (3b), Eb major (3b)
B minor (2#), A minor (0), G minor (2b), G major (1#), G minor (2b), G major (1#), G minor (2b), G major (1#), D major (2#), G major (1#), C major (0), F major (1b), F minor (4b), C minor (3b), F minor (4b), C minor (3b), Eb major (3b)
Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), G minor (2b), G minor (2b), C minor (3b), Bb major (2b), Eb major (3b), Eb major (3b), Ab major (4b), Eb major (3b), Eb major (3b)
A major (3#), C major (0), C minor (3b), C major (0), G minor (2b), C major (0), C major (0), G major (1#), D major (2#), G major (1#), C major (0), C major (0), C minor (3b), C minor (3b), F minor (4b), C minor (3b), Eb major (3b)
C minor (3b), C minor (3b), C minor (3b), C minor (3b), G minor (2b), C minor (3b), G minor (2b), G minor (2b), G major (1#), G minor (2b), C minor (3b), C major (0), Eb major (3b), C minor (3b), F minor (4b), C minor (3b), Eb major (3b)
F# minor (3#), A minor (0), C minor (3b), C minor (3b), G minor (2b), C minor (3b), G minor (2b), G major (1#), D major (2#), G major (1#), C major (0), C major (0), C minor (3b), C minor (3b), F minor (4b), C minor (3b), Eb major (3b)
Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), G minor (2b), G minor (2b), C minor (3b), F minor (4b), Ab major (4b), Ab major (4b), F minor (4b), Ab major (4b), Ab major (4b)
E major (4#), A minor (0), G minor (2b), G major (1#), G minor (2b), G major (1#), G minor (2b), G major (1#), G major (1#), G major (1#), C major (0), C major (0), C minor (3b), C minor (3b), F minor (4b), C minor (3b), Eb major (3b)
F minor (4b), C minor (3b), C minor (3b), C minor (3b), G minor (2b), C minor (3b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), C minor (3b), F minor (4b), Ab major (4b), Ab major (4b), F minor (4b), Ab major (4b), Ab major (4b)
C# minor (4#), C minor (3b), G minor (2b), C minor (3b), G minor (2b), C minor (3b), G minor (2b), G minor (2b), G major (1#), G major (1#), C major (0), C major (0), C minor (3b), C minor (3b), F minor (4b), C minor (3b), Eb major (3b)
Db major (5b), Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), F minor (4b), Bb major (2b), Bb major (2b), G minor (2b), G minor (2b), C minor (3b), F minor (4b), Ab major (4b), Ab major (4b), F minor (4b), Ab major (4b), Ab major (4b)
B major (5#), C minor (3b), G minor (2b), C minor (3b), G minor (2b), C minor (3b), G minor (2b), G major (1#), D major (2#), G major (1#), C major (0), F major (1b), F minor (4b), C minor (3b), F minor (4b), C minor (3b), Eb major (3b)
Bb minor (5b), Eb minor (6b), Eb major (3b), Eb major (3b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), G minor (2b), G minor (2b), C minor (3b), F minor (4b), Ab major (4b), Ab major (4b), F minor (4b), Ab major (4b), Db major (5b)
G# minor (5#), C minor (3b), G minor (2b), C minor (3b), G minor (2b), C minor (3b), G minor (2b), G major (1#), D major (2#), G major (1#), C major (0), F major (1b), F minor (4b), C minor (3b), F minor (4b), C minor (3b), Eb major (3b)
Gb major (6b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), G minor (2b), G minor (2b), C minor (3b), F minor (4b), Ab major (4b), Ab major (4b), Ab minor (7b), Ab major (4b), Ab major (4b)
F# major (6#), C major (0), C minor (3b), C minor (3b), G minor (2b), C minor (3b), G minor (2b), G major (1#), D major (2#), G major (1#), C major (0), C major (0), C minor (3b), C minor (3b), F minor (4b), C minor (3b), Eb major (3b)
Eb minor (6b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), G minor (2b), G minor (2b), C minor (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Ab minor (7b), Eb major (3b), Eb major (3b)
D# minor (6#), C major (0), C minor (3b), C minor (3b), G minor (2b), C minor (3b), G minor (2b), G major (1#), D major (2#), G major (1#), C major (0), C major (0), C minor (3b), C minor (3b), F minor (4b), C minor (3b), Eb major (3b)
Cb major (7b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), G minor (2b), G minor (2b), C minor (3b), F minor (4b), Ab major (4b), Ab major (4b), Ab minor (7b), Ab major (4b), Ab major (4b)
C# major (7#), C minor (3b), G minor (2b), C minor (3b), G minor (2b), C minor (3b), G minor (2b), G minor (2b), G major (1#), G major (1#), C major (0), C major (0), C minor (3b), C minor (3b), F minor (4b), C minor (3b), Eb major (3b)
Ab minor (7b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), G minor (2b), G minor (2b), C minor (3b), F minor (4b), Ab major (4b), Ab major (4b), Ab minor (7b), Ab major (4b), Ab major (4b)
A# minor (7#), C minor (3b), G minor (2b), C minor (3b), G minor (2b), C minor (3b), G minor (2b), G minor (2b), G major (1#), G major (1#), C major (0), C major (0), C minor (3b), C minor (3b), F minor (4b), C minor (3b), Eb major (3b)
