 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, rowcost
C major (0), 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:0:0:1, 1+0:0:0:0:0, 3+0:0:1:0:1, 3+1:0:1:0:1, 1+0:0:0:0:0, 6+2:0:0:0:1, 3+0:0:0:0:0, 5+0:0:1:0:1, 3+0:0:0:0:0, 7+0:0:2:0:3, 49+4:0:5:0:8
A minor (0), 3+0:0:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 5+1:0:0:0:3, 2+0:0:0:0:0, 4+0:0:1:0:2, 4+1:0:1:0:3, 2+0:0:0:0:0, 5+2:0:0:0:2, 3+0:0:0:0:2, 6+0:0:1:0:3, 4+0:0:0:0:2, 8+0:0:2:0:6, 61+4:0:5:0:32
F major (1b), 4+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+1:1:0:0:1, 2+0:1:0:0:1, 3+0:2:1:0:2, 4+1:0:1:0:1, 0+0:0:0:0:0, 5+2:1:0:0:1, 2+0:0:0:0:0, 4+0:0:1:0:1, 2+0:0:0:0:0, 6+0:0:2:0:2, 45+4:5:5:0:9
G major (1#), 4+0:3:0:0:0, 3+0:3:0:0:0, 2+0:1:0:0:0, 2+0:2:0:0:0, 3+0:2:0:0:0, 2+0:2:0:0:0, 3+1:3:0:0:1, 0+0:0:0:0:0, 2+0:1:1:0:1, 4+1:3:1:0:2, 2+0:1:0:0:0, 7+2:3:0:0:1, 4+0:3:0:0:0, 6+0:4:1:0:2, 4+0:3:0:0:0, 8+0:7:2:0:4, 56+4:41:5:0:11
D minor (1b), 5+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 5+1:1:0:0:2, 2+0:1:0:0:0, 4+0:2:1:0:1, 4+1:0:1:0:3, 1+0:0:0:0:0, 6+2:1:0:0:1, 3+0:0:0:0:1, 4+0:0:1:0:3, 3+0:0:0:0:1, 7+0:0:2:0:5, 58+4:5:5:0:21
E minor (1#), 5+0:3:0:0:3, 4+0:3:0:0:3, 3+0:1:0:0:1, 2+0:2:0:0:2, 4+0:2:0:0:2, 3+0:2:0:0:2, 4+1:3:0:0:3, 1+0:0:0:0:0, 3+0:1:1:0:2, 5+1:3:1:0:3, 3+0:1:0:0:1, 7+2:3:0:0:3, 5+0:3:0:0:3, 6+0:4:1:0:4, 5+0:3:0:0:3, 8+0:7:2:0:7, 68+4:41:5:0:42
Bb major (2b), 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 4+0:0:0:0:1, 0+0:0:0:0:0, 3+1:1:0:0:1, 2+0:1:0:0:2, 2+0:2:1:0:2, 5+1:0:1:0:1, 1+0:0:0:0:0, 4+2:1:0:0:1, 1+0:0:0:0:0, 5+0:0:1:0:0, 1+0:0:0:0:0, 5+0:0:2:0:1, 39+4:5:5:0:11
D major (2#), 5+0:3:0:0:1, 4+0:3:0:0:1, 3+0:1:0:0:1, 3+0:2:0:0:0, 4+0:2:0:0:1, 3+0:2:0:0:0, 4+1:3:0:0:2, 0+0:0:0:0:0, 3+0:1:1:0:1, 4+1:3:1:0:3, 3+0:1:0:0:0, 8+2:3:0:0:1, 5+0:3:0:0:1, 6+0:4:1:0:3, 5+0:3:0:0:1, 9+0:7:2:0:5, 69+4:41:5:0:21
G minor (2b), 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:0:0:0, 0+0:0:0:0:0, 2+1:0:0:0:1, 1+0:0:0:0:0, 1+0:1:1:0:1, 6+1:0:1:0:2, 2+0:0:0:0:0, 5+2:1:0:0:1, 2+0:0:0:0:0, 6+0:0:1:0:2, 2+0:0:0:0:0, 6+0:0:2:0:4, 46+4:2:5:0:11
B minor (2#), 5+0:3:0:0:4, 4+0:3:0:0:3, 3+0:1:0:0:2, 3+0:2:0:0:2, 4+0:2:0:0:3, 3+0:2:0:0:2, 5+1:3:0:0:3, 0+0:0:0:0:0, 4+0:1:1:0:1, 4+1:3:1:0:4, 3+0:1:0:0:2, 8+2:3:0:0:4, 5+0:3:0:0:4, 6+0:4:1:0:5, 5+0:3:0:0:4, 9+0:7:2:0:8, 71+4:41:5:0:51
