 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
C locrian (0), 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:2:0:3, 2+0:0:0:0:1, 5+0:0:0:1:2, 3+0:0:0:0:1, 5+0:0:0:1:2, 2+0:0:0:0:0, 5+0:0:0:1:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 44+0:0:2:3:11
F major (1b), 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:2:0:3, 3+0:0:0:0:1, 6+0:0:0:1:2, 2+0:0:0:0:1, 6+0:0:0:1:2, 1+0:0:0:0:0, 6+0:0:0:1:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 35+0:0:2:3:11
G major (1#), 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:2:0:3, 4+0:0:0:0:1, 7+0:0:0:1:2, 1+0:0:0:0:1, 7+0:0:0:1:2, 0+0:0:0:0:0, 6+0:0:0:1:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 65+0:0:2:3:11
D minor (1b), 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 2+0:2:2:0:2, 3+0:0:0:0:2, 7+0:0:0:1:4, 1+0:1:0:0:0, 7+0:0:0:1:4, 1+0:0:0:0:0, 7+0:0:0:1:3, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 44+0:3:2:3:23
E minor (1#), 2+0:1:0:0:1, 4+0:2:0:0:2, 1+0:1:0:0:1, 4+0:2:0:0:2, 2+0:1:0:0:1, 4+0:2:0:0:2, 1+0:1:0:0:1, 4+0:2:0:0:2, 2+0:1:0:0:1, 3+0:0:2:0:2, 4+0:4:0:0:4, 7+0:7:0:1:6, 1+0:0:0:0:0, 7+0:7:0:1:6, 1+0:0:0:0:0, 6+0:5:0:1:4, 2+0:1:0:0:1, 4+0:2:0:0:2, 1+0:1:0:0:1, 4+0:2:0:0:2, 2+0:1:0:0:1, 4+0:2:0:0:2, 1+0:1:0:0:1, 4+0:2:0:0:2, 75+0:48:2:3:47
D minor mel (1b), 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:2:2:0:2, 4+0:0:0:0:2, 8+0:0:0:1:4, 1+0:1:0:0:0, 8+0:0:0:1:4, 0+0:0:0:0:0, 7+0:0:0:1:3, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:1, 63+0:3:2:3:23
E minor mel (1#), 3+0:1:0:0:1, 4+0:2:0:0:2, 2+0:1:0:0:1, 4+0:2:0:0:2, 3+0:1:0:0:1, 4+0:2:0:0:2, 2+0:1:0:0:1, 4+0:2:0:0:2, 2+0:1:0:0:1, 2+0:0:2:0:2, 4+0:4:0:0:4, 8+0:7:0:1:6, 0+0:0:0:0:0, 8+0:7:0:1:6, 1+0:0:0:0:0, 7+0:5:0:1:4, 3+0:1:0:0:1, 4+0:2:0:0:2, 2+0:1:0:0:1, 4+0:2:0:0:2, 3+0:1:0:0:1, 4+0:2:0:0:2, 2+0:1:0:0:1, 4+0:2:0:0:2, 84+0:48:2:3:47
F major blues (1b), 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:3:2:0:3, 4+0:0:0:0:0, 7+0:0:0:1:1, 4+0:2:0:0:2, 7+0:0:0:1:1, 2+0:0:0:0:0, 6+0:0:0:1:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 70+0:5:2:3:8
G major blues (1#), 3+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 1+0:0:0:0:0, 3+0:0:2:0:2, 4+0:3:0:0:2, 8+0:6:0:1:3, 2+0:0:0:0:0, 8+0:6:0:1:3, 1+0:0:0:0:0, 7+0:5:0:1:2, 3+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 78+0:28:2:3:12
D minor blues (1b), 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:3:2:0:3, 4+0:0:0:0:0, 7+0:0:0:1:1, 4+0:2:0:0:2, 7+0:0:0:1:1, 2+0:0:0:0:0, 6+0:0:0:1:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 70+0:5:2:3:8
