 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
C major (0), E minor (1#), A minor (0), E minor (1#), C# minor (4#), F# minor (3#), C minor (3b), C minor (3b), F minor (4b), Ab major (4b), Eb major (3b), C minor (3b), C major (0), E minor (1#), G major (1#), G minor (2b), G major (1#)
A minor (0), E minor (1#), A minor (0), E minor (1#), F# minor (3#), F# minor (3#), C minor (3b), C minor (3b), F minor (4b), C minor (3b), C minor (3b), C minor (3b), C major (0), E minor (1#), G major (1#), G minor (2b), D major (2#)
F major (1b), E minor (1#), A minor (0), A minor (0), D minor (1b), D major (2#), Bb major (2b), Bb major (2b), Bb minor (5b), Ab major (4b), Eb major (3b), Ab major (4b), F minor (4b), C major (0), C minor (3b), G minor (2b), D major (2#)
G major (1#), E minor (1#), E major (4#), E minor (1#), B minor (2#), D major (2#), G minor (2b), Bb major (2b), Bb minor (5b), C minor (3b), C minor (3b), C minor (3b), C major (0), E minor (1#), G major (1#), G minor (2b), D major (2#)
D minor (1b), E minor (1#), A minor (0), E minor (1#), B minor (2#), D major (2#), G minor (2b), Bb major (2b), Bb minor (5b), F minor (4b), C minor (3b), C minor (3b), C major (0), E minor (1#), G minor (2b), G minor (2b), D major (2#)
E minor (1#), E minor (1#), E major (4#), E major (4#), C# minor (4#), F# minor (3#), G minor (2b), Bb major (2b), Bb minor (5b), G minor (2b), C minor (3b), C minor (3b), C major (0), E minor (1#), G major (1#), G minor (2b), G major (1#)
Bb major (2b), E minor (1#), A minor (0), E minor (1#), G major (1#), G minor (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Db major (5b), Eb major (3b), Eb major (3b), Bb minor (5b), G minor (2b), G minor (2b), G minor (2b), G major (1#)
D major (2#), B minor (2#), A major (3#), E major (4#), B major (5#), B minor (2#), D minor (1b), F major (1b), F minor (4b), Ab major (4b), Eb major (3b), C minor (3b), D minor (1b), B minor (2#), D major (2#), D major (2#), D major (2#)
G minor (2b), E minor (1#), A minor (0), E minor (1#), E minor (1#), G major (1#), Bb major (2b), Bb major (2b), Bb minor (5b), Eb major (3b), Eb major (3b), C minor (3b), Bb minor (5b), E minor (1#), G major (1#), G minor (2b), G major (1#)
B minor (2#), B major (5#), B major (5#), E major (4#), C# minor (4#), F# minor (3#), D minor (1b), F major (1b), F minor (4b), Ab major (4b), Eb major (3b), C minor (3b), A minor (0), B minor (2#), D major (2#), D major (2#), D major (2#)
Eb major (3b), E minor (1#), A minor (0), E minor (1#), C# minor (4#), F# minor (3#), Eb major (3b), Ab major (4b), Db major (5b), Ab major (4b), Eb major (3b), Eb major (3b), Eb minor (6b), C minor (3b), C minor (3b), Eb major (3b), G minor (2b)
A major (3#), E major (4#), E major (4#), E major (4#), C# minor (4#), F# minor (3#), C minor (3b), C major (0), C major (0), C minor (3b), C minor (3b), C minor (3b), A minor (0), E major (4#), D major (2#), D major (2#), D major (2#)
C minor (3b), E minor (1#), A minor (0), A minor (0), A minor (0), C major (0), C minor (3b), C minor (3b), F minor (4b), Ab major (4b), Eb major (3b), Eb major (3b), Eb minor (6b), C minor (3b), C minor (3b), G minor (2b), G major (1#)
F# minor (3#), B minor (2#), A major (3#), E major (4#), C# minor (4#), F# minor (3#), C minor (3b), C minor (3b), F minor (4b), Ab major (4b), Eb major (3b), C minor (3b), A minor (0), B minor (2#), B minor (2#), F# minor (3#), F# minor (3#)
Ab major (4b), E minor (1#), A minor (0), E minor (1#), C# minor (4#), F# minor (3#), Eb major (3b), Ab major (4b), Db major (5b), Ab major (4b), Eb major (3b), Ab major (4b), Db major (5b), F minor (4b), C minor (3b), Eb minor (6b), D major (2#)
E major (4#), E major (4#), E major (4#), E major (4#), C# minor (4#), F# minor (3#), Bb major (2b), Bb major (2b), Bb minor (5b), Db major (5b), Eb major (3b), C minor (3b), A minor (0), E major (4#), A major (3#), A major (3#), A major (3#)
F minor (4b), E minor (1#), A minor (0), E minor (1#), C# minor (4#), F# minor (3#), C minor (3b), Bb minor (5b), Bb minor (5b), Ab major (4b), Ab major (4b), Ab major (4b), Bb minor (5b), F minor (4b), C minor (3b), C minor (3b), G minor (2b)
C# minor (4#), E major (4#), E major (4#), E major (4#), C# minor (4#), F# minor (3#), Bb major (2b), Bb major (2b), Bb minor (5b), Db major (5b), Eb major (3b), C minor (3b), A minor (0), E major (4#), B minor (2#), F# minor (3#), F# minor (3#)
Db major (5b), E minor (1#), E major (4#), E major (4#), C# minor (4#), F# minor (3#), Bb major (2b), Bb minor (5b), Db major (5b), Db major (5b), Ab major (4b), Ab major (4b), Db major (5b), F minor (4b), C minor (3b), Eb minor (6b), G major (1#)
B major (5#), B major (5#), E major (4#), E major (4#), B major (5#), F# major (6#), Bb major (2b), Bb major (2b), Bb minor (5b), Ab major (4b), Eb major (3b), Eb major (3b), Eb minor (6b), B major (5#), B minor (2#), B minor (2#), D major (2#)
Bb minor (5b), E minor (1#), E major (4#), E major (4#), C# minor (4#), F# minor (3#), Bb major (2b), Bb minor (5b), Bb minor (5b), Db major (5b), Eb minor (6b), Ab minor (7b), Eb minor (6b), F minor (4b), C minor (3b), Eb minor (6b), G minor (2b)
