 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, rowcost
C major (0), 3+0:0:0:0:2, 2+0:0:0:0:2, 6+0:0:0:0:4, 5+0:0:1:0:3, 4+0:0:1:0:2, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 5+0:0:1:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:1:0:2, 4+0:0:0:0:3, 5+0:0:0:0:0, 4+0:0:1:0:1, 2+0:0:0:0:1, 58+0:0:5:0:22
A minor (0), 3+0:0:0:0:1, 1+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:1:0:1, 4+0:0:1:0:1, 5+0:0:0:0:3, 2+0:0:0:0:1, 3+0:0:0:0:2, 5+0:0:1:0:4, 3+0:0:0:0:2, 4+0:0:0:0:3, 3+0:0:1:0:3, 3+0:0:0:0:1, 6+0:0:0:0:2, 4+0:0:1:0:3, 2+0:0:0:0:0, 57+0:0:5:0:28
F major (1b), 4+0:3:0:0:3, 3+0:2:0:0:2, 7+0:5:0:0:5, 5+0:4:1:0:4, 5+0:3:1:0:3, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:1:0:1, 5+0:4:0:0:4, 6+0:1:0:0:1, 4+0:0:1:0:1, 2+0:2:0:0:2, 60+0:24:5:0:27
G major (1#), 2+0:0:0:0:2, 2+0:0:0:0:1, 5+0:0:0:0:3, 4+0:1:1:0:2, 3+0:0:1:0:1, 4+0:4:0:0:1, 3+0:1:0:0:0, 4+0:3:0:0:2, 5+0:5:1:0:2, 4+0:3:0:0:0, 3+0:3:0:0:1, 4+0:3:1:0:3, 3+0:0:0:0:3, 4+0:3:0:0:1, 3+0:3:1:0:1, 1+0:0:0:0:0, 54+0:29:5:0:23
D minor (1b), 4+0:3:0:0:2, 2+0:1:0:0:0, 8+0:4:0:0:2, 4+0:3:1:0:1, 4+0:2:1:0:1, 3+0:0:0:0:2, 3+0:0:0:0:0, 2+0:0:0:0:2, 4+0:0:1:0:3, 2+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:1:0:3, 5+0:4:0:0:2, 6+0:1:0:0:1, 4+0:1:1:0:2, 1+0:1:0:0:0, 58+0:20:5:0:24
E minor (1#), 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:1:0:1, 3+0:0:1:0:1, 5+0:4:0:0:4, 3+0:1:0:0:1, 4+0:3:0:0:3, 5+0:5:1:0:5, 5+0:3:0:0:3, 3+0:3:0:0:3, 4+0:3:1:0:3, 2+0:0:0:0:0, 5+0:3:0:0:3, 3+0:3:1:0:3, 2+0:0:0:0:0, 55+0:28:5:0:30
Bb major (2b), 5+0:3:0:0:4, 4+0:2:0:0:3, 8+0:5:0:0:6, 5+0:4:1:0:4, 5+0:3:1:0:4, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:0, 6+0:4:0:0:5, 5+0:1:0:0:3, 3+0:0:1:0:0, 2+0:2:0:0:2, 57+0:24:5:0:32
D major (2#), 2+0:0:0:0:2, 1+0:0:0:0:0, 6+0:0:0:0:2, 3+0:1:1:0:1, 2+0:0:1:0:1, 4+0:4:0:0:2, 4+0:1:0:0:0, 4+0:3:0:0:2, 5+0:5:1:0:3, 4+0:3:0:0:1, 3+0:3:0:0:2, 4+0:3:1:0:3, 3+0:0:0:0:2, 4+0:3:0:0:1, 3+0:3:1:0:2, 0+0:0:0:0:0, 52+0:29:5:0:24
G minor (2b), 4+0:2:0:0:2, 4+0:2:0:0:1, 7+0:4:0:0:3, 4+0:3:1:0:2, 4+0:2:1:0:1, 2+0:0:0:0:1, 2+0:1:0:0:0, 3+0:0:0:0:2, 3+0:0:1:0:2, 2+0:0:0:0:0, 2+0:0:0:0:1, 4+0:0:1:0:3, 5+0:3:0:0:3, 4+0:0:0:0:1, 2+0:0:1:0:1, 1+0:1:0:0:0, 53+0:18:5:0:23
B minor (2#), 1+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:0:0:0, 2+0:0:1:0:1, 2+0:0:1:0:0, 4+0:4:0:0:4, 5+0:1:0:0:2, 4+0:3:0:0:4, 5+0:5:1:0:5, 4+0:3:0:0:4, 3+0:3:0:0:3, 4+0:3:1:0:4, 2+0:0:0:0:0, 4+0:3:0:0:3, 3+0:3:1:0:3, 1+0:0:0:0:0, 53+0:28:5:0:33
Eb major (3b), 5+0:3:0:0:5, 5+0:2:0:0:4, 9+0:5:0:0:7, 5+0:4:1:0:4, 5+0:3:1:0:5, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:1:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:0, 6+0:4:0:0:6, 5+0:1:0:0:3, 2+0:0:1:0:0, 3+0:2:0:0:2, 56+0:24:5:0:36
A major (3#), 2+0:0:0:0:1, 0+0:0:0:0:0, 5+0:0:0:0:1, 2+0:1:1:0:1, 2+0:0:1:0:1, 5+0:4:0:0:3, 4+0:1:0:0:1, 4+0:3:0:0:2, 5+0:5:1:0:4, 4+0:3:0:0:2, 4+0:3:0:0:3, 4+0:3:1:0:3, 2+0:0:0:0:1, 5+0:3:0:0:2, 3+0:3:1:0:3, 0+0:0:0:0:0, 51+0:29:5:0:28
C minor (3b), 4+0:3:0:0:2, 4+0:2:0:0:2, 8+0:5:0:0:4, 5+0:4:1:0:3, 4+0:3:1:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:2, 5+0:4:0:0:3, 4+0:1:0:0:0, 2+0:1:1:0:1, 3+0:2:0:0:1, 54+0:25:5:0:22
F# minor (3#), 3+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:0:0:1, 2+0:0:1:0:0, 1+0:0:0:0:0, 5+0:4:0:0:4, 4+0:1:0:0:3, 4+0:3:0:0:4, 5+0:5:1:0:5, 4+0:3:0:0:4, 4+0:3:0:0:3, 4+0:3:1:0:4, 3+0:0:0:0:0, 5+0:3:0:0:3, 3+0:3:1:0:3, 0+0:0:0:0:0, 54+0:28:4:0:34
Ab major (4b), 5+0:3:0:0:5, 5+0:2:0:0:5, 9+0:5:0:0:9, 5+0:4:1:0:4, 5+0:3:1:0:5, 2+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:1:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:1:0:0, 6+0:4:0:0:6, 6+0:1:0:0:3, 2+0:0:1:0:0, 4+0:2:0:0:3, 55+0:24:5:0:41
E major (4#), 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:1:0:1, 2+0:0:1:0:1, 6+0:4:0:0:4, 4+0:1:0:0:1, 4+0:3:0:0:3, 5+0:5:1:0:5, 5+0:3:0:0:3, 4+0:3:0:0:3, 4+0:3:1:0:3, 1+0:0:0:0:0, 6+0:3:0:0:3, 3+0:3:1:0:3, 1+0:0:0:0:0, 52+0:28:5:0:30
