 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
C major (0), G minor (2b), G major (1#), C minor (3b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), C minor (3b), C major (0), F major (1b), C major (0), C minor (3b), Eb major (3b), Eb major (3b), C minor (3b), A minor (0)
A minor (0), D minor (1b), D major (2#), C major (0), F major (1b), F minor (4b), C minor (3b), Eb major (3b), C minor (3b), C major (0), F major (1b), A minor (0), D minor (1b), F minor (4b), C minor (3b), G minor (2b), D minor (1b)
F major (1b), D minor (1b), D major (2#), F minor (4b), F minor (4b), F minor (4b), F minor (4b), Ab major (4b), Eb major (3b), C major (0), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), Eb major (3b), Bb major (2b), F major (1b)
G major (1#), G minor (2b), G major (1#), C major (0), F major (1b), F major (1b), Bb major (2b), Eb major (3b), C minor (3b), C major (0), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Eb major (3b), G minor (2b), D minor (1b)
D minor (1b), G minor (2b), D major (2#), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), G minor (2b), A minor (0), D minor (1b), F minor (4b), C minor (3b), G minor (2b), D minor (1b)
E minor (1#), G minor (2b), G major (1#), C major (0), C major (0), C minor (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), C major (0), G major (1#), A minor (0), D minor (1b), Bb major (2b), Eb major (3b), G minor (2b), A minor (0)
Bb major (2b), G minor (2b), G major (1#), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), C minor (3b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Eb major (3b), Bb major (2b), F major (1b)
D major (2#), D minor (1b), D major (2#), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), C major (0), G major (1#), A minor (0), D minor (1b), Bb major (2b), Eb major (3b), G minor (2b), D minor (1b)
G minor (2b), G minor (2b), G major (1#), C minor (3b), F minor (4b), F minor (4b), F minor (4b), Bb minor (5b), Eb minor (6b), C minor (3b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Eb major (3b), G minor (2b), D minor (1b)
B minor (2#), D minor (1b), D major (2#), F minor (4b), F minor (4b), F minor (4b), F major (1b), D minor (1b), D minor (1b), D major (2#), G major (1#), A minor (0), D minor (1b), Bb major (2b), Eb major (3b), G minor (2b), D minor (1b)
Eb major (3b), Eb major (3b), C minor (3b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), C minor (3b), F minor (4b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), F major (1b)
A major (3#), D minor (1b), D major (2#), C major (0), C major (0), C minor (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), C major (0), G major (1#), A minor (0), D minor (1b), F minor (4b), C minor (3b), D minor (1b), A minor (0)
C minor (3b), G minor (2b), G major (1#), C minor (3b), F minor (4b), F minor (4b), F minor (4b), Eb minor (6b), Eb minor (6b), C minor (3b), F minor (4b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), G minor (2b), D minor (1b)
F# minor (3#), D major (2#), A major (3#), C major (0), F major (1b), F minor (4b), F minor (4b), Eb minor (6b), Eb minor (6b), A minor (0), E minor (1#), A minor (0), D minor (1b), Bb major (2b), Eb major (3b), G minor (2b), A minor (0)
Ab major (4b), Eb major (3b), C minor (3b), F minor (4b), F minor (4b), Ab major (4b), Eb major (3b), Eb minor (6b), Eb minor (6b), C minor (3b), F minor (4b), Bb minor (5b), F minor (4b), Ab major (4b), Ab major (4b), Eb major (3b), F major (1b)
E major (4#), G minor (2b), G major (1#), C minor (3b), F minor (4b), F minor (4b), F minor (4b), Eb minor (6b), Eb minor (6b), A minor (0), E minor (1#), A minor (0), D minor (1b), Bb major (2b), Eb major (3b), G minor (2b), A minor (0)
F minor (4b), F major (1b), D major (2#), F minor (4b), F minor (4b), F minor (4b), F minor (4b), Eb minor (6b), Eb minor (6b), C minor (3b), F minor (4b), Bb minor (5b), F minor (4b), F minor (4b), Bb minor (5b), Bb major (2b), F major (1b)
C# minor (4#), G minor (2b), G major (1#), C minor (3b), F minor (4b), F minor (4b), F minor (4b), Eb minor (6b), Eb minor (6b), C minor (3b), G minor (2b), A minor (0), D minor (1b), Bb major (2b), Eb major (3b), G minor (2b), A minor (0)
Db major (5b), Bb major (2b), G major (1#), F minor (4b), Ab major (4b), Ab major (4b), Ab major (4b), Gb major (6b), Gb major (6b), C minor (3b), F minor (4b), Bb minor (5b), F minor (4b), Ab major (4b), Ab major (4b), Eb major (3b), Bb major (2b)
B major (5#), D minor (1b), D major (2#), F minor (4b), F minor (4b), F minor (4b), F minor (4b), Eb minor (6b), Eb minor (6b), B minor (2#), E minor (1#), A minor (0), D minor (1b), Bb major (2b), Eb major (3b), G minor (2b), D minor (1b)
Bb minor (5b), Bb major (2b), G minor (2b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), Eb minor (6b), Eb minor (6b), C minor (3b), F minor (4b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), F major (1b)
