name,KSgt,KSest,notes,err,success
Afro blue,,-4.0,75,0,100.00
Afternoon in Paris,,0.0,110,0,100.00
Airegin,,-4.0,70,1,98.57
Alice in wonderland,,0.0,85,0,100.00
All blues,0,1.0,37,1,97.30
All in love is fair,,-1.0,106,0,100.00
All my tomorrows,,1.0,130,5,96.15
All of me,,0.0,85,0,100.00
All of you,,-3.0,79,2,97.47
All the things you are,,-4.0,90,2,97.78
Alone together,,-1.0,86,1,98.84
Ana Maria,-3,-2.0,108,6,94.44
Angel eyes,-3,-2.0,120,4,96.67
Anthropology,,-2.0,159,2,98.74
April in Paris,,0.0,97,4,95.88
April in Paris-mod,,0.0,97,3,96.91
Autumn in New York,,-1.0,115,2,98.26
Autumn leaves,,-2.0,68,0,100.00
Avalon,,-2.0,59,0,100.00
Beautiful love,,-1.0,52,0,100.00
Bessie's blues,,-3.0,92,0,100.00
Bewitched,0,1.0,88,0,100.00
Birth of the blues,,0.0,95,3,96.84
Black Orpheus,,0.0,127,0,100.00
Black and tan fantasy,,-5.0,87,1,98.85
Black narcissus,0,-6.0,47,23,51.06
Black nile,,-1.0,147,2,98.64
Blessed relief,,-1.0,106,0,100.00
Blue Monk,-2,-1.0,65,1,98.46
Blue bossa,,-3.0,48,0,100.00
Blue in green,0,-1.0,29,0,100.00
Blue moon,,-3.0,145,3,97.93
Blue room,,-1.0,86,0,100.00
Blue trane,-3,-2.0,48,0,100.00
Bluesette,-2,-4.0,46,1,97.83
Body and soul,,-5.0,102,8,92.16
Bohemia after dark,,-2.0,125,4,96.80
Boplicity,,-1.0,146,4,97.26
Bud's blues,-2,-5.0,33,0,100.00
But beautiful,,1.0,77,2,97.40
Bye bye blackbird,0,-2.0,76,0,100.00
Caravan,,-4.0,41,0,100.00
Ceora,-4,-5.0,145,21,85.52
Cherokee,,-2.0,98,4,95.92
Chicken feathers,,-2.0,73,3,95.89
Come sunday,,-2.0,74,0,100.00
Con Alma,0,6.0,45,17,62.22
Confirmation,,-1.0,196,12,93.88
Corcovado,,0.0,180,0,100.00
Cottontail,-4,-3.0,74,4,94.59
Cry me a river,-3,-2.0,126,1,99.21
Crystal silence,,0.0,112,1,99.11
Daahood,-3,-5.0,127,1,99.21
Dancing on the ceiling,,-1.0,64,0,100.00
Darn that dream,,1.0,98,6,93.88
Day of wine and roses,,-1.0,86,4,95.35
Dearly beloved,,0.0,53,0,100.00
Deep purple,-1,-2.0,96,5,94.79
Deluge,-6,6.0,76,39,48.68
Desafinado,,-1.0,222,9,95.95
Dindi,,-3.0,130,1,99.23
Django,,-4.0,54,0,100.00
Do you know what it means,0,1.0,144,6,95.83
Dolphin dance,0,-2.0,101,6,94.06
Don't blame me,0,-1.0,73,3,95.89
Don't get around much anymore,,0.0,86,1,98.84
Early autumn,,-2.0,161,5,96.89
Early autumn-C,,0.0,121,3,97.52
East of the sun,,1.0,110,3,97.27
Easy living,,-1.0,88,0,100.00
Easy to love,,0.0,59,5,91.53
Eclypso,,-3.0,102,0,100.00
Eighty one,0,-5.0,23,0,100.00
Eighty one-F,-1,-5.0,11,0,100.00
El gaucho,0,-1.0,59,0,100.00
Emily,,0.0,102,1,99.02
Emily-G,,1.0,102,0,100.00
Epistrophy,1,5.0,154,13,91.56
Equinox,0,-3.0,62,0,100.00
Equinox-C#,0,-3.0,62,0,100.00
Everythong happens to me,-2,-1.0,158,6,96.20
Eye of the hurricane,0,-1.0,89,2,97.75
Falling grace,0,-2.0,95,0,100.00
Favela,,-2.0,153,0,100.00
Fee-fi-fo-fum,0,-2.0,85,0,100.00
Feel like making love,-3,-2.0,75,0,100.00
Feels so good,,-1.0,43,0,100.00
Five brothers,,0.0,119,6,94.96
Five hundred miles high,,0.0,57,0,100.00
Five spot after dark,-4,-5.0,50,0,100.00
Fools rush in,,0.0,101,1,99.01
Footprints,0,-2.0,132,3,97.73
Forest flower,0,3.0,94,7,92.55
Four,-3,-2.0,193,5,97.41
Four brothers,,-4.0,155,13,91.61
Four on six,0,-2.0,108,1,99.07
Freedom jazz dance,0,-5.0,33,3,90.91
Freight trane,-4,-7.0,70,4,94.29
Gentle rain,,0.0,60,1,98.33
Georgia,,-1.0,92,0,100.00
Giant steps,0,2.0,34,4,88.24
Girl from Ipanema,-1,0.0,131,3,97.71
Girl talk,,-3.0,79,11,86.08
Golden lady,-3,-1.0,195,27,86.15
Gone with the wind,-3,-2.0,74,0,100.00
Good bait,-2,-5.0,144,6,95.83
Good bye pork pie hat,,-4.0,79,1,98.73
Got a match ?,,-1.0,105,1,99.05
Green dolphin street,0,1.0,58,4,93.10
Groove merchant,,-2.0,125,6,95.20
Grooving_high,,-3.0,139,11,92.09
Harlem nocturne,,-2.0,190,3,98.42
Have you met Miss Jones,-1,0.0,79,10,87.34
Havona,0,4.0,206,4,98.06
Head and shoulders,-2,-5.0,92,5,94.57
Hello young lovers,,-1.0,142,0,100.00
Here's that rainy day,,-1.0,63,1,98.41
Hot house,-2,-3.0,200,19,90.50
How about you,,0.0,114,0,100.00
How deep is the ocean,,-3.0,92,0,100.00
How high the moon,,1.0,101,0,100.00
How insensitive,0,-1.0,101,1,99.01
How long has this been going on,1,0.0,104,0,100.00
How my heart sings,,0.0,89,0,100.00
Humpty dumpty,0,-5.0,73,5,93.15
I can't get started,,0.0,108,3,97.22
I could write a book,,0.0,61,0,100.00
I cover the waterfront,,-4.0,92,2,97.83
I didn't know what time it was,,1.0,106,1,99.06
I fall in love too easily,,-3.0,63,0,100.00
I got it bad,,1.0,67,0,100.00
I hear a rapsody,,-3.0,83,0,100.00
I left my heart in San Francisco,,-2.0,85,0,100.00
I loves you Porgy,,-1.0,121,0,100.00
I remember you,,-1.0,73,3,95.89
I should care,,0.0,92,0,100.00
I thought about you,,-1.0,88,0,100.00
I will wait for you,0,-1.0,46,0,100.00
I wish you love,-3,-6.0,169,2,98.82
I'll be seeing you,,-3.0,116,0,100.00
I'll close my eyes,,-1.0,105,0,100.00
I'll remember april,,1.0,137,0,100.00
I'm a fool to want you,,-4.0,120,0,100.00
I'm getting sentimental over you,-1,0.0,88,0,100.00
I'm glad there is you,,-1.0,128,6,95.31
I'm old fashioned,,-1.0,87,0,100.00
I've found a new baby,0,-1.0,85,2,97.65
I've got the world on a string,,-1.0,104,0,100.00
I've grown accustomed to her face,,-3.0,111,0,100.00
I've never been in love before,,-2.0,86,0,100.00
If I loved you,,-2.0,74,0,100.00
If I should lose you,,-2.0,102,0,100.00
If I where a bell,,-1.0,148,0,100.00
If you never come to me,,-3.0,54,1,98.15
Imagination,,1.0,110,1,99.09
Impressions,0,-1.0,66,7,89.39
In a mellow tone,,-4.0,96,3,96.88
In a sentimental mood,,-1.0,116,3,97.41
In your own sweet way,-2,-6.0,133,12,90.98
Indian summer,,1.0,121,0,100.00
Inner urge,0,2.0,138,9,93.48
Invitation,-3,-1.0,112,17,84.82
Isfahan,,-5.0,112,2,98.21
Isn't it romantic,,-3.0,91,0,100.00
It could happen to you,,-3.0,70,0,100.00
It don't mean a thing,,-2.0,85,0,100.00
It had to be you,,1.0,141,0,100.00
It might as well be spring,0,-3.0,152,1,99.34
It never entered my mind,,-1.0,138,0,100.00
It's only a paper moon,,0.0,100,3,97.00
Jersey bounce,,-1.0,134,2,98.51
Jitterberg waltz,,-5.0,138,12,91.30
Jordu,,-3.0,136,3,97.79
Joy spring,,-1.0,213,15,92.96
Just a sitting and a rocking,-1,0.0,137,0,100.00
Just friends,,1.0,80,4,95.00
Just squeeze me,,-1.0,102,0,100.00
Just the way you are,,2.0,158,1,99.37
"Just you, just me",,-3.0,104,2,98.08
Kary's Trance,,0.0,199,14,92.96
Kentucky oysters,-1,-3.0,82,0,100.00
Kicker (the),-2,-5.0,56,0,100.00
Kids are pretty people,,-1.0,138,3,97.83
Killer Joe,0,-2.0,47,0,100.00
Ladies in Mercedes,0,3.0,127,1,99.21
Lady is a tramp,,0.0,82,0,100.00
Laura,,0.0,117,7,94.02
Lazy afternoon,0,1.0,157,0,100.00
Leila,,-1.0,139,3,97.84
Lester leaps in,,-2.0,78,0,100.00
Li'l darlin',,-1.0,97,2,97.94
Line for lyons,1,-2.0,170,3,98.24
Little girl blue,,-1.0,126,0,100.00
Little sunflower,-1,0.0,89,1,98.88
Little waltz,,-4.0,61,0,100.00
Lone Jack,,-5.0,129,68,47.29
Lover man,,-1.0,120,0,100.00
Lullaby of the leaves,,-3.0,109,2,98.17
Lulu's back in town,,-3.0,100,0,100.00
Misty,,-3.0,126,1,99.21
The fields we know,0,5.0,64,16,75.00
,201,131.0,20399,671,nan
,,65.17412935323384,,,96.71
