 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, rowcost
C major (0), 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 6+0:0:1:0:2, 4+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:1:0:2, 3+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:1:1:2, 5+0:0:0:0:1, 5+0:0:0:0:1, 6+1:0:0:0:1, 6+0:0:1:0:2, 1+0:0:0:0:0, 67+1:0:4:1:14
A minor (0), 0+0:0:0:0:0, 3+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:2, 6+0:0:1:0:4, 5+0:0:0:0:3, 3+0:0:0:0:1, 5+0:0:1:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:1:3, 6+0:0:0:0:3, 6+0:0:0:0:3, 7+1:0:0:0:1, 7+0:0:1:0:5, 1+0:0:0:0:0, 75+1:0:4:1:34
F major (1b), 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 6+0:0:1:1:2, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+1:1:0:0:1, 5+0:0:1:0:1, 0+0:0:0:0:0, 49+1:1:4:1:6
G major (1#), 1+0:0:0:0:0, 3+0:2:0:0:1, 1+0:0:0:0:0, 1+0:1:0:0:1, 3+0:2:0:0:1, 3+0:3:0:0:1, 2+0:2:0:0:0, 3+0:2:0:0:1, 2+0:1:0:0:0, 3+0:2:0:0:1, 7+0:5:1:0:3, 5+0:4:0:0:2, 3+0:2:0:0:1, 5+0:5:1:0:3, 2+0:2:0:0:0, 2+0:1:0:0:0, 8+0:6:1:1:3, 6+0:4:0:0:2, 6+0:4:0:0:2, 7+1:3:0:0:1, 7+0:6:1:0:3, 2+0:1:0:0:0, 82+1:58:4:1:26
D minor (1b), 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:1:1:0:1, 1+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:1, 6+0:0:1:0:3, 4+0:0:0:0:2, 1+0:0:0:0:1, 4+0:1:1:0:3, 2+0:2:0:0:0, 0+0:0:0:0:0, 7+0:1:1:1:3, 5+0:0:0:0:2, 5+0:0:0:0:2, 6+1:1:0:0:1, 6+0:0:1:0:4, 0+0:0:0:0:0, 58+1:6:5:1:27
E minor (1#), 1+0:0:0:0:0, 3+0:2:0:0:2, 1+0:0:0:0:0, 1+0:1:0:0:1, 3+0:2:0:0:2, 3+0:3:0:0:3, 1+0:0:0:0:0, 3+0:2:0:0:2, 2+0:0:0:0:0, 3+0:2:0:0:2, 7+0:5:1:0:5, 5+0:4:0:0:4, 3+0:2:0:0:2, 5+0:4:1:0:4, 2+0:0:0:0:0, 3+0:1:0:0:1, 9+0:5:1:1:4, 6+0:4:0:0:4, 7+0:4:0:0:4, 8+1:3:0:0:3, 8+0:6:1:0:6, 3+0:1:0:0:1, 87+1:51:4:1:50
Bb major (2b), 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 6+0:0:1:1:2, 3+0:0:0:0:0, 5+0:0:0:0:0, 6+1:1:0:0:2, 4+0:0:1:0:0, 0+0:0:0:0:0, 45+1:1:4:1:6
D major (2#), 1+0:0:0:0:0, 3+0:2:0:0:1, 1+0:0:0:0:0, 1+0:0:1:0:1, 3+0:2:0:0:1, 4+0:3:0:0:1, 2+0:2:0:0:0, 4+0:2:0:0:1, 1+0:1:0:0:0, 4+0:2:0:0:1, 8+0:5:1:0:3, 6+0:4:0:0:2, 3+0:2:0:0:1, 5+0:4:1:0:3, 2+0:1:0:0:0, 2+0:1:0:0:0, 9+0:5:1:1:3, 7+0:4:0:0:2, 7+0:4:0:0:2, 8+1:3:0:0:1, 8+0:6:1:0:4, 2+0:1:0:0:0, 91+1:54:5:1:27
G minor (2b), 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:1:0:0:0, 2+0:0:0:0:1, 5+0:0:1:0:3, 3+0:0:0:0:2, 2+0:0:0:0:1, 4+0:0:1:0:3, 2+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:1:1:3, 4+0:0:0:0:2, 6+0:0:0:0:2, 7+1:1:0:0:1, 5+0:0:1:0:3, 1+0:0:0:0:0, 60+1:2:4:1:26
B minor (2#), 1+0:0:0:0:1, 3+0:2:0:0:3, 1+0:0:0:0:1, 1+0:0:1:0:1, 3+0:2:0:0:3, 5+0:3:0:0:3, 1+0:0:0:0:0, 4+0:2:0:0:3, 0+0:0:0:0:0, 5+0:2:0:0:3, 9+0:5:1:0:7, 6+0:4:0:0:5, 3+0:2:0:0:3, 5+0:4:1:0:4, 1+0:0:0:0:0, 2+0:1:0:0:2, 10+0:5:1:1:5, 7+0:4:0:0:5, 8+0:4:0:0:5, 9+1:3:0:0:4, 8+0:6:1:0:7, 2+0:1:0:0:2, 94+1:50:5:1:67
