 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, rowcost
C major (0), 0+0+0:0:0:0:0, 3+0+4:0:0:0:0, 2+0+0:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 3+0+4:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:0:0:0:0, 1+0+2:1:0:0:0, 4+0+4:0:1:0:1, 1+0+1:0:0:0:0, 3+0+1:0:0:0:0, 0+0+0:0:0:0:0, 29+0+21:1:1:0:1
A minor (0), 0+0+0:0:0:0:0, 3+0+5:0:0:0:0, 2+0+1:0:0:0:0, 3+0+1:0:0:0:0, 2+0+0:0:0:0:0, 3+0+0:0:0:0:0, 3+0+4:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:0:0:0:0, 1+0+2:1:0:0:0, 4+0+4:0:1:0:1, 1+0+1:0:0:0:0, 3+0+2:0:0:0:0, 0+0+0:0:0:0:0, 29+0+24:1:1:0:1
F major (1b), 0+0+0:0:0:0:0, 2+0+4:0:0:0:0, 2+0+1:0:0:0:0, 3+0+1:0:1:0:0, 2+0+1:0:0:0:0, 2+0+0:0:0:0:0, 3+0+4:0:0:0:0, 3+0+2:0:0:0:0, 2+0+2:0:1:0:1, 1+0+2:1:0:0:0, 3+0+4:0:1:0:1, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 26+0+23:1:3:0:2
G major (1#), 0+0+0:0:0:0:0, 4+0+4:0:0:0:0, 3+0+1:0:0:0:0, 4+0+4:0:0:0:0, 3+0+1:0:0:0:0, 4+0+3:0:0:0:0, 5+0+4:0:0:0:0, 3+0+2:0:0:0:0, 3+0+2:0:0:0:0, 2+0+2:1:0:0:0, 5+0+4:0:1:0:1, 2+0+1:0:0:0:0, 4+0+2:0:0:0:0, 1+0+0:0:0:0:0, 43+0+30:1:1:0:1
D minor (1b), 0+0+0:0:0:0:0, 2+0+4:0:0:0:0, 2+0+1:0:0:0:0, 3+0+1:0:1:0:0, 2+0+1:0:0:0:0, 2+0+2:0:0:0:0, 3+0+4:0:0:0:0, 4+0+2:0:0:0:0, 2+0+2:1:1:0:1, 1+0+2:0:0:0:0, 3+0+4:0:1:0:1, 1+0+1:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 27+0+25:1:3:0:2
E minor (1#), 0+0+0:0:0:0:0, 4+0+4:0:0:0:0, 3+0+1:0:0:0:0, 4+0+4:0:0:0:0, 3+0+1:0:0:0:0, 4+0+0:0:0:0:0, 5+0+4:0:0:0:0, 3+0+3:2:0:0:0, 3+0+2:0:0:0:0, 2+0+2:1:0:0:0, 5+0+4:0:1:0:1, 2+0+1:0:0:0:0, 4+0+2:0:0:0:0, 1+0+0:0:0:0:0, 43+0+28:3:1:0:1
Bb major (2b), 0+0+0:0:0:0:0, 1+0+4:0:0:0:0, 1+0+1:0:0:0:0, 2+0+0:0:0:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+4:0:0:0:0, 4+0+2:0:0:0:0, 2+0+2:0:1:0:1, 1+0+2:1:0:0:0, 2+0+4:0:1:0:1, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 20+0+21:1:2:0:2
D major (2#), 1+0+0:0:0:0:0, 4+0+5:0:0:0:0, 4+0+1:0:0:0:0, 4+0+1:0:0:0:0, 3+0+1:0:0:0:0, 5+0+2:0:0:0:0, 5+0+4:0:0:0:0, 3+0+2:0:0:0:0, 3+0+2:0:0:0:0, 2+0+2:1:0:0:0, 5+0+4:0:1:0:1, 2+0+1:0:0:0:0, 6+0+1:0:0:0:0, 1+0+0:0:0:0:0, 48+0+26:1:1:0:1
G minor (2b), 0+0+0:0:0:0:0, 1+0+4:0:0:0:0, 1+0+1:0:0:0:0, 2+0+4:0:1:0:0, 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 3+0+4:0:0:0:0, 4+0+3:2:0:0:0, 2+0+2:0:1:0:0, 1+0+2:1:0:0:0, 2+0+4:0:1:0:1, 1+0+1:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 20+0+26:3:3:0:1
B minor (2#), 1+0+0:0:0:0:0, 4+0+4:0:0:0:0, 4+0+1:0:0:0:0, 4+0+1:0:0:0:0, 3+0+1:0:0:0:0, 5+0+0:0:0:0:0, 5+0+4:0:0:0:0, 4+0+2:0:0:0:0, 3+0+2:1:0:0:0, 2+0+2:0:0:0:0, 5+0+4:0:1:0:1, 2+0+1:0:0:0:0, 6+0+2:0:0:0:0, 1+0+0:0:0:0:0, 49+0+24:1:1:0:1
Eb major (3b), 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:1:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+2:0:0:0:1, 3+0+2:0:0:0:0, 2+0+1:0:0:0:0, 0+0+1:0:0:0:0, 1+0+1:0:1:0:0, 0+0+1:0:0:0:0, 0+0+1:0:0:0:0, 0+0+0:0:0:0:0, 9+0+10:0:2:0:1
A major (3#), 1+0+0:0:0:0:0, 3+0+5:0:0:0:0, 4+0+1:0:0:0:0, 4+0+1:0:0:0:0, 3+0+0:0:0:0:0, 5+0+0:0:0:0:0, 4+0+4:0:0:0:0, 3+0+2:0:0:0:0, 2+0+2:0:0:0:0, 1+0+2:0:0:0:0, 4+0+4:0:1:0:1, 1+0+1:0:0:0:0, 5+0+2:0:0:0:0, 1+0+0:0:0:0:0, 41+0+24:0:1:0:1
C minor (3b), 0+0+0:0:0:0:0, 0+0+4:0:0:0:0, 0+0+1:0:0:0:0, 1+0+1:0:1:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 2+0+1:0:0:0:0, 3+0+2:0:0:0:0, 2+0+1:0:0:0:0, 0+0+2:0:0:0:0, 1+0+2:0:1:0:1, 0+0+1:0:0:0:0, 0+0+1:0:0:0:0, 0+0+0:0:0:0:0, 9+0+16:0:2:0:1
F# minor (3#), 1+0+0:0:0:0:0, 3+0+5:0:0:0:0, 4+0+1:0:0:0:0, 4+0+1:0:0:0:0, 3+0+0:0:0:0:0, 5+0+0:0:0:0:0, 4+0+4:0:0:0:0, 3+0+2:0:0:0:0, 2+0+1:0:0:0:0, 1+0+2:0:0:0:0, 4+0+4:0:1:0:1, 1+0+1:0:0:0:0, 5+0+2:0:0:0:0, 1+0+0:0:0:0:0, 41+0+23:0:1:0:1
Ab major (4b), 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:1:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 2+0+2:0:1:0:1, 1+0+1:0:1:0:1, 0+0+0:0:0:0:0, 1+0+2:0:1:0:1, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 6+0+7:0:4:0:3
E major (4#), 1+0+0:0:0:0:0, 3+0+4:0:0:0:0, 3+0+1:0:0:0:0, 5+0+0:0:0:0:0, 3+0+0:0:0:0:0, 5+0+0:0:0:0:0, 3+0+4:0:0:0:0, 3+0+3:1:0:0:0, 2+0+3:1:0:0:0, 1+0+2:0:0:0:0, 3+0+4:0:1:0:1, 1+0+1:0:0:0:0, 4+0+2:0:0:0:0, 1+0+0:0:0:0:0, 38+0+24:2:1:0:1
F minor (4b), 0+0+0:0:0:0:0, 0+0+4:0:0:0:0, 0+0+1:0:0:0:0, 1+0+1:0:1:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 3+0+2:0:0:0:0, 1+0+2:0:1:0:1, 0+0+1:0:0:0:0, 1+0+2:0:1:0:1, 0+0+1:0:0:0:0, 0+0+1:0:0:0:0, 0+0+0:0:0:0:0, 7+0+16:0:3:0:2
C# minor (4#), 1+0+0:0:0:0:0, 3+0+4:0:0:0:0, 3+0+1:0:0:0:0, 5+0+0:0:0:0:0, 3+0+0:0:0:0:0, 5+0+0:0:0:0:0, 3+0+4:0:0:0:0, 3+0+2:0:0:0:0, 2+0+2:1:0:0:0, 1+0+1:0:0:0:0, 3+0+4:0:1:0:1, 1+0+1:0:0:0:0, 5+0+1:0:0:0:0, 1+0+0:0:0:0:0, 39+0+20:1:1:0:1
Db major (5b), 0+0+0:0:0:0:0, 0+0+4:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:1:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 4+0+2:0:0:0:0, 1+0+2:0:1:0:0, 0+0+2:0:0:0:0, 1+0+2:0:1:0:1, 0+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 8+0+15:0:3:0:1
B major (5#), 1+0+0:0:0:0:0, 3+0+4:0:0:0:0, 3+0+1:0:0:0:0, 4+0+1:0:0:0:0, 3+0+0:0:0:0:0, 5+0+0:0:0:0:0, 3+0+4:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:0:0:0:0, 1+0+2:0:0:0:0, 3+0+4:0:1:0:1, 1+0+1:0:0:0:0, 5+0+1:0:0:0:0, 1+0+0:0:0:0:0, 37+0+22:0:1:0:1
Bb minor (5b), 0+0+0:0:0:0:0, 0+0+4:0:0:0:0, 0+0+0:0:0:0:0, 1+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+1:0:0:0:0, 3+0+2:0:1:0:1, 1+0+2:0:1:0:0, 0+0+2:0:0:0:0, 1+0+2:0:1:0:1, 0+0+1:0:0:0:0, 0+0+1:0:0:0:0, 0+0+0:0:0:0:0, 7+0+18:0:3:0:2
G# minor (5#), 1+0+0:0:0:0:0, 3+0+4:0:0:0:0, 3+0+1:0:0:0:0, 4+0+1:0:0:0:0, 3+0+0:0:0:0:0, 5+0+0:0:0:0:0, 3+0+4:0:0:0:0, 2+0+2:0:0:0:0, 2+0+2:0:0:0:0, 1+0+2:0:0:0:0, 3+0+4:0:1:0:1, 1+0+1:0:0:0:0, 5+0+1:0:0:0:0, 1+0+0:0:0:0:0, 37+0+22:0:1:0:1
Gb major (6b), 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:1, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+1:0:0:0:0, 0+0+1:0:0:0:0, 0+0+0:0:0:0:0, 2+0+0:0:0:0:0, 0+0+0:0:0:0:0, 9+0+7:0:0:0:1
F# major (6#), 1+0+0:0:0:0:0, 3+0+4:0:0:0:0, 3+0+1:0:0:0:0, 5+0+0:0:0:0:0, 3+0+0:0:0:0:0, 5+0+0:0:0:0:0, 4+0+4:0:0:0:0, 3+0+2:0:0:0:0, 0+0+2:0:0:0:0, 0+0+1:0:0:0:0, 3+0+4:0:1:0:1, 1+0+1:0:0:0:0, 4+0+2:0:0:0:0, 1+0+0:0:0:0:0, 36+0+21:0:1:0:1
Eb minor (6b), 1+0+0:0:0:0:0, 0+0+4:0:0:0:0, 1+0+1:0:0:0:0, 0+0+0:0:0:0:0, 0+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+2:0:0:0:1, 2+0+3:0:0:0:0, 0+0+0:0:0:0:0, 0+0+1:0:0:0:0, 0+0+2:0:0:0:0, 0+0+1:0:0:0:0, 2+0+1:0:0:0:0, 0+0+0:0:0:0:0, 9+0+15:0:0:0:1
D# minor (6#), 1+0+0:0:0:0:0, 3+0+4:0:0:0:0, 3+0+1:0:0:0:0, 5+0+0:0:0:0:0, 3+0+0:0:0:0:0, 5+0+0:0:0:0:0, 4+0+4:0:0:0:0, 3+0+2:0:0:0:0, 1+0+2:0:0:0:0, 0+0+2:0:0:0:0, 3+0+4:0:1:0:1, 1+0+1:0:0:0:0, 4+0+2:0:0:0:0, 1+0+0:0:0:0:0, 37+0+22:0:1:0:1
Cb major (7b), 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+3:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 1+0+2:0:0:0:0, 1+0+1:0:0:0:0, 3+0+0:0:0:0:0, 1+0+0:0:0:0:0, 23+0+12:0:0:0:0
C# major (7#), 0+0+0:0:0:0:0, 3+0+4:0:0:0:0, 3+0+1:0:0:0:0, 5+0+0:0:0:0:0, 3+0+0:0:0:0:0, 5+0+0:0:0:0:0, 4+0+4:0:0:0:0, 3+0+3:0:0:0:0, 2+0+2:0:0:0:0, 0+0+2:0:0:0:0, 3+0+4:0:1:0:1, 1+0+1:0:0:0:0, 5+0+1:0:0:0:0, 1+0+0:0:0:0:0, 38+0+22:0:1:0:1
Ab minor (7b), 1+0+0:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 1+0+3:0:0:0:0, 1+0+0:0:0:0:0, 2+0+0:0:0:0:0, 4+0+1:0:0:0:0, 3+0+3:0:0:0:0, 1+0+0:0:0:0:0, 1+0+2:0:0:0:0, 1+0+2:0:0:0:0, 1+0+1:0:0:0:0, 3+0+0:0:0:0:0, 1+0+0:0:0:0:0, 23+0+12:0:0:0:0
A# minor (7#), 0+0+0:0:0:0:0, 3+0+4:0:0:0:0, 3+0+1:0:0:0:0, 5+0+0:0:0:0:0, 3+0+0:0:0:0:0, 5+0+0:0:0:0:0, 4+0+4:0:0:0:0, 3+0+3:0:0:0:0, 2+0+2:0:0:0:0, 0+0+2:0:0:0:0, 3+0+4:0:1:0:1, 1+0+1:0:0:0:0, 5+0+1:0:0:0:0, 1+0+0:0:0:0:0, 38+0+22:0:1:0:1
