 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, rowcost
C major (0), 0+0:0:0:0:0, 5+0:0:1:0:1, 8+1:0:0:0:3, 5+0:0:1:0:1, 4+0:0:0:0:1, 5+0:0:1:0:1, 4+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:1:0:2, 6+0:0:0:0:1, 5+0:0:1:0:1, 4+0:0:1:0:1, 8+1:0:0:0:3, 0+0:0:0:0:0, 63+2:0:6:0:16
A minor (0), 0+0:0:0:0:0, 5+0:0:1:0:4, 8+1:0:0:0:2, 6+0:0:1:0:4, 5+0:0:0:0:2, 5+0:0:1:0:4, 5+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:1:0:4, 6+0:0:0:0:1, 6+0:0:1:0:4, 4+0:0:1:0:4, 8+1:0:0:0:2, 0+0:0:0:0:0, 67+2:0:6:0:32
F major (1b), 0+0:0:0:0:0, 4+0:0:1:0:1, 7+1:3:0:0:3, 4+0:0:1:0:1, 3+0:1:0:0:1, 4+0:0:1:0:1, 3+0:1:0:0:1, 5+0:1:0:0:1, 4+0:0:1:0:1, 7+0:2:0:0:2, 4+0:0:1:0:1, 4+0:0:1:0:1, 7+1:3:0:0:3, 0+0:0:0:0:0, 56+2:11:6:0:17
G major (1#), 0+0:0:0:0:0, 6+0:5:1:0:2, 9+1:3:0:0:4, 6+0:5:1:0:2, 5+0:3:0:0:2, 6+0:5:1:0:2, 5+0:2:0:0:1, 3+0:2:0:0:0, 6+0:5:1:0:3, 5+0:2:0:0:1, 6+0:5:1:0:2, 5+0:4:1:0:2, 9+1:3:0:0:4, 1+0:0:0:0:0, 72+2:44:6:0:25
D minor (1b), 1+0:0:0:0:0, 5+0:0:1:0:3, 8+1:3:0:0:3, 4+0:0:1:0:3, 4+0:1:0:0:1, 5+0:0:1:0:3, 4+0:1:0:0:2, 6+0:1:0:0:1, 4+0:0:1:0:4, 7+0:2:0:0:2, 5+0:0:1:0:3, 5+0:0:1:0:3, 8+1:3:0:0:3, 1+0:0:0:0:0, 67+2:11:6:0:31
E minor (1#), 0+0:0:0:0:0, 6+0:5:1:0:5, 9+1:3:0:0:3, 6+0:5:1:0:5, 5+0:3:0:0:3, 6+0:5:1:0:5, 6+0:2:0:0:2, 4+0:1:0:0:1, 6+0:5:1:0:5, 4+0:2:0:0:2, 6+0:5:1:0:5, 5+0:4:1:0:4, 9+1:3:0:0:3, 1+0:0:0:0:0, 73+2:43:6:0:43
Bb major (2b), 0+0:0:0:0:0, 3+0:0:1:0:0, 7+1:3:0:0:4, 3+0:0:1:0:0, 2+0:1:0:0:1, 3+0:0:1:0:0, 4+0:1:0:0:1, 6+0:1:0:0:2, 4+0:0:1:0:0, 7+0:2:0:0:3, 5+0:0:1:0:0, 3+0:0:1:0:0, 7+1:3:0:0:4, 0+0:0:0:0:0, 54+2:11:6:0:15
D major (2#), 1+0:0:0:0:0, 7+0:5:1:0:3, 10+1:3:0:0:3, 6+0:5:1:0:3, 6+0:3:0:0:1, 7+0:5:1:0:3, 6+0:2:0:0:2, 4+0:2:0:0:1, 6+0:5:1:0:4, 5+0:2:0:0:2, 7+0:5:1:0:3, 6+0:4:1:0:3, 10+1:3:0:0:3, 2+0:0:0:0:0, 83+2:44:6:0:31
G minor (2b), 0+0:0:0:0:0, 4+0:0:1:0:2, 8+1:2:0:0:4, 4+0:0:1:0:2, 3+0:1:0:0:2, 4+0:0:1:0:2, 5+0:2:0:0:1, 5+0:0:0:0:0, 5+0:0:1:0:3, 6+0:1:0:0:1, 6+0:0:1:0:2, 4+0:0:1:0:2, 8+1:2:0:0:4, 1+0:0:0:0:0, 63+2:8:6:0:25
B minor (2#), 1+0:0:0:0:0, 8+0:5:1:0:6, 11+1:3:0:0:5, 6+0:5:1:0:6, 7+0:3:0:0:4, 7+0:5:1:0:6, 6+0:2:0:0:3, 5+0:1:0:0:2, 6+0:5:1:0:6, 6+0:2:0:0:3, 7+0:5:1:0:6, 7+0:4:1:0:5, 11+1:3:0:0:5, 3+0:0:0:0:1, 91+2:43:6:0:58
Eb major (3b), 0+0:0:0:0:0, 4+0:0:1:0:0, 7+1:2:0:0:3, 2+0:0:1:0:0, 2+0:0:0:0:0, 2+0:0:1:0:0, 3+0:1:0:0:2, 7+0:1:0:0:3, 3+0:0:1:0:0, 8+0:2:0:0:3, 4+0:0:1:0:1, 4+0:0:1:0:0, 7+1:2:0:0:3, 1+0:0:0:0:0, 54+2:8:6:0:15
A major (3#), 1+0:0:0:0:0, 7+0:5:1:0:4, 10+1:3:0:0:2, 7+0:5:1:0:4, 7+0:3:0:0:2, 7+0:5:1:0:4, 7+0:2:0:0:1, 4+0:1:0:0:0, 6+0:5:1:0:4, 5+0:2:0:0:1, 8+0:5:1:0:4, 6+0:4:1:0:4, 10+1:3:0:0:2, 2+0:0:0:0:0, 87+2:43:6:0:32
C minor (3b), 0+0:0:0:0:0, 5+0:0:1:0:1, 8+1:2:0:0:2, 3+0:0:1:0:1, 3+0:0:0:0:0, 3+0:0:1:0:1, 4+0:1:0:0:1, 6+0:1:0:0:0, 4+0:0:1:0:2, 7+0:2:0:0:1, 5+0:0:1:0:1, 4+0:0:1:0:1, 8+1:2:0:0:2, 1+0:0:0:0:0, 61+2:8:6:0:13
F# minor (3#), 1+0:0:0:0:1, 7+0:5:1:0:7, 9+2:3:0:0:5, 7+0:5:1:0:6, 7+0:3:0:0:5, 7+0:5:1:0:7, 8+0:2:0:0:4, 5+0:0:0:0:2, 6+0:5:1:0:6, 5+0:2:0:0:3, 9+0:5:1:0:7, 6+0:4:1:0:6, 9+2:3:0:0:5, 2+0:0:0:0:2, 88+4:42:6:0:66
Ab major (4b), 0+0:0:0:0:0, 3+0:0:1:0:1, 6+1:2:0:0:4, 1+0:0:1:0:0, 1+0:0:0:0:1, 1+0:0:1:0:0, 4+0:1:0:0:2, 8+0:1:0:0:4, 2+0:0:1:0:0, 8+0:2:0:0:4, 3+0:0:1:0:1, 3+0:0:1:0:1, 6+1:2:0:0:4, 1+0:0:0:0:1, 47+2:8:6:0:23
E major (4#), 1+0:0:0:0:0, 7+0:5:1:0:5, 10+1:3:0:0:3, 7+0:5:1:0:5, 7+0:3:0:0:3, 7+0:5:1:0:5, 8+0:2:0:0:2, 5+0:0:0:0:0, 6+0:5:1:0:5, 4+0:2:0:0:2, 8+0:5:1:0:5, 6+0:4:1:0:4, 10+1:3:0:0:3, 2+0:0:0:0:0, 88+2:42:6:0:42
F minor (4b), 0+0:0:0:0:0, 4+0:0:1:0:1, 6+1:2:0:0:2, 2+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:1:0:1, 3+0:1:0:0:1, 7+0:1:0:0:1, 2+0:0:1:0:1, 8+0:2:0:0:2, 2+0:0:1:0:1, 4+0:0:1:0:1, 6+1:2:0:0:2, 1+0:0:0:0:0, 49+2:8:6:0:14
