 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, rowcost
A major (3#), 4+0:1:0:0:1, 4+0:2:0:0:1, 4+0:1:0:0:0, 4+0:1:0:0:1, 3+0:1:0:0:1, 5+0:3:0:0:2, 4+0:3:0:0:2, 4+0:2:0:0:2, 4+0:2:0:0:2, 3+0:1:0:0:0, 3+0:0:0:0:1, 4+0:1:0:0:0, 4+0:1:0:0:1, 5+0:3:0:0:2, 3+0:1:0:0:0, 4+0:2:0:0:1, 4+0:1:0:0:1, 4+0:3:0:0:2, 3+0:1:0:0:0, 4+0:2:0:0:1, 77+0:32:0:0:21
C minor (3b), 0+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:1:0:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 30+0:1:0:0:1
F# minor (3#), 4+0:1:0:0:3, 5+0:2:0:0:3, 5+0:1:0:0:2, 4+0:1:0:0:3, 3+0:1:0:0:3, 5+0:3:0:0:5, 4+0:3:0:0:3, 4+0:2:0:0:3, 4+0:2:0:0:4, 4+0:1:0:0:2, 3+0:0:0:0:1, 5+0:1:0:0:2, 4+0:1:0:0:3, 5+0:3:0:0:4, 4+0:1:0:0:2, 4+0:2:0:0:4, 4+0:1:0:0:3, 4+0:3:0:0:4, 4+0:1:0:0:2, 5+0:2:0:0:4, 84+0:32:0:0:60
Ab major (4b), 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:2, 3+0:1:0:0:2, 2+0:0:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:1, 14+0:1:0:0:13
E major (4#), 4+0:1:0:0:1, 4+0:2:0:0:2, 4+0:1:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 5+0:3:0:0:3, 4+0:3:0:0:3, 4+0:2:0:0:2, 4+0:2:0:0:2, 3+0:1:0:0:1, 4+0:0:0:0:0, 4+0:1:0:0:1, 4+0:1:0:0:1, 5+0:3:0:0:3, 3+0:1:0:0:1, 4+0:2:0:0:2, 4+0:1:0:0:1, 4+0:3:0:0:3, 3+0:1:0:0:1, 4+0:2:0:0:2, 78+0:32:0:0:32
F minor (4b), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 12+0:1:0:0:1
C# minor (4#), 4+0:1:0:0:4, 4+0:2:0:0:4, 4+0:1:0:0:3, 4+0:1:0:0:4, 3+0:1:0:0:3, 5+0:3:0:0:5, 4+0:3:0:0:4, 5+0:2:0:0:4, 4+0:2:0:0:4, 3+0:1:0:0:3, 5+0:0:0:0:2, 4+0:1:0:0:3, 4+0:1:0:0:4, 5+0:3:0:0:5, 3+0:1:0:0:3, 4+0:2:0:0:4, 4+0:1:0:0:4, 4+0:3:0:0:4, 3+0:1:0:0:3, 4+0:2:0:0:4, 80+0:32:0:0:74
Db major (5b), 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:2, 4+0:1:0:0:3, 3+0:0:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:1, 28+0:1:0:0:14
B major (5#), 4+0:1:0:0:2, 4+0:2:0:0:3, 4+0:1:0:0:1, 4+0:1:0:0:2, 4+0:1:0:0:2, 5+0:3:0:0:4, 4+0:3:0:0:3, 4+0:2:0:0:2, 4+0:2:0:0:3, 4+0:1:0:0:1, 3+0:0:0:0:1, 4+0:1:0:0:1, 4+0:1:0:0:2, 5+0:3:0:0:4, 3+0:1:0:0:1, 4+0:2:0:0:3, 4+0:1:0:0:2, 4+0:3:0:0:4, 3+0:1:0:0:1, 4+0:2:0:0:3, 79+0:32:0:0:45
Bb minor (5b), 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 35+0:1:0:0:4
G# minor (5#), 4+0:1:0:0:4, 4+0:2:0:0:4, 4+0:1:0:0:3, 4+0:1:0:0:4, 4+0:1:0:0:3, 5+0:3:0:0:5, 4+0:3:0:0:4, 4+0:2:0:0:4, 4+0:2:0:0:4, 4+0:1:0:0:3, 3+0:0:0:0:3, 4+0:1:0:0:3, 4+0:1:0:0:4, 5+0:3:0:0:5, 3+0:1:0:0:3, 4+0:2:0:0:4, 4+0:1:0:0:4, 4+0:3:0:0:4, 3+0:1:0:0:3, 4+0:2:0:0:4, 79+0:32:0:0:75
Gb major (6b), 2+0:0:0:0:1, 2+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:3, 4+0:1:0:0:4, 4+0:0:0:0:3, 2+0:0:0:0:1, 1+0:0:0:0:1, 3+0:0:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:2, 2+0:0:0:0:1, 43+0:1:0:0:28
F# major (6#), 4+0:1:0:0:3, 5+0:2:0:0:3, 5+0:1:0:0:2, 4+0:1:0:0:3, 4+0:1:0:0:3, 5+0:3:0:0:5, 4+0:3:0:0:3, 4+0:2:0:0:3, 4+0:2:0:0:4, 5+0:1:0:0:2, 3+0:0:0:0:1, 5+0:1:0:0:2, 4+0:1:0:0:3, 5+0:3:0:0:4, 4+0:1:0:0:2, 4+0:2:0:0:4, 4+0:1:0:0:3, 4+0:3:0:0:4, 4+0:1:0:0:2, 5+0:2:0:0:4, 86+0:32:0:0:60
Eb minor (6b), 2+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:1:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 49+0:1:0:0:11
D# minor (6#), 4+0:1:0:0:4, 5+0:2:0:0:4, 5+0:1:0:0:3, 4+0:1:0:0:4, 4+0:1:0:0:4, 5+0:3:0:0:5, 4+0:3:0:0:4, 4+0:2:0:0:4, 4+0:2:0:0:4, 5+0:1:0:0:4, 3+0:0:0:0:3, 5+0:1:0:0:3, 4+0:1:0:0:4, 5+0:3:0:0:5, 4+0:1:0:0:3, 4+0:2:0:0:4, 4+0:1:0:0:4, 4+0:3:0:0:4, 4+0:1:0:0:3, 5+0:2:0:0:4, 86+0:32:0:0:77
Cb major (7b), 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:3, 3+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:1, 3+0:0:0:0:3, 2+0:0:0:0:1, 4+0:0:0:0:4, 5+0:1:0:0:4, 4+0:0:0:0:4, 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:3, 2+0:0:0:0:1, 3+0:0:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:3, 3+0:0:0:0:2, 56+0:1:0:0:43
C# major (7#), 4+0:1:0:0:4, 5+0:2:0:0:4, 5+0:1:0:0:3, 4+0:1:0:0:4, 4+0:1:0:0:3, 5+0:3:0:0:5, 4+0:3:0:0:4, 5+0:2:0:0:4, 4+0:2:0:0:4, 5+0:1:0:0:3, 4+0:0:0:0:2, 5+0:1:0:0:3, 4+0:1:0:0:4, 5+0:3:0:0:5, 4+0:1:0:0:3, 4+0:2:0:0:4, 4+0:1:0:0:4, 4+0:3:0:0:4, 4+0:1:0:0:3, 5+0:2:0:0:4, 88+0:32:0:0:74
Ab minor (7b), 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:2, 4+0:1:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 42+0:1:0:0:13
A# minor (7#), 4+0:1:0:0:4, 5+0:2:0:0:5, 5+0:1:0:0:4, 4+0:1:0:0:4, 4+0:1:0:0:4, 5+0:3:0:0:5, 4+0:3:0:0:4, 5+0:2:0:0:4, 4+0:2:0:0:4, 5+0:1:0:0:5, 4+0:0:0:0:3, 5+0:1:0:0:4, 4+0:1:0:0:4, 5+0:3:0:0:5, 4+0:1:0:0:4, 4+0:2:0:0:4, 4+0:1:0:0:4, 4+0:3:0:0:4, 4+0:1:0:0:4, 5+0:2:0:0:5, 88+0:32:0:0:84
