 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, rowcost
Eb major (3b), 0+0:0:0:0:0, 3+0:0:0:0:2, 5+0:1:0:0:3, 3+0:0:0:0:2, 1+0:0:0:0:1, 7+0:2:0:0:4, 4+0:1:0:0:3, 2+0:0:0:0:1, 5+0:1:0:0:3, 2+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:1, 5+0:0:1:0:1, 4+0:1:0:0:3, 2+0:0:0:0:1, 5+0:2:0:0:4, 3+0:1:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 5+0:1:0:0:3, 4+0:0:0:0:2, 1+0:0:0:0:1, 7+0:2:0:0:4, 5+0:1:0:0:3, 2+0:0:0:0:1, 7+0:2:0:0:4, 4+0:2:0:0:3, 2+0:0:0:0:1, 3+0:0:0:0:2, 3+0:1:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 2+0:1:0:0:1, 115+0:19:1:0:69
A major (3#), 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:0, 3+0:1:0:0:1, 2+0:0:1:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:0, 8+0:4:1:0:3, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:0, 4+0:1:0:0:0, 3+0:1:0:0:1, 3+0:2:0:1:1, 3+0:0:0:0:0, 3+0:1:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 107+0:15:2:1:8
C minor (3b), 0+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:2:0:0:1, 3+0:1:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:1:0:1, 3+0:1:0:0:1, 2+0:0:0:0:0, 4+0:2:0:0:1, 3+0:1:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 6+0:2:0:0:1, 4+0:1:0:0:1, 1+0:0:0:0:0, 6+0:2:0:0:2, 4+0:2:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:0, 95+0:19:1:0:13
F# minor (3#), 1+0:0:0:0:0, 4+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:1, 5+0:1:0:0:3, 4+0:1:0:0:3, 3+0:0:1:0:0, 3+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:2, 5+0:1:0:0:3, 4+0:0:0:0:2, 5+0:1:0:0:3, 9+0:4:1:0:6, 5+0:0:0:0:2, 4+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:1, 5+0:1:0:0:3, 4+0:1:0:0:3, 4+0:2:0:1:1, 3+0:0:0:0:2, 4+0:1:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:2, 3+0:0:0:0:1, 3+0:1:0:0:3, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:2, 133+0:14:2:1:67
Ab major (4b), 0+0:0:0:0:0, 4+0:0:0:0:3, 6+0:1:0:0:4, 3+0:0:0:0:3, 2+0:0:0:0:1, 7+0:2:0:0:5, 5+0:1:0:0:4, 3+0:0:0:0:2, 6+0:1:0:0:4, 3+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:1, 6+0:0:1:0:2, 5+0:1:0:0:4, 3+0:0:0:0:2, 6+0:2:0:0:5, 4+0:1:0:0:3, 3+0:0:0:0:2, 4+0:0:0:0:3, 6+0:1:0:0:4, 4+0:0:0:0:3, 2+0:0:0:0:1, 7+0:2:0:0:5, 6+0:1:0:0:4, 3+0:0:0:0:2, 8+0:2:0:0:5, 5+0:2:0:0:4, 3+0:0:0:0:2, 3+0:0:0:0:3, 4+0:1:0:0:2, 4+0:0:0:0:3, 3+0:0:0:0:2, 3+0:0:0:0:3, 3+0:1:0:0:2, 143+0:19:1:0:99
E major (4#), 1+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:1:0:0:1, 3+0:1:0:0:1, 3+0:0:1:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:1:0:0:1, 4+0:0:0:0:0, 5+0:1:0:0:1, 9+0:4:1:0:4, 5+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 5+0:1:0:0:1, 3+0:1:0:0:1, 4+0:2:0:1:1, 4+0:0:0:0:0, 4+0:1:0:0:1, 4+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 135+0:14:2:1:14
F minor (4b), 0+0:0:0:0:0, 3+0:0:0:0:0, 5+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:2:0:0:2, 4+0:1:0:0:1, 3+0:0:0:0:0, 5+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 4+0:1:0:0:1, 2+0:0:0:0:0, 5+0:2:0:0:2, 3+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 6+0:2:0:0:2, 5+0:1:0:0:1, 3+0:0:0:0:0, 7+0:2:0:0:2, 4+0:2:0:0:2, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 119+0:19:1:0:20
C# minor (4#), 1+0:0:0:0:1, 5+0:0:0:0:3, 5+0:0:0:0:3, 3+0:0:0:0:2, 5+0:1:0:0:4, 4+0:1:0:0:3, 4+0:0:0:0:1, 5+0:0:0:0:3, 5+0:0:0:0:3, 5+0:0:0:0:3, 6+0:1:0:0:4, 4+0:0:0:0:3, 5+0:1:0:0:4, 9+0:4:1:0:7, 6+0:0:0:0:3, 4+0:0:0:0:3, 3+0:0:0:0:0, 3+0:0:0:0:2, 5+0:0:0:0:3, 5+0:0:0:0:3, 5+0:0:0:0:3, 4+0:0:0:0:2, 5+0:1:0:0:4, 4+0:1:0:0:3, 5+0:2:0:1:2, 5+0:0:0:0:3, 5+0:1:0:0:3, 4+0:0:0:0:2, 6+0:0:0:0:3, 3+0:0:0:0:2, 4+0:1:0:0:3, 4+0:0:0:0:2, 5+0:0:0:0:3, 3+0:0:0:0:2, 5+0:0:0:0:3, 159+0:14:1:1:98
Db major (5b), 1+0:0:0:0:0, 5+0:0:0:0:4, 7+0:1:0:0:5, 4+0:0:0:0:3, 3+0:0:0:0:2, 7+0:2:0:0:5, 6+0:1:0:0:5, 4+0:0:0:0:3, 7+0:1:0:0:5, 4+0:0:0:0:3, 5+0:0:0:0:3, 4+0:0:0:0:3, 3+0:0:0:0:2, 7+0:0:1:0:3, 6+0:1:0:0:5, 4+0:0:0:0:3, 6+0:2:0:0:6, 5+0:1:0:0:4, 4+0:0:0:0:3, 5+0:0:0:0:4, 7+0:1:0:0:5, 5+0:0:0:0:3, 3+0:0:0:0:2, 7+0:2:0:0:5, 7+0:1:0:0:5, 4+0:0:0:0:3, 8+0:2:0:0:6, 6+0:2:0:0:5, 4+0:0:0:0:3, 4+0:0:0:0:3, 4+0:1:0:0:3, 5+0:0:0:0:4, 4+0:0:0:0:3, 4+0:0:0:0:3, 4+0:1:0:0:3, 173+0:19:1:0:127
B major (5#), 1+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:0, 5+0:1:0:0:2, 4+0:1:0:0:2, 4+0:0:1:0:1, 5+0:0:0:0:1, 5+0:0:0:0:1, 5+0:0:0:0:1, 5+0:1:0:0:2, 5+0:0:0:0:1, 5+0:1:0:0:2, 9+0:4:1:0:5, 6+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:0:0:1, 5+0:0:0:0:1, 4+0:0:0:0:0, 5+0:1:0:0:2, 4+0:1:0:0:2, 5+0:2:0:1:1, 5+0:0:0:0:1, 5+0:1:0:0:2, 5+0:0:0:0:0, 6+0:0:0:0:1, 3+0:0:0:0:0, 5+0:1:0:0:2, 4+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 6+0:0:0:0:1, 164+0:14:2:1:38
Bb minor (5b), 1+0:0:0:0:0, 4+0:0:0:0:1, 6+0:1:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:0, 6+0:2:0:0:3, 5+0:1:0:0:2, 3+0:0:0:0:1, 6+0:1:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 8+0:0:1:0:0, 5+0:1:0:0:2, 3+0:0:0:0:0, 5+0:2:0:0:3, 4+0:1:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:1, 6+0:1:0:0:2, 4+0:0:0:0:1, 3+0:0:0:0:0, 6+0:2:0:0:3, 6+0:1:0:0:2, 3+0:0:0:0:1, 7+0:2:0:0:3, 5+0:2:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:1:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:1:0:0:1, 145+0:19:1:0:43
G# minor (5#), 0+0:0:0:0:0, 5+0:0:0:0:4, 5+0:0:0:0:4, 3+0:0:0:0:2, 5+0:1:0:0:5, 5+0:1:0:0:3, 4+0:0:1:0:2, 5+0:0:0:0:4, 5+0:0:0:0:4, 5+0:0:0:0:4, 5+0:1:0:0:5, 5+0:0:0:0:4, 5+0:1:0:0:5, 9+0:4:1:0:8, 6+0:0:0:0:4, 5+0:0:0:0:4, 4+0:0:0:0:2, 5+0:0:0:0:3, 5+0:0:0:0:4, 5+0:0:0:0:4, 5+0:0:0:0:4, 4+0:0:0:0:2, 5+0:1:0:0:5, 5+0:1:0:0:3, 5+0:2:0:1:3, 5+0:0:0:0:4, 5+0:1:0:0:4, 6+0:0:0:0:3, 6+0:0:0:0:4, 3+0:0:0:0:2, 6+0:1:0:0:4, 4+0:0:0:0:3, 5+0:0:0:0:4, 3+0:0:0:0:2, 6+0:0:0:0:4, 169+0:14:2:1:126
Gb major (6b), 1+0:0:0:0:1, 6+0:0:0:0:5, 7+0:1:0:0:6, 5+0:0:0:0:4, 4+0:0:0:0:3, 8+0:2:0:0:5, 7+0:1:0:0:6, 5+0:0:0:0:4, 7+0:1:0:0:6, 5+0:0:0:0:4, 6+0:0:0:0:4, 5+0:0:0:0:4, 4+0:0:0:0:3, 6+0:0:0:0:4, 7+0:1:0:0:6, 5+0:0:0:0:4, 7+0:2:0:0:6, 6+0:1:0:0:5, 5+0:0:0:0:4, 6+0:0:0:0:5, 7+0:1:0:0:6, 6+0:0:0:0:4, 4+0:0:0:0:3, 8+0:2:0:0:4, 8+0:1:0:0:6, 5+0:0:0:0:4, 8+0:2:0:0:7, 7+0:2:0:0:6, 5+0:0:0:0:4, 5+0:0:0:0:4, 5+0:1:0:0:3, 6+0:0:0:0:5, 5+0:0:0:0:4, 5+0:0:0:0:4, 5+0:1:0:0:4, 201+0:19:0:0:157
F# major (6#), 1+0:0:0:0:0, 6+0:0:0:0:2, 6+0:0:0:0:2, 4+0:0:0:0:1, 6+0:1:0:0:3, 5+0:1:0:0:3, 5+0:0:1:0:0, 5+0:0:0:0:2, 6+0:0:0:0:2, 5+0:0:0:0:2, 6+0:1:0:0:3, 6+0:0:0:0:2, 6+0:1:0:0:3, 10+0:4:1:0:6, 7+0:0:0:0:2, 6+0:0:0:0:2, 4+0:0:0:0:1, 5+0:0:0:0:1, 5+0:0:0:0:2, 6+0:0:0:0:2, 6+0:0:0:0:2, 5+0:0:0:0:1, 6+0:1:0:0:3, 5+0:1:0:0:3, 6+0:2:0:1:1, 5+0:0:0:0:2, 6+0:1:0:0:1, 6+0:0:0:0:1, 6+0:0:0:0:2, 4+0:0:0:0:1, 5+0:1:0:0:3, 5+0:0:0:0:1, 5+0:0:0:0:2, 4+0:0:0:0:1, 6+0:0:0:0:2, 190+0:14:2:1:67
