 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, rowcost
C major (0), 1+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 2+0:0:0:0:0, 11+0:0:0:0:0
A minor (0), 1+0:0:0:0:1, 2+0:0:0:0:1,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 1+0:0:0:0:1, 2+0:0:0:0:1, 11+0:0:0:0:4
F major (1b), 1+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 2+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 8+0:0:0:0:0
G major (1#), 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 3+0:1:0:0:0, 4+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0, 17+0:9:0:0:0
D minor (1b), 1+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 1+0:0:0:0:0,  ,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 6+0:0:0:0:0
E minor (1#), 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0,  ,  , 2+0:0:0:0:0, 3+0:0:0:0:0, 15+0:0:0:0:0
Bb major (2b), 1+0:0:1:0:1, 0+0:0:0:0:0,  ,  , 2+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 1+0:0:1:0:1, 0+0:0:0:0:0, 5+0:0:3:0:3
D major (2#), 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0,  ,  , 2+0:1:0:0:0, 3+0:2:0:0:0, 15+0:9:0:0:0
G minor (2b), 2+0:0:1:0:1, 1+0:0:0:0:0,  ,  , 3+0:1:1:0:1, 2+0:1:0:0:0,  ,  , 2+0:0:1:0:1, 1+0:0:0:0:0, 11+0:2:3:0:3
B minor (2#), 2+0:1:0:0:2, 4+0:1:0:0:2,  ,  , 2+0:0:0:0:1, 4+0:0:0:0:1,  ,  , 2+0:1:0:0:2, 4+0:1:0:0:2, 18+0:4:0:0:10
