 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
Eb major (3b), 2+0:1:0:0:1, 2+0:1:0:0:1, 2+0:1:0:0:1, 4+0:1:0:0:1, 2+0:1:0:0:1, 2+0:1:0:0:1, 2+0:1:0:0:1, 3+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 2+0:1:0:0:1, 2+0:1:0:0:1, 2+0:1:0:0:1, 2+0:1:0:0:1, 4+0:1:0:0:1, 2+0:1:0:0:1, 2+0:1:0:0:1, 2+0:1:0:0:1, 0+0:0:0:0:0, 44+0:16:0:0:22
A major (3#), 4+0:1:0:0:0, 3+0:1:0:0:1, 4+0:1:0:0:0, 6+0:2:0:0:1, 4+0:1:0:0:0, 3+0:1:0:0:1, 4+0:1:0:0:0, 4+0:1:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:0, 3+0:1:0:0:1, 4+0:1:0:0:0, 6+0:2:0:0:1, 4+0:1:0:0:0, 3+0:1:0:0:1, 4+0:1:0:0:0, 3+0:1:0:0:0, 91+0:26:0:0:7
C minor (3b), 3+0:1:0:0:0, 2+0:1:0:0:0, 3+0:1:0:0:0, 5+0:1:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 3+0:1:0:0:1, 4+0:1:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 3+0:1:0:0:0, 5+0:1:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 63+0:16:0:0:2
F# minor (3#), 4+0:1:0:0:2, 3+0:1:0:0:2, 4+0:1:0:0:2, 6+0:2:0:0:4, 4+0:1:0:0:2, 3+0:1:0:0:2, 4+0:1:0:0:3, 4+0:1:0:0:3, 3+0:1:0:0:2, 4+0:1:0:0:2, 4+0:1:0:0:2, 5+0:1:0:0:2, 5+0:1:0:0:2, 4+0:1:0:0:2, 4+0:1:0:0:2, 4+0:1:0:0:2, 1+0:0:0:0:1, 4+0:1:0:0:2, 3+0:1:0:0:2, 4+0:1:0:0:2, 6+0:2:0:0:4, 4+0:1:0:0:2, 3+0:1:0:0:2, 4+0:1:0:0:3, 3+0:1:0:0:2, 97+0:26:0:0:56
Ab major (4b), 3+0:1:0:0:2, 3+0:1:0:0:2, 3+0:1:0:0:2, 3+0:1:0:0:2, 3+0:1:0:0:2, 3+0:1:0:0:2, 3+0:1:0:0:1, 4+0:1:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 3+0:1:0:0:2, 3+0:1:0:0:2, 3+0:1:0:0:2, 3+0:1:0:0:2, 3+0:1:0:0:2, 3+0:1:0:0:2, 3+0:1:0:0:2, 3+0:1:0:0:1, 1+0:0:0:0:0, 62+0:16:0:0:37
E major (4#), 5+0:1:0:0:1, 4+0:1:0:0:1, 5+0:1:0:0:1, 6+0:3:0:0:3, 5+0:1:0:0:1, 4+0:1:0:0:1, 5+0:1:0:0:1, 5+0:1:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 5+0:1:0:0:1, 4+0:1:0:0:1, 4+0:1:0:0:1, 4+0:1:0:0:1, 4+0:1:0:0:1, 2+0:0:0:0:0, 5+0:1:0:0:1, 4+0:1:0:0:1, 5+0:1:0:0:1, 6+0:3:0:0:3, 5+0:1:0:0:1, 4+0:1:0:0:1, 5+0:1:0:0:1, 4+0:1:0:0:1, 111+0:28:0:0:28
F minor (4b), 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 1+0:0:0:0:0, 63+0:16:0:0:16
C# minor (4#), 5+0:1:0:0:3, 4+0:1:0:0:3, 5+0:1:0:0:3, 6+0:3:0:0:5, 5+0:1:0:0:3, 4+0:1:0:0:3, 5+0:1:0:0:4, 5+0:1:0:0:4, 4+0:1:0:0:3, 3+0:1:0:0:3, 4+0:1:0:0:3, 5+0:1:0:0:4, 4+0:1:0:0:4, 4+0:1:0:0:3, 4+0:1:0:0:3, 4+0:1:0:0:4, 2+0:0:0:0:1, 5+0:1:0:0:3, 4+0:1:0:0:3, 5+0:1:0:0:3, 6+0:3:0:0:5, 5+0:1:0:0:3, 4+0:1:0:0:3, 5+0:1:0:0:4, 4+0:1:0:0:3, 111+0:28:0:0:83
Db major (5b), 4+0:1:0:0:3, 4+0:1:0:0:3, 4+0:1:0:0:3, 4+0:1:0:0:3, 4+0:1:0:0:3, 4+0:1:0:0:3, 4+0:1:0:0:2, 5+0:1:0:0:3, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:1:0:0:3, 4+0:1:0:0:3, 4+0:1:0:0:3, 4+0:1:0:0:3, 4+0:1:0:0:3, 4+0:1:0:0:3, 4+0:1:0:0:3, 4+0:1:0:0:2, 2+0:0:0:0:1, 86+0:16:0:0:59
B major (5#), 6+0:1:0:0:2, 5+0:1:0:0:1, 6+0:1:0:0:2, 7+0:3:0:0:3, 6+0:1:0:0:2, 5+0:1:0:0:1, 5+0:1:0:0:2, 6+0:1:0:0:2, 4+0:1:0:0:2, 3+0:1:0:0:1, 4+0:1:0:0:1, 5+0:1:0:0:2, 4+0:1:0:0:2, 4+0:1:0:0:1, 4+0:1:0:0:1, 5+0:1:0:0:2, 3+0:0:0:0:0, 6+0:1:0:0:2, 5+0:1:0:0:1, 6+0:1:0:0:2, 7+0:3:0:0:3, 6+0:1:0:0:2, 5+0:1:0:0:1, 5+0:1:0:0:2, 4+0:1:0:0:2, 126+0:28:0:0:42
Bb minor (5b), 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 4+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 2+0:0:0:0:0, 71+0:16:0:0:16
G# minor (5#), 6+0:1:0:0:4, 6+0:1:0:0:4, 6+0:1:0:0:4, 8+0:3:0:0:6, 6+0:1:0:0:4, 6+0:1:0:0:4, 5+0:1:0:0:5, 7+0:1:0:0:5, 4+0:1:0:0:4, 3+0:1:0:0:3, 4+0:1:0:0:4, 5+0:1:0:0:5, 4+0:1:0:0:4, 4+0:1:0:0:4, 4+0:1:0:0:4, 4+0:1:0:0:3, 4+0:0:0:0:2, 6+0:1:0:0:4, 6+0:1:0:0:4, 6+0:1:0:0:4, 8+0:3:0:0:6, 6+0:1:0:0:4, 6+0:1:0:0:4, 5+0:1:0:0:5, 4+0:1:0:0:4, 133+0:28:0:0:104
Gb major (6b), 4+0:1:0:0:4, 5+0:1:0:0:4, 4+0:1:0:0:4, 5+0:1:0:0:4, 4+0:1:0:0:4, 5+0:1:0:0:4, 4+0:1:0:0:3, 6+0:1:0:0:4, 2+0:0:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:3, 4+0:0:0:0:3, 3+0:0:0:0:2, 4+0:0:0:0:3, 4+0:0:0:0:3, 3+0:0:0:0:2, 4+0:1:0:0:3, 4+0:1:0:0:4, 5+0:1:0:0:4, 4+0:1:0:0:4, 5+0:1:0:0:4, 4+0:1:0:0:4, 5+0:1:0:0:4, 4+0:1:0:0:3, 2+0:0:0:0:2, 101+0:16:0:0:83
F# major (6#), 6+0:1:0:0:2, 5+0:1:0:0:2, 6+0:1:0:0:2, 7+0:3:0:0:4, 6+0:1:0:0:2, 5+0:1:0:0:2, 5+0:1:0:0:3, 6+0:1:0:0:3, 4+0:1:0:0:2, 4+0:1:0:0:2, 5+0:1:0:0:2, 6+0:1:0:0:2, 5+0:1:0:0:2, 5+0:1:0:0:2, 5+0:1:0:0:2, 5+0:1:0:0:2, 3+0:0:0:0:1, 6+0:1:0:0:2, 5+0:1:0:0:2, 6+0:1:0:0:2, 7+0:3:0:0:4, 6+0:1:0:0:2, 5+0:1:0:0:2, 5+0:1:0:0:3, 4+0:1:0:0:2, 132+0:28:0:0:56
Eb minor (6b), 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 6+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 5+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 6+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 1+0:0:0:0:0, 83+0:16:0:0:22
D# minor (6#), 6+0:1:0:0:5, 5+0:1:0:0:5, 6+0:1:0:0:5, 7+0:3:0:0:7, 6+0:1:0:0:5, 5+0:1:0:0:5, 6+0:1:0:0:5, 6+0:1:0:0:6, 4+0:1:0:0:4, 4+0:1:0:0:3, 5+0:1:0:0:4, 6+0:1:0:0:4, 5+0:1:0:0:3, 5+0:1:0:0:4, 5+0:1:0:0:4, 5+0:1:0:0:4, 3+0:0:0:0:3, 6+0:1:0:0:5, 5+0:1:0:0:5, 6+0:1:0:0:5, 7+0:3:0:0:7, 6+0:1:0:0:5, 5+0:1:0:0:5, 6+0:1:0:0:5, 4+0:1:0:0:4, 134+0:28:0:0:117
Cb major (7b), 5+0:1:0:0:4, 5+0:1:0:0:5, 5+0:1:0:0:4, 5+0:1:0:0:5, 5+0:1:0:0:4, 5+0:1:0:0:5, 5+0:1:0:0:4, 6+0:1:0:0:5, 3+0:0:0:0:2, 3+0:0:0:0:3, 4+0:0:0:0:4, 5+0:0:0:0:4, 4+0:0:0:0:3, 4+0:0:0:0:4, 4+0:0:0:0:4, 4+0:0:0:0:3, 4+0:1:0:0:4, 5+0:1:0:0:4, 5+0:1:0:0:5, 5+0:1:0:0:4, 5+0:1:0:0:5, 5+0:1:0:0:4, 5+0:1:0:0:5, 5+0:1:0:0:4, 3+0:0:0:0:2, 114+0:16:0:0:100
C# major (7#), 6+0:1:0:0:3, 5+0:1:0:0:3, 6+0:1:0:0:3, 7+0:3:0:0:5, 6+0:1:0:0:3, 5+0:1:0:0:3, 5+0:1:0:0:4, 6+0:1:0:0:4, 4+0:1:0:0:3, 4+0:1:0:0:3, 5+0:1:0:0:3, 6+0:1:0:0:3, 5+0:1:0:0:3, 5+0:1:0:0:3, 5+0:1:0:0:3, 5+0:1:0:0:3, 3+0:0:0:0:1, 6+0:1:0:0:3, 5+0:1:0:0:3, 6+0:1:0:0:3, 7+0:3:0:0:5, 6+0:1:0:0:3, 5+0:1:0:0:3, 5+0:1:0:0:4, 4+0:1:0:0:3, 132+0:28:0:0:80
Ab minor (7b), 4+0:1:0:0:2, 4+0:1:0:0:2, 4+0:1:0:0:2, 4+0:1:0:0:2, 4+0:1:0:0:2, 4+0:1:0:0:2, 4+0:1:0:0:1, 5+0:1:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 4+0:1:0:0:2, 4+0:1:0:0:2, 4+0:1:0:0:2, 4+0:1:0:0:2, 4+0:1:0:0:2, 4+0:1:0:0:2, 4+0:1:0:0:2, 4+0:1:0:0:1, 2+0:0:0:0:0, 90+0:16:0:0:37
A# minor (7#), 6+0:1:0:0:5, 5+0:1:0:0:5, 6+0:1:0:0:5, 7+0:3:0:0:7, 6+0:1:0:0:5, 5+0:1:0:0:5, 5+0:1:0:0:5, 6+0:1:0:0:6, 4+0:1:0:0:4, 4+0:1:0:0:4, 5+0:1:0:0:5, 6+0:1:0:0:5, 5+0:1:0:0:4, 5+0:1:0:0:5, 5+0:1:0:0:5, 5+0:1:0:0:4, 3+0:0:0:0:3, 6+0:1:0:0:5, 5+0:1:0:0:5, 6+0:1:0:0:5, 7+0:3:0:0:7, 6+0:1:0:0:5, 5+0:1:0:0:5, 5+0:1:0:0:5, 4+0:1:0:0:4, 132+0:28:0:0:123
