 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, rowcost
Eb major (3b), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+1:1:1:0:2, 8+2:3:0:0:4, 6+0:1:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+1:1:1:0:2, 9+2:3:0:0:4, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 5+1:2:0:0:4, 3+0:0:1:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+1:1:1:0:2, 8+2:3:0:0:4, 0+0:0:0:0:0, 0+0:0:0:0:0, 5+0:1:1:0:1, 0+0:0:0:0:0, 66+10:16:6:0:26
A major (3#), 1+0:1:0:0:0, 4+0:2:0:0:1, 5+0:3:0:0:2, 4+0:2:0:0:1, 6+0:3:0:0:2, 10+1:5:1:0:4, 12+2:3:0:0:2, 9+0:5:1:0:4, 5+0:3:0:0:2, 4+0:2:0:0:1, 5+0:3:0:0:2, 4+0:2:0:0:1, 6+0:3:0:0:2, 10+1:5:1:0:4, 13+2:4:0:0:3, 6+0:3:0:0:2, 4+0:2:0:0:1, 6+0:3:0:0:2, 5+0:2:0:0:1, 6+0:3:0:0:2, 8+1:2:0:0:1, 6+0:5:1:0:5, 4+0:4:0:0:3, 5+0:2:0:0:1, 6+0:3:0:0:2, 4+0:2:0:0:1, 5+0:3:0:0:2, 4+0:2:0:0:1, 6+0:3:0:0:2, 10+1:5:1:0:4, 12+2:3:0:0:2, 6+0:3:0:0:2, 5+0:3:0:0:2, 8+0:5:1:0:4, 3+0:2:0:0:1, 217+10:106:6:0:72
C minor (3b), 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 6+1:1:1:0:2, 7+2:3:0:0:2, 7+0:1:1:0:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 6+1:1:1:0:2, 8+2:3:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+1:2:0:0:2, 3+0:0:1:0:2, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 6+1:1:1:0:2, 7+2:3:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 6+0:1:1:0:3, 1+0:0:0:0:0, 94+10:16:6:0:23
F# minor (3#), 1+0:0:0:0:0, 4+0:2:0:0:3, 5+0:3:0:0:5, 4+0:2:0:0:3, 6+0:3:0:0:5, 10+1:5:1:0:7, 12+2:3:0:0:7, 9+0:5:1:0:7, 5+0:3:0:0:4, 4+0:2:0:0:3, 5+0:3:0:0:5, 4+0:2:0:0:3, 6+0:3:0:0:5, 10+1:5:1:0:7, 13+2:4:0:0:7, 6+0:3:0:0:5, 4+0:2:0:0:2, 6+0:3:0:0:5, 5+0:2:0:0:3, 6+0:3:0:0:5, 8+1:2:0:0:3, 6+0:5:1:0:6, 4+0:4:0:0:4, 5+0:2:0:0:4, 6+0:3:0:0:5, 4+0:2:0:0:3, 5+0:3:0:0:5, 4+0:2:0:0:3, 6+0:3:0:0:5, 10+1:5:1:0:7, 12+2:3:0:0:7, 6+0:3:0:0:5, 5+0:3:0:0:4, 8+0:5:1:0:6, 3+0:2:0:0:2, 217+10:105:6:0:160
Ab major (4b), 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+1:1:1:0:2, 8+2:3:0:0:5, 6+0:1:1:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+1:1:1:0:2, 9+2:3:0:0:5, 0+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 5+1:2:0:0:5, 2+0:0:1:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+1:1:1:0:2, 8+2:3:0:0:5, 0+0:0:0:0:0, 1+0:0:0:0:0, 5+0:1:1:0:2, 0+0:0:0:0:0, 74+10:16:6:0:34
E major (4#), 1+0:0:0:0:0, 4+0:2:0:0:2, 6+0:3:0:0:3, 4+0:2:0:0:2, 7+0:3:0:0:3, 10+1:5:1:0:5, 11+2:3:0:0:3, 9+0:5:1:0:5, 6+0:3:0:0:3, 4+0:2:0:0:2, 6+0:3:0:0:3, 4+0:2:0:0:2, 7+0:3:0:0:3, 10+1:5:1:0:5, 12+2:4:0:0:4, 6+0:3:0:0:3, 5+0:2:0:0:2, 7+0:3:0:0:3, 5+0:2:0:0:2, 7+0:3:0:0:3, 7+1:2:0:0:2, 6+0:5:1:0:5, 4+0:4:0:0:4, 6+0:2:0:0:2, 7+0:3:0:0:3, 4+0:2:0:0:2, 6+0:3:0:0:3, 4+0:2:0:0:2, 7+0:3:0:0:3, 10+1:5:1:0:5, 11+2:3:0:0:3, 6+0:3:0:0:3, 6+0:3:0:0:3, 8+0:5:1:0:5, 3+0:2:0:0:2, 226+10:105:6:0:105
F minor (4b), 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+1:1:1:0:2, 9+2:3:0:0:3, 7+0:1:1:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+1:1:1:0:2, 10+2:3:0:0:3, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+1:2:0:0:2, 3+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+1:1:1:0:2, 9+2:3:0:0:3, 1+0:0:0:0:0, 2+0:0:0:0:0, 6+0:1:1:0:2, 1+0:0:0:0:0, 108+10:16:6:0:22
C# minor (4#), 1+0:0:0:0:0, 4+0:2:0:0:4, 6+0:3:0:0:5, 4+0:2:0:0:4, 7+0:3:0:0:6, 10+1:5:1:0:8, 12+2:3:0:0:8, 9+0:5:1:0:8, 6+0:3:0:0:5, 4+0:2:0:0:4, 6+0:3:0:0:5, 4+0:2:0:0:4, 7+0:3:0:0:6, 10+1:5:1:0:8, 13+2:4:0:0:8, 6+0:3:0:0:6, 5+0:2:0:0:3, 7+0:3:0:0:6, 5+0:2:0:0:4, 7+0:3:0:0:6, 7+1:2:0:0:4, 6+0:5:1:0:6, 4+0:4:0:0:4, 6+0:2:0:0:5, 7+0:3:0:0:6, 4+0:2:0:0:4, 6+0:3:0:0:5, 4+0:2:0:0:4, 7+0:3:0:0:6, 10+1:5:1:0:8, 12+2:3:0:0:8, 6+0:3:0:0:6, 6+0:3:0:0:5, 8+0:5:1:0:7, 3+0:2:0:0:3, 229+10:105:6:0:189
Db major (5b), 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 5+1:1:1:0:2, 9+2:3:0:0:5, 7+0:1:1:0:2, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 5+1:1:1:0:2, 10+2:3:0:0:6, 1+0:0:0:0:0, 3+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 6+1:2:0:0:5, 1+0:0:1:0:0, 0+0:0:0:0:0, 3+0:0:0:0:2, 4+0:0:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 5+1:1:1:0:2, 9+2:3:0:0:5, 1+0:0:0:0:0, 2+0:0:0:0:1, 6+0:1:1:0:2, 1+0:0:0:0:0, 101+10:16:6:0:48
B major (5#), 0+0:0:0:0:0, 4+0:2:0:0:2, 6+0:3:0:0:4, 4+0:2:0:0:2, 7+0:3:0:0:4, 10+1:5:1:0:6, 11+2:3:0:0:5, 10+0:5:1:0:5, 6+0:3:0:0:4, 4+0:2:0:0:2, 6+0:3:0:0:4, 4+0:2:0:0:2, 7+0:3:0:0:4, 10+1:5:1:0:6, 12+2:4:0:0:6, 6+0:3:0:0:4, 5+0:2:0:0:2, 7+0:3:0:0:4, 5+0:2:0:0:2, 7+0:3:0:0:4, 8+1:2:0:0:2, 6+0:5:1:0:6, 4+0:4:0:0:4, 7+0:2:0:0:3, 8+0:3:0:0:4, 4+0:2:0:0:2, 6+0:3:0:0:4, 4+0:2:0:0:2, 7+0:3:0:0:4, 10+1:5:1:0:6, 11+2:3:0:0:5, 6+0:3:0:0:4, 6+0:3:0:0:4, 9+0:5:1:0:5, 3+0:2:0:0:2, 230+10:105:6:0:129
