 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, rowcost
C major (0), 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:0, 7+0:0:0:0:2, 4+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:0, 7+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:1:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 201+0:0:1:0:9
A minor (0), 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:1, 2+0:0:0:0:1, 6+0:0:0:0:2, 5+0:0:0:0:2, 5+0:0:0:0:1, 5+0:0:0:0:2, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:1, 6+0:0:0:0:1, 6+0:0:0:0:3, 4+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:0:0:2, 7+0:0:0:0:2, 5+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:0, 3+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:1, 4+0:0:0:0:3, 5+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 7+0:0:0:0:3, 8+0:0:0:0:3, 6+0:0:0:0:2, 5+0:0:0:0:2, 4+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:2, 5+0:0:0:0:3, 1+0:0:0:0:0, 5+0:0:1:0:4, 3+0:0:0:0:1, 3+0:0:0:0:2, 3+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 233+0:0:1:0:89
F major (1b), 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 6+0:2:0:0:2, 3+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:1:0:0:1, 6+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:1:0:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 150+0:9:1:0:10
G major (1#), 5+0:3:0:0:0, 5+0:3:0:0:0, 5+0:2:0:0:0, 3+0:2:0:0:0, 6+0:4:0:0:1, 5+0:3:0:0:1, 5+0:2:0:0:0, 5+0:3:0:0:0, 3+0:2:0:0:0, 5+0:3:0:0:0, 3+0:2:0:0:0, 5+0:3:0:0:0, 5+0:3:0:0:0, 5+0:3:0:0:0, 5+0:2:0:0:0, 6+0:2:0:0:0, 6+0:4:0:0:2, 3+0:3:0:0:1, 3+0:2:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 5+0:3:0:0:0, 3+0:2:0:0:0, 6+0:3:0:0:0, 8+0:3:0:0:0, 5+0:2:0:0:0, 6+0:2:0:0:1, 4+0:2:0:0:0, 4+0:3:0:0:1, 3+0:3:0:0:1, 4+0:1:0:0:0, 3+0:2:0:0:0, 2+0:2:0:0:0, 4+0:2:0:0:0, 4+0:2:0:0:0, 2+0:1:0:0:0, 5+0:4:0:0:1, 6+0:3:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 6+0:4:1:0:2, 6+0:4:0:0:1, 6+0:3:0:0:0, 5+0:3:0:0:0, 2+0:2:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 2+0:1:0:0:0, 4+0:2:0:0:0, 4+0:3:0:0:1, 3+0:2:0:0:0, 3+0:2:0:0:0, 3+0:3:0:0:1, 5+0:4:0:0:1, 2+0:1:0:0:0, 6+0:3:1:0:2, 2+0:2:0:0:0, 4+0:2:0:0:1, 3+0:1:0:0:0, 3+0:2:0:0:0, 3+0:2:0:0:0, 249+0:146:2:0:18
D minor (1b), 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 5+0:1:0:0:1, 4+0:0:0:0:1, 4+0:1:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:1:0:0:1, 5+0:0:0:0:2, 2+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:1, 5+0:0:0:0:1, 5+1:2:1:0:3, 4+0:1:0:0:1, 5+0:1:0:0:2, 3+0:1:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 3+0:1:0:0:0, 3+0:1:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 6+0:1:0:0:2, 6+0:2:0:0:2, 5+0:0:0:0:1, 4+0:0:0:0:1, 3+0:1:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:2, 0+0:0:0:0:0, 6+0:2:1:0:3, 2+0:0:0:0:0, 5+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 178+1:19:2:0:54
E minor (1#), 6+0:3:0:0:3, 6+0:3:0:0:3, 6+0:2:0:0:2, 4+0:2:0:0:2, 6+0:3:0:0:3, 5+0:3:0:0:3, 6+0:2:0:0:2, 6+0:3:0:0:3, 4+0:1:0:0:1, 5+0:1:0:0:1, 4+0:2:0:0:2, 6+0:3:0:0:3, 6+0:3:0:0:3, 6+0:3:0:0:3, 6+0:2:0:0:2, 7+0:2:0:0:2, 6+0:4:0:0:4, 3+0:3:0:0:3, 4+0:2:0:0:2, 2+0:0:0:0:0, 2+0:1:0:0:1, 5+0:1:0:0:1, 4+0:2:0:0:2, 7+0:3:0:0:3, 9+0:3:0:0:3, 6+0:2:0:0:2, 7+0:2:0:0:2, 5+0:2:0:0:2, 4+0:3:0:0:3, 3+0:3:0:0:3, 5+0:1:0:0:1, 4+0:2:0:0:2, 3+0:2:0:0:2, 5+0:1:0:0:1, 5+0:2:0:0:2, 2+0:1:0:0:1, 6+0:4:0:0:4, 7+0:2:0:0:2, 4+0:2:0:0:2, 4+0:2:0:0:2, 6+0:4:1:0:5, 6+0:4:0:0:4, 7+0:3:0:0:3, 6+0:3:0:0:3, 3+0:1:0:0:1, 4+0:2:0:0:2, 4+0:2:0:0:2, 3+0:1:0:0:1, 5+0:2:0:0:2, 4+0:3:0:0:3, 4+0:2:0:0:2, 4+0:2:0:0:2, 3+0:3:0:0:3, 5+0:4:0:0:4, 3+0:1:0:0:1, 7+0:3:1:0:3, 3+0:1:0:0:1, 5+0:2:0:0:2, 4+0:1:0:0:1, 4+0:1:0:0:1, 4+0:2:0:0:2, 295+0:135:2:0:136
Bb major (2b), 2+0:1:0:0:1, 2+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:1, 2+0:1:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 5+0:2:0:0:2, 3+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 5+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 5+0:0:1:0:1, 0+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 114+0:8:1:0:16
D major (2#), 4+0:3:0:0:1, 4+0:3:0:0:1, 4+0:2:0:0:1, 3+0:2:0:0:1, 7+0:3:0:0:1, 6+0:3:0:0:1, 6+0:2:0:0:1, 6+0:3:0:0:1, 4+0:2:0:0:0, 6+0:2:0:0:0, 4+0:2:0:0:1, 6+0:3:0:0:1, 4+0:3:0:0:1, 4+0:3:0:0:1, 4+0:2:0:0:1, 5+0:2:0:0:1, 7+0:4:0:0:2, 3+0:3:0:0:1, 3+0:2:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:0, 6+0:2:0:0:0, 4+0:2:0:0:1, 7+0:3:0:0:1, 7+1:3:1:0:3, 6+0:2:0:0:1, 7+0:2:0:0:2, 5+0:2:0:0:1, 4+0:3:0:0:1, 3+0:3:0:0:1, 3+0:1:0:0:0, 4+0:2:0:0:1, 3+0:2:0:0:0, 5+0:2:0:0:0, 5+0:2:0:0:1, 3+0:1:0:0:0, 5+0:3:0:0:1, 5+0:3:0:0:1, 3+0:2:0:0:1, 4+0:2:0:0:1, 7+0:4:1:0:3, 6+0:4:0:0:2, 7+0:3:0:0:1, 6+0:3:0:0:1, 3+0:2:0:0:0, 4+0:2:0:0:0, 3+0:2:0:0:1, 3+0:1:0:0:0, 5+0:2:0:0:1, 5+0:3:0:0:1, 4+0:2:0:0:1, 3+0:2:0:0:1, 4+0:3:0:0:1, 6+0:4:0:0:2, 2+0:1:0:0:0, 7+0:3:1:0:3, 3+0:2:0:0:0, 5+0:2:0:0:1, 3+0:1:0:0:0, 4+0:2:0:0:0, 4+0:2:0:0:1, 277+1:142:3:0:55
G minor (2b), 3+0:1:0:0:0, 3+0:1:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 1+0:1:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:0, 3+0:1:0:0:0, 4+0:1:0:0:0, 6+0:1:0:0:0, 4+0:0:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:1:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 6+0:2:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:1, 3+0:1:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 4+0:1:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:1:0:2, 4+0:0:0:0:1, 4+0:1:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 6+0:0:1:0:2, 0+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 162+0:18:2:0:17
B minor (2#), 4+0:3:0:0:4, 4+0:3:0:0:4, 4+0:2:0:0:3, 3+0:2:0:0:3, 7+0:4:0:0:5, 6+0:3:0:0:4, 6+0:2:0:0:3, 6+0:3:0:0:4, 3+0:1:0:0:1, 7+0:1:0:0:2, 4+0:2:0:0:3, 6+0:3:0:0:4, 4+0:3:0:0:4, 4+0:3:0:0:4, 4+0:2:0:0:3, 5+0:2:0:0:3, 7+0:4:0:0:5, 3+0:3:0:0:3, 3+0:2:0:0:3, 1+0:0:0:0:1, 3+0:1:0:0:1, 7+0:1:0:0:2, 4+0:2:0:0:3, 7+0:3:0:0:4, 7+1:3:1:0:5, 6+0:2:0:0:3, 7+0:2:0:0:3, 5+0:2:0:0:3, 4+0:3:0:0:4, 3+0:3:0:0:3, 4+0:1:0:0:2, 5+0:2:0:0:3, 3+0:1:0:0:1, 6+0:1:0:0:2, 5+0:2:0:0:3, 4+0:1:0:0:2, 5+0:2:0:0:3, 5+0:2:0:0:3, 3+0:2:0:0:3, 4+0:2:0:0:3, 7+0:4:1:0:4, 6+0:4:0:0:5, 7+0:3:0:0:4, 6+0:3:0:0:4, 2+0:1:0:0:1, 5+0:2:0:0:3, 3+0:2:0:0:3, 4+0:1:0:0:2, 5+0:2:0:0:3, 5+0:3:0:0:4, 4+0:2:0:0:3, 3+0:2:0:0:3, 4+0:3:0:0:3, 6+0:4:0:0:5, 3+0:1:0:0:2, 8+0:3:1:0:4, 2+0:1:0:0:1, 6+0:2:0:0:3, 4+0:1:0:0:2, 5+0:1:0:0:2, 4+0:2:0:0:3, 287+1:133:3:0:186
