 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
C major (0), 3+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:0:0:0, 6+1:0:1:0:2, 4+0:0:0:0:3, 8+0:0:0:1:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 13+1:0:1:0:4, 7+0:0:0:0:2, 2+0:0:0:0:0, 13+1:0:1:0:4, 7+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 84+3:0:3:1:21
A minor (0), 4+0:0:0:0:2, 5+0:0:0:0:4, 4+0:0:0:0:0, 7+0:0:2:0:4, 3+0:0:0:0:1, 8+0:0:0:1:4, 4+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 14+1:0:1:0:4, 8+0:0:0:0:1, 2+0:0:0:0:2, 14+1:0:1:0:4, 8+0:0:0:0:1, 2+0:0:0:0:2, 0+0:0:0:0:0, 92+2:0:4:1:30
A minor mel (0), 5+0:0:0:0:2, 6+0:0:0:0:4, 4+0:0:1:0:1, 7+0:0:2:0:4, 2+0:0:0:0:1, 9+0:0:0:1:4, 5+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 13+1:0:1:0:4, 7+0:0:0:0:1, 3+0:0:0:0:2, 13+1:0:1:0:4, 7+0:0:0:0:1, 3+0:0:0:0:2, 1+0:0:0:0:0, 91+2:0:5:1:31
C major blues (0), 4+0:0:0:0:0, 6+0:0:0:0:1, 6+0:0:0:0:0, 7+0:0:2:0:2, 6+0:0:0:0:3, 9+0:0:0:1:1, 4+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 15+1:0:1:0:4, 9+0:0:0:0:2, 3+0:0:0:0:0, 15+1:0:1:0:4, 9+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 103+2:0:4:1:21
A minor blues (0), 4+0:0:0:0:0, 6+0:0:0:0:1, 6+0:0:0:0:0, 7+0:0:2:0:2, 6+0:0:0:0:3, 9+0:0:0:1:1, 4+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 15+1:0:1:0:4, 9+0:0:0:0:2, 3+0:0:0:0:0, 15+1:0:1:0:4, 9+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 103+2:0:4:1:21
C dorian (0), 4+0:0:0:0:0, 6+0:0:0:0:1, 5+0:0:1:0:2, 6+1:0:1:0:2, 3+0:0:0:0:3, 9+0:0:0:1:1, 4+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 12+1:0:1:0:4, 6+0:0:0:0:2, 3+0:0:0:0:0, 12+1:0:1:0:4, 6+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 83+3:0:4:1:23
C phrygian (0), 2+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:0, 5+1:0:1:0:2, 5+0:0:0:0:3, 7+0:0:0:1:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 14+1:0:1:0:4, 8+0:0:0:0:2, 2+0:0:0:0:0, 14+1:0:1:0:4, 8+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 84+3:0:3:1:21
C lydian (0), 4+0:0:0:0:0, 6+0:0:0:0:1, 5+0:0:1:0:2, 6+1:0:1:0:2, 3+0:0:0:0:3, 9+0:0:0:1:1, 4+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:0, 12+1:0:1:0:4, 6+0:0:0:0:2, 3+0:0:0:0:0, 12+1:0:1:0:4, 6+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 83+3:0:4:1:23
C mixolydian (0), 2+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:0, 5+1:0:1:0:2, 5+0:0:0:0:3, 7+0:0:0:1:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 14+1:0:1:0:4, 8+0:0:0:0:2, 2+0:0:0:0:0, 14+1:0:1:0:4, 8+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 84+3:0:3:1:21
C aeolian (0), 3+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:0:0:0, 6+1:0:1:0:2, 4+0:0:0:0:3, 8+0:0:0:1:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 13+1:0:1:0:4, 7+0:0:0:0:2, 2+0:0:0:0:0, 13+1:0:1:0:4, 7+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 84+3:0:3:1:21
