 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, rowcost
C major (0), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:1, 6+0:0:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 11+0:0:2:0:2
A minor (0), 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:1:0:1, 7+0:0:1:0:3, 1+0:0:0:0:0, 1+0:0:0:0:0, 18+0:0:2:0:4
A minor mel (0), 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:1:0:1, 6+0:0:1:0:3, 2+0:0:0:0:0, 1+0:0:0:0:0, 19+0:0:2:0:4
C major blues (0), 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:1, 6+0:0:1:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 21+0:0:2:0:2
A minor blues (0), 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:1, 6+0:0:1:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 21+0:0:2:0:2
C dorian (0), 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:1:0:1, 5+0:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 12+0:0:2:0:2
C phrygian (0), 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:1, 5+0:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 14+0:0:2:0:2
C lydian (0), 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:1:0:1, 5+0:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 12+0:0:2:0:2
C mixolydian (0), 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:1, 5+0:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 14+0:0:2:0:2
C aeolian (0), 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:1, 6+0:0:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 11+0:0:2:0:2
C locrian (0), 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:1, 4+0:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 14+0:0:2:0:2
F major (1b), 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:1, 5+0:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 14+0:0:2:0:2
G major (1#), 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:1:0:1, 5+0:0:1:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 12+0:0:2:0:2
D minor (1b), 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 3+0:2:1:0:1, 6+0:2:1:0:2, 1+0:0:0:0:0, 0+0:0:0:0:0, 20+0:5:2:0:3
E minor (1#), 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 2+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:1:0:1, 5+0:3:1:0:4, 2+0:0:0:0:0, 0+0:0:0:0:0, 20+0:5:2:0:7
