 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, rowcost
Eb major (3b), 1+0:1:0:0:1, 0+0:0:0:0:0, 1+0:1:0:0:1, 0+0:0:0:0:0, 2+0:1:0:0:2, 1+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:1:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:2, 3+0:1:0:0:2, 1+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:1:0:0:1, 0+0:0:0:0:0, 2+0:1:0:0:2, 4+0:1:1:0:2, 1+0:0:0:0:1, 0+0:0:0:0:0, 5+0:2:0:0:2, 2+0:0:0:0:0, 2+0:0:1:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0,  , 4+0:2:0:0:3, 4+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:2:0:0:2, 2+0:0:0:0:0, 2+0:0:1:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:2, 2+0:1:0:0:2, 0+0:0:0:0:0, 1+0:1:0:0:1, 0+0:0:0:0:0, 1+0:1:0:0:1, 0+0:0:0:0:0, 76+0:17:4:0:35
A major (3#), 3+0:1:0:0:1, 3+0:2:0:0:1, 3+0:1:0:0:1, 3+0:2:0:0:1, 1+0:0:0:0:0, 4+0:2:0:0:1, 2+0:0:0:0:0, 4+0:2:0:0:1, 3+0:2:0:0:2, 6+1:3:0:0:2, 4+0:4:1:0:4, 3+0:2:0:0:1, 3+0:1:0:0:0, 4+0:1:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 5+0:3:0:0:2, 1+0:0:0:0:0, 3+0:1:0:0:1, 3+0:2:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:0, 4+0:1:0:0:0, 4+0:3:0:0:2, 3+0:1:0:0:1, 7+0:3:0:0:2, 4+0:4:1:0:4, 3+0:2:0:0:1, 3+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 5+0:2:0:0:2, 4+0:2:0:0:1, 0+0:0:0:0:0, 6+0:5:0:0:4,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:3:0:0:2, 4+0:4:0:0:3, 2+0:1:0:0:1, 7+0:3:0:0:2, 4+0:4:1:0:4, 3+0:2:0:0:1, 3+0:1:0:0:0, 4+0:1:0:0:0, 4+0:1:0:0:0, 6+0:2:0:0:2, 3+0:1:0:0:1, 4+0:2:0:0:1, 3+0:1:0:0:1, 4+0:2:0:0:1, 3+0:1:0:0:1, 4+0:2:0:0:1, 178+1:87:3:0:57
C minor (3b), 1+0:1:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:2, 2+0:0:1:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:1:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:2:0:0:1, 3+0:1:0:0:0, 2+0:0:1:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1,  , 3+0:2:0:0:1, 3+0:0:0:0:0, 2+0:1:0:0:0, 3+0:0:0:0:1, 4+0:2:0:0:1, 3+0:1:0:0:0, 2+0:0:1:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 1+0:0:0:0:0, 1+0:1:0:0:0, 1+0:0:0:0:0, 92+0:20:3:0:13
F# minor (3#), 3+0:1:0:0:2, 3+0:2:0:0:2, 3+0:1:0:0:2, 3+0:2:0:0:2, 1+0:0:0:0:0, 4+0:2:0:0:3, 2+0:0:0:0:1, 4+0:2:0:0:3, 3+0:2:0:0:3, 6+1:3:0:0:4, 4+0:4:1:0:4, 3+0:2:0:0:3, 3+0:1:0:0:2, 5+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 5+0:3:0:0:5, 1+0:0:0:0:1, 3+0:1:0:0:2, 3+0:2:0:0:2, 1+0:0:0:0:0, 4+0:0:0:0:1, 5+0:1:0:0:3, 4+0:3:0:0:4, 3+0:1:0:0:3, 7+0:3:0:0:5, 4+0:4:1:0:4, 3+0:2:0:0:3, 3+0:1:0:0:2, 4+0:0:0:0:2, 5+0:1:0:0:3, 5+0:2:0:0:4, 4+0:2:0:0:4, 0+0:0:0:0:0, 6+0:5:0:0:6,  , 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:3:0:0:3, 4+0:4:0:0:4, 2+0:1:0:0:2, 7+0:3:0:0:5, 4+0:4:1:0:4, 3+0:2:0:0:3, 3+0:1:0:0:2, 5+0:0:0:0:2, 5+0:1:0:0:3, 6+0:2:0:0:4, 3+0:1:0:0:2, 4+0:2:0:0:3, 3+0:1:0:0:2, 4+0:2:0:0:3, 3+0:1:0:0:2, 4+0:2:0:0:3, 185+1:83:3:0:137
Ab major (4b), 2+0:1:0:0:1, 0+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:2, 2+0:0:0:0:1, 3+0:1:0:0:2, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:1:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:2, 4+0:1:0:0:3, 2+0:0:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:2, 5+0:1:1:0:3, 1+0:0:0:0:1, 1+0:0:0:0:0, 6+0:2:0:0:3, 1+0:0:0:0:0, 2+0:0:1:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0,  , 5+0:2:0:0:4, 5+0:0:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:2:0:0:3, 1+0:0:0:0:0, 2+0:0:1:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:1:0:0:2, 1+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 2+0:1:0:0:1, 0+0:0:0:0:0, 103+0:17:4:0:46
E major (4#), 4+0:1:0:0:1, 3+0:2:0:0:2, 4+0:1:0:0:1, 3+0:2:0:0:2, 2+0:0:0:0:0, 5+0:2:0:0:2, 3+0:0:0:0:0, 4+0:2:0:0:2, 3+0:2:0:0:2, 6+1:3:0:0:3, 4+0:4:1:0:4, 4+0:2:0:0:2, 4+0:1:0:0:1, 5+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 6+0:3:0:0:3, 1+0:0:0:0:0, 4+0:1:0:0:1, 3+0:2:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:1:0:0:1, 5+0:3:0:0:3, 4+0:1:0:0:1, 7+0:3:0:0:3, 4+0:4:1:0:4, 4+0:2:0:0:2, 4+0:1:0:0:1, 5+0:0:0:0:0, 5+0:1:0:0:1, 5+0:2:0:0:2, 4+0:2:0:0:2, 0+0:0:0:0:0, 6+0:5:0:0:5,  , 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:3:0:0:3, 4+0:4:0:0:4, 3+0:1:0:0:1, 7+0:3:0:0:3, 4+0:4:1:0:4, 4+0:2:0:0:2, 4+0:1:0:0:1, 5+0:0:0:0:0, 5+0:1:0:0:1, 7+0:2:0:0:2, 4+0:1:0:0:1, 5+0:2:0:0:2, 4+0:1:0:0:1, 4+0:2:0:0:2, 4+0:1:0:0:1, 4+0:2:0:0:2, 211+1:83:3:0:83
F minor (4b), 2+0:1:0:0:1, 1+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:1, 3+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:1, 4+0:1:1:0:2, 0+0:0:0:0:0, 2+0:0:0:0:0, 7+0:2:0:0:2, 1+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0,  , 5+0:2:0:0:2, 5+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 6+0:2:0:0:2, 1+0:0:0:0:0, 3+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 117+0:17:4:0:21
C# minor (4#), 4+0:1:0:0:3, 3+0:2:0:0:3, 4+0:1:0:0:3, 3+0:2:0:0:3, 3+0:0:0:0:1, 5+0:2:0:0:4, 3+0:0:0:0:2, 4+0:2:0:0:4, 3+0:2:0:0:3, 6+1:3:0:0:5, 4+0:4:1:0:4, 4+0:2:0:0:3, 4+0:1:0:0:3, 6+0:0:0:0:3, 2+0:0:0:0:1, 5+0:0:0:0:3, 6+0:3:0:0:5, 0+0:0:0:0:0, 4+0:1:0:0:3, 3+0:2:0:0:3, 3+0:0:0:0:1, 5+0:0:0:0:2, 4+0:1:0:0:4, 5+0:3:0:0:4, 3+0:1:0:0:2, 7+0:3:0:0:6, 4+0:4:1:0:4, 4+0:2:0:0:3, 4+0:1:0:0:3, 6+0:0:0:0:3, 5+0:1:0:0:4, 5+0:2:0:0:5, 4+0:2:0:0:4, 0+0:0:0:0:0, 6+0:5:0:0:6,  , 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:3:0:0:3, 4+0:4:0:0:4, 3+0:1:0:0:2, 7+0:3:0:0:6, 4+0:4:1:0:4, 4+0:2:0:0:3, 4+0:1:0:0:3, 6+0:0:0:0:3, 5+0:1:0:0:4, 8+0:2:0:0:5, 5+0:1:0:0:3, 5+0:2:0:0:4, 4+0:1:0:0:3, 4+0:2:0:0:4, 4+0:1:0:0:3, 4+0:2:0:0:4, 220+1:83:3:0:168
Db major (5b), 3+0:1:0:0:2, 1+0:0:0:0:0, 3+0:1:0:0:2, 1+0:0:0:0:0, 4+0:1:0:0:3, 3+0:0:0:0:2, 4+0:1:0:0:3, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:1:0:0, 1+0:0:0:0:1, 2+0:0:0:0:1, 5+0:0:0:0:3, 4+0:1:0:0:4, 3+0:0:0:0:2, 1+0:0:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:2, 1+0:0:0:0:0, 4+0:1:0:0:3, 6+0:1:1:0:4, 2+0:0:0:0:1, 1+0:0:0:0:1, 6+0:2:0:0:4, 2+0:0:0:0:0, 1+0:0:1:0:0, 1+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:2, 4+0:0:0:0:3, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0,  , 5+0:2:0:0:5, 5+0:0:0:0:3, 1+0:0:0:0:1, 0+0:0:0:0:0, 5+0:2:0:0:4, 2+0:0:0:0:0, 1+0:0:1:0:0, 1+0:0:0:0:1, 2+0:0:0:0:1, 5+0:0:0:0:3, 4+0:0:0:0:3, 4+0:0:0:0:3, 4+0:1:0:0:3, 2+0:0:0:0:1, 3+0:1:0:0:2, 1+0:0:0:0:0, 3+0:1:0:0:2, 1+0:0:0:0:0, 128+0:17:4:0:79
B major (5#), 4+0:1:0:0:1, 3+0:2:0:0:2, 4+0:1:0:0:1, 3+0:2:0:0:2, 2+0:0:0:0:0, 6+0:2:0:0:2, 4+0:0:0:0:0, 4+0:2:0:0:2, 3+0:2:0:0:3, 6+1:3:0:0:3, 4+0:4:1:0:4, 4+0:2:0:0:3, 4+0:1:0:0:2, 4+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:1, 6+0:3:0:0:4, 1+0:0:0:0:0, 4+0:1:0:0:1, 3+0:2:0:0:2, 2+0:0:0:0:0, 5+0:0:0:0:0, 4+0:1:0:0:2, 5+0:3:0:0:4, 5+0:1:0:0:2, 7+0:3:0:0:4, 4+0:4:1:0:4, 4+0:2:0:0:3, 4+0:1:0:0:2, 4+0:0:0:0:1, 6+0:1:0:0:2, 5+0:2:0:0:3, 5+0:2:0:0:3, 0+0:0:0:0:0, 6+0:5:0:0:5,  , 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:3:0:0:3, 4+0:4:0:0:4, 4+0:1:0:0:2, 7+0:3:0:0:4, 4+0:4:1:0:4, 4+0:2:0:0:3, 4+0:1:0:0:2, 4+0:0:0:0:1, 6+0:1:0:0:2, 7+0:2:0:0:3, 4+0:1:0:0:1, 5+0:2:0:0:3, 4+0:1:0:0:1, 4+0:2:0:0:3, 4+0:1:0:0:1, 4+0:2:0:0:3, 219+1:83:3:0:109
Bb minor (5b), 4+0:1:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:2, 2+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:1:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:1, 3+0:1:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:2, 5+0:1:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:2:0:0:2, 3+0:0:0:0:0, 2+0:0:1:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0,  , 4+0:2:0:0:3, 4+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 4+0:2:0:0:2, 3+0:0:0:0:0, 2+0:0:1:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 5+0:0:0:0:1, 5+0:1:0:0:2, 2+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 140+0:17:4:0:27
G# minor (5#), 5+0:1:0:0:4, 3+0:2:0:0:3, 5+0:1:0:0:4, 3+0:2:0:0:3, 3+0:0:0:0:2, 6+0:2:0:0:5, 5+0:0:0:0:3, 4+0:2:0:0:4, 3+0:2:0:0:3, 5+0:4:0:0:5, 4+0:4:1:0:4, 4+0:2:0:0:4, 4+0:1:0:0:4, 4+0:0:0:0:4, 4+0:0:0:0:2, 4+0:0:0:0:4, 6+0:3:0:0:6, 1+0:0:0:0:1, 5+0:1:0:0:4, 3+0:2:0:0:3, 3+0:0:0:0:2, 6+0:0:0:0:3, 4+0:1:0:0:4, 5+0:3:0:0:5, 6+0:1:0:0:4, 7+0:3:0:0:6, 4+0:4:1:0:4, 4+0:2:0:0:4, 4+0:1:0:0:4, 4+0:0:0:0:4, 6+0:1:0:0:5, 5+0:2:0:0:5, 5+0:2:0:0:4, 0+0:0:0:0:0, 6+0:5:0:0:6,  , 3+0:0:0:0:1, 2+0:0:0:0:1, 5+0:3:0:0:4, 4+0:4:0:0:4, 5+0:1:0:0:3, 7+0:3:0:0:6, 4+0:4:1:0:4, 4+0:2:0:0:4, 4+0:1:0:0:4, 4+0:0:0:0:4, 6+0:1:0:0:5, 7+0:2:0:0:6, 5+0:1:0:0:4, 5+0:2:0:0:5, 5+0:1:0:0:4, 4+0:2:0:0:4, 5+0:1:0:0:4, 4+0:2:0:0:4, 233+0:84:3:0:203
Gb major (6b), 4+0:1:0:0:3, 1+0:0:0:0:1, 4+0:1:0:0:3, 1+0:0:0:0:1, 4+0:1:0:0:4, 4+0:0:0:0:3, 5+0:1:0:0:4, 2+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:2, 6+0:0:0:0:4, 5+0:1:0:0:4, 4+0:0:0:0:3, 2+0:0:0:0:1, 1+0:0:0:0:0, 4+0:1:0:0:3, 1+0:0:0:0:1, 4+0:1:0:0:4, 7+0:1:0:0:5, 3+0:0:0:0:2, 1+0:0:0:0:1, 6+0:2:0:0:4, 3+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:2, 5+0:0:0:0:3, 5+0:0:0:0:4, 2+0:0:0:0:1, 3+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0,  , 5+0:2:0:0:5, 4+0:0:0:0:2, 1+0:0:0:0:1, 0+0:0:0:0:0, 5+0:2:0:0:4, 3+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:2, 6+0:0:0:0:4, 5+0:0:0:0:4, 5+0:0:0:0:4, 5+0:1:0:0:4, 2+0:0:0:0:2, 4+0:1:0:0:3, 1+0:0:0:0:1, 4+0:1:0:0:3, 1+0:0:0:0:1, 151+0:17:0:0:111
F# major (6#), 4+0:1:0:0:2, 3+0:2:0:0:2, 4+0:1:0:0:2, 3+0:2:0:0:2, 2+0:0:0:0:0, 6+0:2:0:0:3, 4+0:0:0:0:1, 4+0:2:0:0:3, 3+0:2:0:0:3, 6+1:3:0:0:4, 4+0:4:1:0:4, 4+0:2:0:0:3, 4+0:1:0:0:2, 5+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:2, 6+0:3:0:0:5, 1+0:0:0:0:1, 4+0:1:0:0:2, 3+0:2:0:0:2, 2+0:0:0:0:0, 6+0:0:0:0:1, 5+0:1:0:0:3, 5+0:3:0:0:4, 5+0:1:0:0:3, 7+0:3:0:0:5, 4+0:4:1:0:4, 4+0:2:0:0:3, 4+0:1:0:0:2, 4+0:0:0:0:2, 7+0:1:0:0:3, 5+0:2:0:0:4, 5+0:2:0:0:4, 0+0:0:0:0:0, 6+0:5:0:0:6,  , 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:3:0:0:3, 4+0:4:0:0:4, 4+0:1:0:0:2, 7+0:3:0:0:5, 4+0:4:1:0:4, 4+0:2:0:0:3, 4+0:1:0:0:2, 5+0:0:0:0:2, 7+0:1:0:0:3, 7+0:2:0:0:4, 4+0:1:0:0:2, 5+0:2:0:0:3, 4+0:1:0:0:2, 4+0:2:0:0:3, 4+0:1:0:0:2, 4+0:2:0:0:3, 226+1:83:3:0:137
Eb minor (6b), 3+0:1:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:2, 3+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:2, 4+0:1:0:0:2, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:2, 6+0:1:0:0:2, 3+0:0:0:0:1, 0+0:0:0:0:0, 5+0:2:0:0:2, 4+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0,  , 4+0:2:0:0:3, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:2:0:0:2, 4+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:2, 4+0:1:0:0:2, 1+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 124+0:17:0:0:34
D# minor (6#), 4+0:1:0:0:4, 3+0:2:0:0:3, 4+0:1:0:0:4, 3+0:2:0:0:3, 2+0:0:0:0:2, 6+0:2:0:0:6, 4+0:0:0:0:4, 4+0:2:0:0:4, 3+0:2:0:0:3, 6+1:3:0:0:5, 4+0:4:1:0:4, 4+0:2:0:0:4, 4+0:1:0:0:4, 5+0:0:0:0:4, 4+0:0:0:0:3, 4+0:0:0:0:4, 6+0:3:0:0:6, 1+0:0:0:0:1, 4+0:1:0:0:4, 3+0:2:0:0:3, 2+0:0:0:0:2, 6+0:0:0:0:4, 5+0:1:0:0:4, 5+0:3:0:0:5, 6+0:1:0:0:5, 7+0:3:0:0:6, 4+0:4:1:0:4, 4+0:2:0:0:4, 4+0:1:0:0:4, 4+0:0:0:0:4, 7+0:1:0:0:6, 5+0:2:0:0:5, 5+0:2:0:0:5, 0+0:0:0:0:0, 6+0:5:0:0:6,  , 3+0:0:0:0:2, 2+0:0:0:0:1, 4+0:3:0:0:4, 4+0:4:0:0:4, 5+0:1:0:0:4, 7+0:3:0:0:6, 4+0:4:1:0:4, 4+0:2:0:0:4, 4+0:1:0:0:4, 5+0:0:0:0:4, 7+0:1:0:0:6, 7+0:2:0:0:6, 4+0:1:0:0:4, 5+0:2:0:0:5, 4+0:1:0:0:4, 4+0:2:0:0:4, 4+0:1:0:0:4, 4+0:2:0:0:4, 229+1:83:3:0:213
Cb major (7b), 4+0:1:0:0:4, 1+0:0:0:0:1, 4+0:1:0:0:4, 1+0:0:0:0:1, 4+0:1:0:0:4, 4+0:0:0:0:4, 5+0:1:0:0:5, 2+0:0:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:2, 7+0:0:0:0:4, 5+0:1:0:0:4, 5+0:0:0:0:4, 3+0:0:0:0:2, 1+0:0:0:0:1, 4+0:1:0:0:4, 1+0:0:0:0:1, 4+0:1:0:0:4, 7+0:1:0:0:6, 4+0:0:0:0:3, 2+0:0:0:0:1, 6+0:2:0:0:5, 4+0:0:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:2, 6+0:0:0:0:4, 6+0:0:0:0:5, 3+0:0:0:0:2, 4+0:0:0:0:2, 0+0:0:0:0:0, 1+0:0:0:0:1,  , 5+0:2:0:0:5, 4+0:0:0:0:2, 1+0:0:0:0:1, 0+0:0:0:0:0, 5+0:2:0:0:4, 4+0:0:0:0:2, 0+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:2, 7+0:0:0:0:4, 6+0:0:0:0:5, 6+0:0:0:0:5, 5+0:1:0:0:5, 3+0:0:0:0:2, 4+0:1:0:0:4, 2+0:0:0:0:1, 4+0:1:0:0:4, 2+0:0:0:0:1, 175+0:17:0:0:136
C# major (7#), 4+0:1:0:0:3, 3+0:2:0:0:3, 4+0:1:0:0:3, 3+0:2:0:0:3, 3+0:0:0:0:1, 6+0:2:0:0:4, 4+0:0:0:0:2, 4+0:2:0:0:4, 3+0:2:0:0:3, 6+1:3:0:0:5, 4+0:4:1:0:4, 4+0:2:0:0:3, 4+0:1:0:0:3, 6+0:0:0:0:3, 4+0:0:0:0:1, 5+0:0:0:0:3, 6+0:3:0:0:5, 0+0:0:0:0:0, 4+0:1:0:0:3, 3+0:2:0:0:3, 3+0:0:0:0:1, 7+0:0:0:0:2, 5+0:1:0:0:4, 5+0:3:0:0:4, 4+0:1:0:0:2, 7+0:3:0:0:6, 4+0:4:1:0:4, 4+0:2:0:0:3, 4+0:1:0:0:3, 5+0:0:0:0:3, 7+0:1:0:0:4, 5+0:2:0:0:5, 5+0:2:0:0:4, 0+0:0:0:0:0, 6+0:5:0:0:6,  , 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:3:0:0:3, 4+0:4:0:0:4, 4+0:1:0:0:2, 7+0:3:0:0:6, 4+0:4:1:0:4, 4+0:2:0:0:3, 4+0:1:0:0:3, 6+0:0:0:0:3, 7+0:1:0:0:4, 8+0:2:0:0:5, 5+0:1:0:0:3, 5+0:2:0:0:4, 4+0:1:0:0:3, 4+0:2:0:0:4, 4+0:1:0:0:3, 4+0:2:0:0:4, 235+1:83:3:0:168
Ab minor (7b), 3+0:1:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:2, 3+0:0:0:0:1, 4+0:1:0:0:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:1, 5+0:1:0:0:2, 4+0:0:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:2, 6+0:1:0:0:3, 3+0:0:0:0:1, 2+0:0:0:0:0, 6+0:2:0:0:3, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:0:0:0:1, 5+0:0:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0,  , 5+0:2:0:0:4, 4+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:2:0:0:3, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:0:0:0:1, 5+0:0:0:0:2, 5+0:0:0:0:2, 4+0:1:0:0:2, 2+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 150+0:17:0:0:42
