 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21
C major (0), C minor (3b), Eb major (3b), C minor (3b), F minor (4b), F minor (4b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), C minor (3b), F minor (4b), F minor (4b), F major (1b), F major (1b), F minor (4b), C minor (3b), C minor (3b), G minor (2b), C minor (3b), C minor (3b), C minor (3b)
A minor (0), D minor (1b), D minor (1b), C minor (3b), F minor (4b), F major (1b), C major (0), F major (1b), F major (1b), F major (1b), D minor (1b), C minor (3b), F minor (4b), F minor (4b), F major (1b), F major (1b), F minor (4b), C minor (3b), C minor (3b), D minor (1b), E minor (1#), E minor (1#), E minor (1#)
F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), F minor (4b), F minor (4b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), Bb major (2b), F minor (4b), F minor (4b), F major (1b), F major (1b), F minor (4b), C minor (3b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b)
G major (1#), Bb major (2b), Bb major (2b), Bb major (2b), Eb major (3b), G minor (2b), G minor (2b), G minor (2b), G minor (2b), C major (0), F major (1b), Bb major (2b), Eb major (3b), G minor (2b), G minor (2b), G minor (2b), C minor (3b), C minor (3b), C minor (3b), G minor (2b), G minor (2b), Bb major (2b), G minor (2b)
D minor (1b), D minor (1b), D minor (1b), F major (1b), F minor (4b), F minor (4b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F minor (4b), F minor (4b), F major (1b), F major (1b), F minor (4b), C minor (3b), C minor (3b), G minor (2b), G minor (2b), Bb major (2b), G minor (2b)
E minor (1#), E minor (1#), D minor (1b), E minor (1#), B major (5#), G# minor (5#), A minor (0), E minor (1#), E minor (1#), C major (0), D minor (1b), E minor (1#), B major (5#), G# minor (5#), G minor (2b), G minor (2b), C minor (3b), C minor (3b), C minor (3b), G minor (2b), E minor (1#), E minor (1#), E minor (1#)
Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Eb major (3b), Eb major (3b), Bb major (2b), F major (1b), F major (1b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), Eb major (3b), Bb major (2b), Bb major (2b), Eb major (3b), Eb major (3b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b)
D major (2#), D minor (1b), D minor (1b), D minor (1b), F minor (4b), F minor (4b), F major (1b), F major (1b), F major (1b), F major (1b), D minor (1b), D minor (1b), F minor (4b), F minor (4b), F major (1b), F major (1b), F minor (4b), C minor (3b), D minor (1b), D minor (1b), G minor (2b), D minor (1b), G minor (2b)
G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Eb major (3b), Eb major (3b), Bb major (2b), G minor (2b), G minor (2b), C minor (3b), Bb major (2b), Bb major (2b), Eb major (3b), Eb major (3b), Bb major (2b), Bb major (2b), Eb major (3b), C minor (3b), C minor (3b), G minor (2b), G minor (2b), Bb major (2b), Bb major (2b)
B minor (2#), F# major (6#), F# major (6#), F# major (6#), B major (5#), G# minor (5#), A minor (0), E minor (1#), E minor (1#), D minor (1b), D minor (1b), E minor (1#), B major (5#), G# minor (5#), D minor (1b), F major (1b), F minor (4b), C minor (3b), D minor (1b), B minor (2#), E minor (1#), E minor (1#), E minor (1#)
