 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, rowcost
Eb major (3b), 3+0:0:0:0:1, 2+0:0:0:0:2, 6+0:2:0:0:3, 1+0:0:0:0:0, 5+0:1:0:0:2, 0+0:0:0:0:0, 3+0:0:0:0:2, 2+0:0:0:0:1, 4+0:1:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:2, 12+4:1:0:2:6, 3+0:0:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:1, 4+0:0:0:0:0, 14+1:7:1:1:9, 12+2:1:0:1:4, 2+0:0:0:0:2, 6+0:2:0:0:3, 1+0:0:0:0:0, 5+0:1:0:0:2, 0+0:0:0:0:0, 3+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 104+7:16:1:4:52
A major (3#), 4+0:1:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:0, 2+0:1:0:0:0, 4+0:1:0:0:0, 4+0:2:0:0:2, 4+0:2:0:0:1, 2+0:0:0:0:0, 5+0:1:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 10+4:6:0:2:4, 3+0:0:0:0:0, 2+0:0:0:0:0, 6+0:2:0:0:1, 6+1:3:0:0:2, 9+1:1:1:1:2, 13+2:7:0:1:5, 2+0:0:0:0:0, 4+0:1:0:0:0, 2+0:1:0:0:0, 4+0:1:0:0:0, 4+0:2:0:0:2, 4+0:2:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 112+8:35:1:4:20
C minor (3b), 2+0:0:0:0:0, 1+0:0:0:0:0, 5+0:2:0:0:1, 2+0:0:0:0:0, 6+0:1:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 11+4:1:0:2:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 13+1:7:1:1:5, 13+2:1:0:1:3, 1+0:0:0:0:0, 5+0:2:0:0:1, 2+0:0:0:0:0, 6+0:1:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 96+7:16:1:4:16
F# minor (3#), 4+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:1, 2+0:1:0:0:2, 5+0:1:0:0:2, 4+0:2:0:0:3, 5+0:2:0:0:3, 3+0:0:0:0:1, 5+0:0:0:0:2, 3+0:0:0:0:1, 2+0:0:0:0:1, 4+0:0:0:0:2, 11+4:6:0:2:5, 4+0:0:0:0:2, 3+0:0:0:0:1, 6+0:2:0:0:4, 6+1:3:0:0:5, 8+1:1:0:1:3, 14+2:7:0:1:8, 3+0:0:0:0:1, 4+0:0:0:0:1, 2+0:1:0:0:2, 5+0:1:0:0:2, 4+0:2:0:0:3, 5+0:2:0:0:3, 3+0:0:0:0:1, 3+0:0:0:0:2, 125+8:31:0:4:63
Ab major (4b), 4+0:0:0:0:2, 2+0:0:0:0:2, 6+0:2:0:0:4, 2+0:0:0:0:1, 5+0:1:0:0:3, 0+0:0:0:0:0, 4+0:0:0:0:2, 2+0:0:0:0:2, 5+0:1:0:0:3, 3+0:0:0:0:2, 2+0:0:0:0:2, 4+0:0:0:0:3, 13+4:1:0:2:6, 4+0:0:0:0:3, 4+0:0:0:0:3, 3+0:0:0:0:2, 5+0:0:0:0:1, 15+1:7:1:1:10, 13+2:1:0:1:5, 2+0:0:0:0:2, 6+0:2:0:0:4, 2+0:0:0:0:1, 5+0:1:0:0:3, 0+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 121+7:16:1:4:72
E major (4#), 5+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 4+0:1:0:0:1, 4+0:2:0:0:2, 5+0:2:0:0:2, 2+0:0:0:0:0, 6+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 11+4:6:0:2:4, 4+0:0:0:0:0, 3+0:0:0:0:0, 7+0:2:0:0:2, 7+1:3:0:0:3, 10+1:1:1:1:3, 14+2:7:0:1:6, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 4+0:1:0:0:1, 4+0:2:0:0:2, 5+0:2:0:0:2, 3+0:0:0:0:0, 4+0:0:0:0:0, 127+8:31:1:4:30
F minor (4b), 4+0:0:0:0:0, 1+0:0:0:0:0, 6+0:2:0:0:2, 2+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 5+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 12+4:1:0:2:3, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:0:0:0, 15+1:7:1:1:6, 12+2:1:0:1:2, 1+0:0:0:0:0, 6+0:2:0:0:2, 2+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 111+7:16:1:4:18
C# minor (4#), 6+0:0:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:1, 3+0:1:0:0:2, 4+0:0:0:0:1, 4+0:2:0:0:4, 6+0:2:0:0:4, 2+0:0:0:0:2, 7+0:0:0:0:3, 3+0:0:0:0:2, 2+0:0:0:0:1, 5+0:0:0:0:3, 12+4:6:0:2:6, 5+0:0:0:0:3, 4+0:0:0:0:2, 7+0:2:0:0:5, 7+1:3:0:0:6, 11+1:1:1:1:4, 14+2:7:0:1:9, 3+0:0:0:0:2, 4+0:0:0:0:1, 3+0:1:0:0:2, 4+0:0:0:0:1, 4+0:2:0:0:4, 6+0:2:0:0:4, 3+0:0:0:0:2, 5+0:0:0:0:3, 141+8:29:1:4:81
Db major (5b), 5+0:0:0:0:3, 3+0:0:0:0:2, 6+0:2:0:0:5, 2+0:0:0:0:2, 6+0:1:0:0:3, 1+0:0:0:0:0, 5+0:0:0:0:3, 3+0:0:0:0:2, 6+0:1:0:0:4, 4+0:0:0:0:3, 3+0:0:0:0:2, 5+0:0:0:0:4, 14+4:1:0:2:8, 5+0:0:0:0:4, 5+0:0:0:0:4, 4+0:0:0:0:3, 6+0:0:0:0:3, 15+1:7:1:1:11, 12+2:1:0:1:6, 3+0:0:0:0:2, 6+0:2:0:0:5, 2+0:0:0:0:2, 6+0:1:0:0:3, 1+0:0:0:0:0, 5+0:0:0:0:3, 4+0:0:0:0:3, 4+0:0:0:0:3, 141+7:16:1:4:93
B major (5#), 6+0:0:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:1:0:0:2, 5+0:1:0:0:1, 4+0:2:0:0:2, 5+0:0:0:0:1, 3+0:0:0:0:0, 7+0:0:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:1, 12+4:6:0:2:4, 5+0:0:0:0:1, 4+0:0:0:0:0, 8+0:2:0:0:3, 8+1:3:0:0:4, 11+1:1:1:1:2, 14+2:7:0:1:7, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:1:0:0:2, 5+0:1:0:0:1, 4+0:2:0:0:2, 5+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:0:0:1, 147+8:27:1:4:37
Bb minor (5b), 5+0:1:0:0:2, 3+0:0:0:0:1, 5+0:2:0:0:3, 1+0:0:0:0:0, 5+0:1:0:0:1, 2+0:0:0:0:0, 6+0:0:0:0:1, 2+0:0:0:0:0, 5+0:1:0:0:2, 3+0:0:0:0:0, 2+0:0:0:0:1, 4+0:0:0:0:1, 13+4:1:0:2:5, 4+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:0:0:0, 14+1:7:1:1:8, 13+2:1:0:1:3, 3+0:0:0:0:1, 5+0:2:0:0:3, 1+0:0:0:0:0, 5+0:1:0:0:1, 2+0:0:0:0:0, 6+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:1, 127+7:17:1:4:38
G# minor (5#), 6+0:0:0:0:3, 2+0:0:0:0:2, 5+0:0:0:0:2, 4+0:1:0:0:3, 5+0:1:0:0:3, 3+0:2:0:0:3, 5+0:0:0:0:4, 3+0:0:0:0:2, 7+0:0:0:0:4, 4+0:0:0:0:3, 2+0:0:0:0:1, 5+0:0:0:0:4, 13+4:6:0:2:8, 5+0:0:0:0:4, 4+0:0:0:0:3, 8+0:2:0:0:6, 8+1:3:0:0:7, 12+1:1:1:1:4, 14+2:7:0:1:10, 2+0:0:0:0:2, 5+0:0:0:0:2, 4+0:1:0:0:3, 5+0:1:0:0:3, 3+0:2:0:0:3, 5+0:0:0:0:4, 4+0:0:0:0:3, 5+0:0:0:0:4, 148+8:27:1:4:100
Gb major (6b), 5+0:0:0:0:4, 4+0:0:0:0:3, 7+0:2:0:0:5, 2+0:0:0:0:2, 6+0:1:0:0:4, 2+0:0:0:0:1, 5+0:0:0:0:4, 4+0:0:0:0:3, 7+0:1:0:0:5, 5+0:0:0:0:4, 3+0:1:1:0:3, 6+0:0:0:0:5, 15+4:1:0:2:9, 6+0:0:0:0:5, 6+0:0:0:0:5, 5+0:0:0:0:4, 7+0:0:0:0:4, 15+1:7:1:1:12, 12+2:1:0:1:7, 4+0:0:0:0:3, 7+0:2:0:0:5, 2+0:0:0:0:2, 6+0:1:0:0:4, 2+0:0:0:0:1, 5+0:0:0:0:4, 5+0:0:0:0:4, 5+0:0:0:0:4, 158+7:17:2:4:116
F# major (6#), 6+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:1, 4+0:1:0:0:2, 6+0:1:0:0:2, 4+0:2:0:0:3, 6+0:0:0:0:1, 4+0:0:0:0:1, 7+0:0:0:0:2, 5+0:0:0:0:1, 3+0:0:0:0:1, 6+0:0:0:0:2, 13+4:6:0:2:5, 6+0:0:0:0:2, 5+0:0:0:0:1, 8+0:2:0:0:4, 8+1:3:0:0:5, 10+1:1:0:1:3, 15+2:7:0:1:8, 3+0:0:0:0:1, 4+0:0:0:0:1, 4+0:1:0:0:2, 6+0:1:0:0:2, 4+0:2:0:0:3, 6+0:0:0:0:1, 5+0:0:0:0:1, 5+0:0:0:0:2, 160+8:27:0:4:59
Eb minor (6b), 4+0:0:0:0:1, 4+0:0:0:0:2, 7+0:2:0:0:3, 1+0:0:0:0:0, 6+0:1:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:2, 4+0:0:0:0:1, 6+0:1:0:0:2, 4+0:0:0:0:1, 3+0:1:1:0:1, 5+0:0:0:0:2, 14+4:1:0:2:6, 5+0:0:0:0:2, 5+0:0:0:0:2, 4+0:0:0:0:1, 6+0:0:0:0:0, 14+1:7:1:1:9, 11+2:1:0:1:4, 4+0:0:0:0:2, 7+0:2:0:0:3, 1+0:0:0:0:0, 6+0:1:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:1, 141+7:17:2:4:52
D# minor (6#), 6+0:0:0:0:4, 3+0:0:0:0:2, 4+0:0:0:0:3, 4+0:1:0:0:4, 7+0:1:0:0:4, 4+0:2:0:0:4, 6+0:0:0:0:4, 4+0:0:0:0:3, 7+0:0:0:0:5, 5+0:0:0:0:4, 3+0:0:0:0:3, 6+0:0:0:0:5, 13+4:6:0:2:9, 6+0:0:0:0:5, 5+0:0:0:0:4, 8+0:2:0:0:7, 8+1:3:0:0:8, 11+1:1:0:0:5, 16+2:7:0:1:12, 3+0:0:0:0:2, 4+0:0:0:0:3, 4+0:1:0:0:4, 7+0:1:0:0:4, 4+0:2:0:0:4, 6+0:0:0:0:4, 5+0:0:0:0:4, 5+0:0:0:0:5, 164+8:27:0:3:125
Cb major (7b), 6+0:0:0:0:4, 4+0:0:0:0:4, 7+0:2:0:0:6, 3+0:0:0:0:2, 6+0:1:0:0:5, 2+0:0:0:0:2, 6+0:0:0:0:3, 4+0:0:0:0:4, 8+0:1:0:0:6, 5+0:0:0:0:5, 3+0:1:1:0:3, 7+0:0:0:0:6, 15+4:1:0:2:9, 7+0:0:0:0:6, 6+0:0:0:0:6, 6+0:0:0:0:5, 8+0:0:0:0:5, 15+1:7:1:1:13, 13+2:1:0:1:8, 4+0:0:0:0:4, 7+0:2:0:0:6, 3+0:0:0:0:2, 6+0:1:0:0:5, 2+0:0:0:0:2, 6+0:0:0:0:3, 5+0:0:0:0:5, 6+0:0:0:0:5, 170+7:17:2:4:134
C# major (7#), 7+0:0:0:0:2, 4+0:0:0:0:2, 5+0:0:0:0:1, 4+0:1:0:0:2, 6+0:0:0:0:1, 4+0:2:0:0:4, 7+0:0:0:0:3, 4+0:0:0:0:2, 8+0:0:0:0:3, 5+0:0:0:0:2, 3+0:0:0:0:1, 7+0:0:0:0:3, 14+4:6:0:2:6, 7+0:0:0:0:3, 6+0:0:0:0:2, 8+0:2:0:0:5, 8+1:3:0:0:6, 11+1:1:0:1:4, 15+2:7:0:1:9, 4+0:0:0:0:2, 5+0:0:0:0:1, 4+0:1:0:0:2, 6+0:0:0:0:1, 4+0:2:0:0:4, 7+0:0:0:0:3, 5+0:0:0:0:2, 6+0:0:0:0:3, 174+8:25:0:4:79
Ab minor (7b), 5+0:0:0:0:2, 3+0:0:0:0:2, 7+0:2:0:0:4, 3+0:0:0:0:1, 5+0:1:0:0:3, 1+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:2, 7+0:1:0:0:3, 4+0:0:0:0:2, 2+0:1:1:0:2, 6+0:0:0:0:3, 14+4:1:0:2:6, 6+0:0:0:0:3, 5+0:0:0:0:3, 5+0:0:0:0:2, 7+0:0:0:0:1, 15+1:7:1:1:10, 14+2:1:0:1:5, 3+0:0:0:0:2, 7+0:2:0:0:4, 3+0:0:0:0:1, 5+0:1:0:0:3, 1+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:2, 5+0:0:0:0:2, 150+7:17:2:4:70
A# minor (7#), 7+0:0:0:0:3, 4+0:0:0:0:3, 5+0:0:0:0:3, 3+0:1:0:0:3, 6+0:0:0:0:4, 4+0:2:0:0:4, 7+0:0:0:0:5, 4+0:0:0:0:4, 8+0:0:0:0:5, 5+0:0:0:0:5, 3+0:0:0:0:2, 7+0:0:0:0:6, 14+4:6:0:2:10, 7+0:0:0:0:6, 6+0:0:0:0:5, 8+0:2:0:0:7, 7+1:3:0:0:7, 12+1:1:0:1:6, 15+2:7:0:1:13, 4+0:0:0:0:3, 5+0:0:0:0:3, 3+0:1:0:0:3, 6+0:0:0:0:4, 4+0:2:0:0:4, 7+0:0:0:0:5, 5+0:0:0:0:5, 6+0:0:0:0:5, 172+8:25:0:4:133
