 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, rowcost
C major (0), 3+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:0:0:1, 2+0:0:0:0:0, 6+0:0:1:0:2, 5+0:0:1:0:2, 4+1:0:0:0:1, 75+1:0:2:0:11
A minor (0), 3+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:1, 5+0:0:0:0:2, 5+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:2, 2+0:0:0:0:0, 5+0:0:0:0:2, 5+0:0:0:0:2, 3+0:0:0:0:2, 6+0:0:1:0:5, 6+0:0:1:0:4, 3+1:0:0:0:2, 90+1:0:2:0:33
F major (1b), 3+0:0:1:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 1+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 3+0:2:0:0:2, 2+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 5+0:0:1:0:1, 4+0:0:1:0:1, 5+1:1:0:0:1, 62+1:9:3:0:12
G major (1#), 2+0:2:0:0:0, 3+0:2:0:0:1, 2+0:2:0:0:0, 0+0:0:0:0:0, 3+0:3:0:0:0, 0+0:0:0:0:0, 2+0:2:0:0:0, 2+0:2:0:0:0, 1+0:1:0:0:0, 1+0:0:1:0:1, 2+0:2:0:0:0, 2+0:2:0:0:0, 3+0:1:0:0:0, 4+0:2:0:0:1, 2+0:1:0:0:0, 3+0:2:0:0:0, 5+0:3:0:0:0, 6+0:3:0:0:0, 3+0:2:0:0:0, 2+0:0:0:0:0, 3+0:2:0:0:0, 3+0:1:0:0:1, 5+0:3:0:0:0, 6+0:3:0:0:0, 3+0:2:0:0:0, 7+0:6:1:0:3, 5+0:5:1:0:3, 5+1:2:0:0:1, 85+1:56:3:0:11
D minor (1b), 3+0:1:1:0:1, 1+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:1, 2+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:2:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:0, 3+0:2:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 5+0:1:0:0:1, 1+0:0:0:0:0, 2+0:1:0:0:0, 3+0:0:0:0:1, 3+0:1:0:0:0, 4+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:1:0:4, 5+0:0:1:0:3, 6+1:1:0:0:1, 76+1:12:3:0:18
E minor (1#), 1+0:0:0:0:0, 4+0:1:0:0:1, 2+0:2:0:0:2, 0+0:0:0:0:0, 2+0:2:0:0:2, 0+0:0:0:0:0, 2+0:2:0:0:2, 2+0:2:0:0:2, 2+0:0:0:0:0, 2+0:0:1:0:1, 2+0:2:0:0:2, 2+0:2:0:0:2, 4+0:1:0:0:1, 5+0:1:0:0:1, 2+0:1:0:0:1, 3+0:2:0:0:2, 6+0:3:0:0:3, 7+0:3:0:0:3, 4+0:2:0:0:2, 2+0:0:0:0:0, 3+0:2:0:0:2, 4+0:1:0:0:1, 6+0:3:0:0:3, 7+0:3:0:0:3, 3+0:2:0:0:2, 7+0:6:1:0:6, 5+0:5:1:0:5, 6+1:2:0:0:2, 95+1:50:3:0:51
Bb major (2b), 2+0:0:1:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:1:0:0:2, 2+0:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 0+0:0:0:0:0, 4+0:2:0:0:2, 1+0:0:0:0:0, 5+0:1:0:0:2, 2+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 4+0:0:1:0:0, 3+0:0:1:0:1, 4+1:1:0:0:2, 49+1:8:3:0:13
D major (2#), 2+0:2:0:0:0, 3+0:2:0:0:1, 3+0:2:0:0:0, 0+0:0:0:0:0, 4+0:3:0:0:1, 0+0:0:0:0:0, 2+0:2:0:0:0, 2+0:2:0:0:0, 2+0:0:0:0:0, 2+0:0:1:0:1, 2+0:2:0:0:0, 2+0:2:0:0:0, 4+0:1:0:0:0, 5+0:1:0:0:1, 3+0:1:0:0:0, 4+0:2:0:0:0, 6+0:3:0:0:1, 7+0:3:0:0:1, 3+0:2:0:0:0, 1+0:0:0:0:0, 4+0:2:0:0:1, 2+0:1:0:0:0, 6+0:3:0:0:1, 7+0:3:0:0:1, 4+0:2:0:0:1, 7+0:6:1:0:4, 6+0:5:1:0:3, 6+1:2:0:0:1, 99+1:54:3:0:18
G minor (2b), 1+0:0:1:0:1, 2+0:1:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:1:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 5+0:2:0:0:1, 3+0:0:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:0, 5+0:0:1:0:3, 3+0:0:1:0:3, 5+1:1:0:0:1, 58+1:8:5:0:11
B minor (2#), 1+0:0:0:0:0, 4+0:1:0:0:2, 3+0:2:0:0:2, 0+0:0:0:0:0, 4+0:2:0:0:2, 1+0:0:0:0:0, 2+0:2:0:0:2, 2+0:2:0:0:2, 3+0:0:0:0:0, 3+0:0:1:0:0, 3+0:2:0:0:2, 2+0:2:0:0:2, 5+0:1:0:0:2, 5+0:1:0:0:2, 4+0:1:0:0:2, 5+0:2:0:0:3, 6+0:3:0:0:4, 7+0:3:0:0:4, 3+0:2:0:0:3, 2+0:0:0:0:1, 4+0:2:0:0:3, 2+0:0:0:0:0, 6+0:3:0:0:4, 7+0:3:0:0:4, 4+0:2:0:0:3, 7+0:6:1:0:7, 6+0:5:1:0:5, 6+1:2:0:0:3, 107+1:49:3:0:64
