 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, rowcost
Eb major (3b), 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:0, 2+0:1:0:0:1, 3+0:2:0:0:2, 1+0:0:1:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 7+0:1:2:2:3, 1+0:0:0:0:0, 4+0:1:0:0:3, 3+0:1:0:0:2, 1+0:0:0:0:1, 1+0:0:0:0:0, 3+0:1:0:0:1, 0+0:0:0:0:0, 3+0:1:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:0, 2+0:1:0:0:1, 3+0:2:0:0:2, 1+0:0:1:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 7+0:1:2:2:3, 1+0:0:0:0:0, 5+0:1:0:0:3, 3+0:1:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 84+0:16:6:4:34
A major (3#), 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 2+0:1:0:0:0, 4+0:1:0:0:0, 3+0:0:0:0:0, 6+0:3:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+0:2:1:0:1, 4+0:2:0:0:1, 3+0:0:0:0:0, 8+0:7:2:2:5, 4+0:1:0:0:0, 5+0:1:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 2+0:1:0:0:0, 4+0:1:0:0:0, 3+0:0:0:0:0, 6+0:3:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:2:1:0:1, 5+0:3:0:0:2, 3+0:0:0:0:0, 8+0:7:2:2:5, 4+0:1:0:0:0, 5+0:1:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:0, 4+0:2:0:0:1, 2+0:0:0:0:0, 125+0:43:6:4:22
C minor (3b), 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:1:0:0:1, 3+0:2:0:0:1, 2+0:0:1:0:1, 4+0:0:0:0:0, 3+0:0:0:0:1, 7+0:1:2:2:5, 2+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:1:0:0:1, 3+0:2:0:0:1, 2+0:0:1:0:1, 4+0:0:0:0:0, 3+0:0:0:0:1, 7+0:1:2:2:5, 2+0:0:0:0:0, 4+0:1:0:0:1, 3+0:1:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 97+0:16:6:4:22
F# minor (3#), 1+0:0:0:0:1, 2+0:0:0:0:2, 3+0:1:0:0:2, 2+0:1:0:0:1, 5+0:1:0:0:2, 4+0:0:0:0:2, 6+0:3:0:0:3, 1+0:0:0:0:0, 2+0:0:0:0:1, 4+0:2:1:0:3, 4+0:2:0:0:3, 4+0:0:0:0:1, 8+0:7:2:2:5, 4+0:1:0:0:3, 6+0:1:0:0:3, 4+0:0:0:0:2, 5+0:1:0:0:3, 2+0:0:0:0:2, 3+0:1:0:0:2, 2+0:1:0:0:1, 5+0:1:0:0:2, 4+0:0:0:0:2, 6+0:3:0:0:3, 1+0:0:0:0:0, 2+0:0:0:0:1, 5+0:2:1:0:4, 5+0:3:0:0:4, 4+0:0:0:0:1, 8+0:7:2:2:5, 4+0:1:0:0:3, 6+0:1:0:0:3, 4+0:0:0:0:2, 5+0:1:0:0:3, 4+0:2:0:0:4, 2+0:0:0:0:2, 137+0:43:6:4:81
Ab major (4b), 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:1:0:0:2, 1+0:0:0:0:0, 3+0:1:0:0:3, 2+0:0:0:0:2, 2+0:0:0:0:1, 3+0:1:0:0:2, 4+0:2:0:0:3, 2+0:0:1:0:0, 2+0:0:0:0:1, 3+0:0:0:0:2, 7+0:1:2:2:3, 2+0:0:0:0:0, 5+0:1:0:0:3, 3+0:1:0:0:3, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:1:0:0:2, 1+0:0:0:0:0, 3+0:1:0:0:3, 2+0:0:0:0:2, 2+0:0:0:0:1, 3+0:1:0:0:2, 4+0:2:0:0:3, 2+0:0:1:0:0, 2+0:0:0:0:1, 3+0:0:0:0:2, 7+0:1:2:2:3, 2+0:0:0:0:0, 5+0:1:0:0:4, 3+0:1:0:0:3, 2+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:1, 95+0:16:6:4:57
E major (4#), 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:0:0:0:0, 6+0:3:0:0:3, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:2:1:0:2, 4+0:2:0:0:2, 3+0:0:0:0:0, 7+0:7:2:2:5, 5+0:1:0:0:1, 6+0:1:0:0:1, 3+0:0:0:0:0, 5+0:1:0:0:1, 3+0:0:0:0:0, 3+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:0:0:0:0, 6+0:3:0:0:3, 2+0:0:0:0:0, 3+0:0:0:0:0, 6+0:2:1:0:2, 5+0:3:0:0:3, 3+0:0:0:0:0, 7+0:7:2:2:5, 5+0:1:0:0:1, 5+0:1:0:0:1, 3+0:0:0:0:0, 5+0:1:0:0:1, 5+0:2:0:0:2, 2+0:0:0:0:0, 140+0:43:6:4:39
F minor (4b), 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 4+0:2:0:0:2, 2+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 7+0:1:2:2:5, 2+0:0:0:0:0, 4+0:1:0:0:1, 2+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 1+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 4+0:2:0:0:2, 2+0:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 7+0:1:2:2:5, 2+0:0:0:0:0, 4+0:1:0:0:1, 2+0:1:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 87+0:16:6:4:26
C# minor (4#), 1+0:0:0:0:0, 3+0:0:0:0:2, 3+0:1:0:0:2, 3+0:1:0:0:2, 4+0:1:0:0:3, 3+0:0:0:0:3, 6+0:3:0:0:4, 2+0:0:0:0:1, 3+0:0:0:0:1, 5+0:2:1:0:4, 4+0:2:0:0:4, 3+0:0:0:0:3, 7+0:7:2:2:5, 5+0:1:0:0:3, 7+0:1:0:0:4, 3+0:0:0:0:2, 5+0:1:0:0:4, 3+0:0:0:0:2, 3+0:1:0:0:2, 3+0:1:0:0:2, 4+0:1:0:0:3, 3+0:0:0:0:3, 6+0:3:0:0:4, 2+0:0:0:0:1, 3+0:0:0:0:1, 6+0:2:1:0:5, 5+0:3:0:0:5, 3+0:0:0:0:3, 7+0:7:2:2:5, 5+0:1:0:0:3, 6+0:1:0:0:4, 3+0:0:0:0:2, 5+0:1:0:0:4, 5+0:2:0:0:4, 2+0:0:0:0:2, 141+0:43:6:4:102
Db major (5b), 1+0:0:0:0:1, 2+0:0:0:0:2, 2+0:1:0:0:2, 2+0:0:0:0:1, 4+0:1:0:0:3, 3+0:0:0:0:2, 3+0:0:0:0:2, 4+0:1:0:0:3, 4+0:2:0:0:4, 3+0:0:1:0:1, 3+0:0:0:0:1, 4+0:0:0:0:2, 7+0:1:2:2:2, 3+0:0:0:0:1, 6+0:1:0:0:4, 3+0:1:0:0:3, 3+0:0:0:0:2, 2+0:0:0:0:2, 2+0:1:0:0:2, 2+0:0:0:0:1, 4+0:1:0:0:3, 3+0:0:0:0:2, 3+0:0:0:0:2, 4+0:1:0:0:3, 4+0:2:0:0:4, 3+0:0:1:0:1, 3+0:0:0:0:1, 4+0:0:0:0:2, 7+0:1:2:2:2, 3+0:0:0:0:1, 6+0:1:0:0:4, 3+0:1:0:0:3, 3+0:0:0:0:2, 3+0:0:0:0:2, 1+0:0:0:0:1, 117+0:16:6:4:74
B major (5#), 2+0:0:0:0:0, 4+0:0:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 5+0:1:0:0:1, 4+0:0:0:0:1, 7+0:3:0:0:3, 3+0:0:0:0:0, 4+0:0:0:0:0, 5+0:2:1:0:2, 5+0:2:0:0:3, 4+0:0:0:0:1, 7+0:7:2:2:5, 5+0:1:0:0:2, 6+0:1:0:0:2, 4+0:0:0:0:1, 5+0:1:0:0:2, 4+0:0:0:0:1, 4+0:1:0:0:1, 3+0:1:0:0:1, 5+0:1:0:0:1, 4+0:0:0:0:1, 7+0:3:0:0:3, 3+0:0:0:0:0, 4+0:0:0:0:0, 6+0:2:1:0:3, 6+0:3:0:0:4, 4+0:0:0:0:1, 7+0:7:2:2:5, 5+0:1:0:0:2, 6+0:1:0:0:2, 4+0:0:0:0:1, 5+0:1:0:0:2, 6+0:2:0:0:3, 3+0:0:0:0:1, 163+0:43:6:4:58
