 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, rowcost
C locrian (0), 0+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:1:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:1:0:2, 0+0:0:0:0:0, 8+0:0:1:0:2, 2+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 4+0:0:0:0:1, 11+0:0:3:0:3, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:1, 8+0:0:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 10+0:0:3:0:4, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 7+0:0:1:0:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 7+0:0:0:0:0, 0+0:0:0:0:0, 112+0:0:10:1:25
F major (1b), 1+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:1:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:1:0:2, 0+0:0:0:0:0, 8+0:0:1:0:2, 3+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:1, 5+0:0:0:0:1, 11+0:0:3:0:4, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:1:0:1, 7+0:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 10+0:0:3:0:4, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 0+0:0:0:0:0, 8+0:0:1:0:2, 1+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 8+0:0:0:0:0, 1+0:0:0:0:0, 141+0:0:10:1:27
G major (1#), 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:1:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:0:0:0, 5+0:0:1:0:2, 2+0:0:0:0:0, 8+0:0:1:0:3, 2+0:0:1:0:1, 6+0:0:0:0:1, 5+0:0:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:1, 7+0:0:0:0:1, 11+0:0:2:0:3, 2+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:1, 9+0:0:0:0:2, 4+0:0:0:0:0, 5+0:0:0:0:1, 3+0:0:0:0:0, 10+0:0:2:0:3, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:0:0:1, 1+0:0:0:0:0, 7+0:0:1:0:2, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 7+0:0:1:0:1, 3+0:0:0:0:0, 204+0:0:10:1:28
D minor (1b), 2+0:0:0:0:0, 0+0:0:0:0:0, 5+0:3:0:1:1, 1+0:0:0:0:0, 3+0:0:0:0:1, 4+0:1:0:0:1, 4+0:0:1:0:2, 0+0:0:0:0:0, 8+0:0:1:0:5, 4+0:1:0:0:0, 5+0:2:0:0:0, 3+0:1:1:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 6+0:1:0:0:0, 1+0:0:0:0:0, 4+0:1:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 6+0:3:0:0:0, 12+0:1:3:0:7, 2+0:0:0:0:0, 4+0:0:0:0:0, 4+0:2:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:0, 3+0:0:1:0:1, 8+0:0:0:0:2, 2+0:0:0:0:1, 4+0:0:0:0:1, 2+0:0:0:0:0, 11+0:1:3:0:7, 3+0:1:0:0:0, 3+0:1:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:1, 3+0:1:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 8+0:0:1:0:5, 2+0:0:0:0:0, 3+0:0:0:0:0, 0+0:0:0:0:0, 9+0:1:0:0:1, 2+0:0:0:0:0, 175+0:22:11:1:46
E minor (1#), 3+0:1:0:0:1, 3+0:1:0:0:1, 5+0:2:0:1:3, 3+0:1:0:0:1, 5+0:2:0:0:2, 6+0:3:0:0:3, 5+0:5:1:0:5, 3+0:1:0:0:1, 8+0:5:1:0:5, 3+0:1:1:0:2, 6+0:1:0:0:1, 6+0:2:0:0:2, 2+0:1:0:0:1, 6+0:1:0:0:1, 5+0:2:0:0:2, 2+0:1:0:0:1, 5+0:2:0:0:2, 4+0:3:0:0:3, 4+0:4:0:0:4, 8+0:2:0:0:2, 11+0:6:2:0:7, 3+0:2:0:0:2, 5+0:2:0:0:2, 6+0:1:0:0:1, 4+0:2:0:0:2, 5+0:1:0:0:1, 2+0:1:0:0:1, 4+0:3:1:0:3, 10+0:4:0:0:4, 4+0:3:0:0:3, 5+0:3:0:0:3, 4+0:2:0:0:2, 10+0:5:2:0:6, 3+0:2:0:0:2, 5+0:1:0:0:1, 3+0:1:0:0:1, 3+0:1:0:0:1, 5+0:3:0:0:3, 3+0:2:0:0:2, 4+0:2:0:0:2, 5+0:3:0:0:3, 4+0:3:0:0:3, 5+0:3:0:0:3, 2+0:0:0:0:0, 7+0:6:1:0:6, 2+0:1:0:0:1, 4+0:2:0:0:2, 3+0:1:0:0:1, 7+0:4:1:0:4, 4+0:1:0:0:1, 234+0:112:10:1:116
D minor mel (1b), 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:3:0:1:1, 2+0:0:0:0:0, 4+0:0:0:0:1, 5+0:1:0:0:1, 5+0:0:1:0:2, 1+0:0:0:0:0, 8+0:1:1:0:6, 3+0:1:0:0:0, 6+0:2:0:0:0, 4+0:1:1:0:1, 2+0:0:0:0:0, 5+0:0:0:0:0, 6+0:1:0:0:0, 2+0:0:0:0:0, 5+0:1:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:1, 7+0:3:0:0:0, 12+0:1:2:0:6, 3+0:0:0:0:0, 5+0:0:0:0:0, 5+0:2:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:1:0:0:0, 4+0:0:1:0:1, 9+0:0:0:0:2, 3+0:0:0:0:1, 5+0:0:0:0:1, 3+0:0:0:0:0, 11+0:1:2:0:6, 4+0:1:0:0:0, 4+0:1:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 4+0:1:0:0:0, 4+0:0:0:0:1, 4+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:0, 7+0:0:1:0:5, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 8+0:1:0:0:1, 3+0:0:0:0:0, 211+0:23:9:1:45
E minor mel (1#), 4+0:1:0:0:1, 3+0:1:0:0:1, 6+0:2:0:1:3, 4+0:1:0:0:1, 6+0:2:0:0:2, 6+0:3:0:0:3, 5+0:4:1:0:4, 3+0:1:0:0:1, 8+0:5:1:0:5, 4+0:1:1:0:2, 7+0:1:0:0:1, 6+0:2:1:0:3, 3+0:1:0:0:1, 7+0:1:0:0:1, 6+0:2:0:0:2, 3+0:1:0:0:1, 6+0:2:0:0:2, 4+0:3:0:0:3, 4+0:3:0:0:3, 9+0:2:0:0:2, 12+0:6:2:0:7, 4+0:2:0:0:2, 6+0:2:0:0:2, 7+0:1:0:0:1, 5+0:2:0:0:2, 6+0:1:0:0:1, 3+0:1:0:0:1, 5+0:3:1:0:3, 11+0:4:0:0:4, 4+0:3:0:0:3, 6+0:3:0:0:3, 5+0:2:0:0:2, 11+0:5:2:0:6, 4+0:2:0:0:2, 6+0:1:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 5+0:3:0:0:3, 4+0:2:0:0:2, 5+0:2:0:0:2, 6+0:3:0:0:3, 4+0:3:0:0:3, 4+0:3:0:0:3, 3+0:0:0:0:0, 7+0:6:1:0:6, 3+0:1:0:0:1, 5+0:2:0:0:2, 3+0:1:0:0:1, 8+0:4:1:0:4, 5+0:1:0:0:1, 268+0:110:11:1:115
F major blues (1b), 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:3:0:1:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:1:0:1, 2+0:0:0:0:0, 9+0:0:1:0:1, 3+0:1:0:0:1, 6+0:1:0:0:1, 4+0:1:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:0, 6+0:1:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 7+0:1:0:0:1, 11+0:2:3:1:5, 3+0:0:0:0:0, 5+0:0:0:0:0, 6+0:1:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:1:0:0:1, 5+0:0:1:0:1, 10+0:1:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 10+0:2:3:1:5, 4+0:1:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 8+0:0:1:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 9+0:0:0:0:0, 3+0:0:0:0:0, 214+0:17:10:3:26
G major blues (1#), 3+0:1:0:0:0, 2+0:0:0:0:0, 6+0:1:0:1:1, 3+0:0:0:0:0, 5+0:1:0:0:0, 6+0:3:0:0:1, 6+0:3:1:0:2, 2+0:0:0:0:0, 9+0:5:1:0:3, 5+0:1:0:0:0, 7+0:1:0:0:1, 6+0:1:0:0:0, 3+0:1:0:0:0, 6+0:1:0:0:0, 6+0:2:0:0:0, 2+0:0:0:0:0, 6+0:2:0:0:0, 4+0:2:0:0:1, 5+0:2:0:0:1, 8+0:1:0:0:1, 12+0:8:3:1:7, 3+0:1:0:0:0, 6+0:1:0:0:0, 6+0:0:0:0:1, 4+0:1:0:0:0, 5+0:1:0:0:0, 3+0:1:0:0:0, 4+0:2:1:0:1, 10+0:2:0:0:1, 4+0:2:0:0:1, 6+0:2:0:0:1, 4+0:1:0:0:0, 11+0:7:3:1:7, 4+0:1:0:0:0, 5+0:2:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:0, 4+0:2:0:0:1, 4+0:1:0:0:0, 4+0:2:0:0:0, 5+0:2:0:0:1, 4+0:2:0:0:1, 5+0:2:0:0:1, 2+0:0:0:0:0, 8+0:6:1:0:3, 3+0:1:0:0:0, 5+0:1:0:0:0, 2+0:0:0:0:0, 9+0:4:1:0:2, 4+0:1:0:0:0, 252+0:85:11:3:39
D minor blues (1b), 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:3:0:1:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:1:0:1, 2+0:0:0:0:0, 9+0:0:1:0:1, 3+0:1:0:0:1, 6+0:1:0:0:1, 4+0:1:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:0, 6+0:1:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 7+0:1:0:0:1, 11+0:2:3:1:5, 3+0:0:0:0:0, 5+0:0:0:0:0, 6+0:1:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:1:0:0:1, 5+0:0:1:0:1, 10+0:1:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 10+0:2:3:1:5, 4+0:1:0:0:1, 4+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:1, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 1+0:0:0:0:0, 8+0:0:1:0:1, 2+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 9+0:0:0:0:0, 3+0:0:0:0:0, 214+0:17:10:3:26
