 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, rowcost
C major (0), 0+0:0:0:0:0, 11+0:0:1:0:3, 1+0:0:0:0:0, 9+0:0:0:0:1, 6+0:0:1:0:2, 8+2:0:0:0:5, 3+0:0:0:0:2, 1+0:0:0:0:1, 3+0:0:0:0:1, 5+0:0:0:0:4, 3+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:0:0:0:3, 6+1:0:0:0:1, 4+0:0:0:0:1, 6+0:0:0:0:3, 5+0:0:0:0:1, 7+1:0:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 99+4:0:2:0:33
A minor (0), 0+0:0:0:0:0, 11+0:0:1:0:6, 1+0:0:0:0:1, 9+0:0:0:0:4, 6+0:0:1:0:4, 7+2:0:0:0:4, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:3, 5+0:0:0:0:3, 5+0:0:0:0:3, 6+0:0:0:0:1, 7+1:0:0:0:2, 5+0:0:0:0:1, 7+0:0:0:0:1, 5+0:0:0:0:1, 7+1:0:0:0:3, 2+0:0:0:0:2, 2+0:0:0:0:2, 102+4:0:2:0:43
F major (1b), 0+0:0:0:0:0, 10+0:0:1:0:1, 1+0:0:0:0:0, 8+0:0:0:0:0, 5+0:0:1:0:1, 9+2:4:0:0:4, 3+0:3:0:0:3, 2+0:1:0:0:1, 3+0:2:0:0:2, 6+0:5:0:0:5, 4+0:3:0:0:3, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:3:0:0:3, 5+1:2:0:0:2, 3+0:1:0:0:1, 7+0:4:0:0:4, 5+0:2:1:0:3, 6+1:2:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 95+4:32:3:0:35
G major (1#), 1+0:0:0:0:0, 12+0:8:1:0:4, 2+0:1:0:0:0, 10+0:6:0:0:1, 6+0:5:1:0:3, 8+2:4:0:0:6, 2+0:0:0:0:1, 1+0:0:0:0:0, 2+0:1:0:0:0, 4+0:0:0:0:3, 2+0:0:0:0:2, 5+0:4:0:0:2, 5+0:4:0:0:1, 5+0:4:0:0:1, 4+0:0:0:0:1, 5+1:3:0:0:1, 5+0:2:0:0:0, 7+0:0:0:0:2, 6+0:2:0:0:0, 6+1:4:0:0:3, 3+0:2:0:0:1, 3+0:2:0:0:1, 104+4:52:2:0:33
D minor (1b), 0+0:0:0:0:0, 11+0:0:1:0:5, 2+0:0:0:0:0, 9+0:0:0:0:3, 6+0:0:1:0:3, 9+2:4:0:0:4, 2+0:2:0:0:0, 1+0:0:0:0:0, 2+0:2:0:0:0, 5+0:4:0:0:2, 4+0:3:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 4+0:1:0:0:0, 4+1:1:0:0:1, 4+0:0:0:0:0, 8+0:3:0:0:2, 6+0:1:1:0:1, 7+1:2:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 102+4:23:3:0:35
E minor (1#), 1+0:0:0:0:0, 13+0:8:1:0:8, 3+0:1:0:0:1, 11+0:6:0:0:6, 6+0:5:1:0:5, 7+2:4:0:0:4, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 5+0:4:0:0:4, 5+0:4:0:0:4, 5+0:4:0:0:4, 5+0:0:0:0:0, 6+1:3:0:0:3, 6+0:2:0:0:2, 8+0:0:0:0:0, 6+0:2:0:0:2, 6+1:4:0:0:4, 3+0:2:0:0:2, 3+0:2:0:0:2, 111+4:51:2:0:51
Bb major (2b), 0+0:0:0:0:0, 9+0:0:1:0:2, 0+0:0:0:0:0, 7+0:0:0:0:1, 4+0:0:1:0:1, 10+2:4:0:0:5, 3+0:3:0:0:3, 3+0:1:0:0:2, 4+0:2:0:0:2, 7+0:5:0:0:6, 4+0:3:0:0:4, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:3:0:0:4, 4+1:2:0:0:2, 4+0:1:0:0:1, 8+0:4:0:0:5, 4+0:2:1:0:2, 5+1:2:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 92+4:32:3:0:42
D major (2#), 1+0:0:0:0:0, 13+0:8:1:0:5, 3+0:1:0:0:0, 11+0:6:0:0:3, 7+0:5:1:0:3, 8+2:4:0:0:4, 1+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:2, 2+0:0:0:0:2, 6+0:4:0:0:2, 6+0:4:0:0:2, 6+0:4:0:0:2, 3+0:0:0:0:1, 4+1:3:0:0:1, 6+0:2:0:0:0, 8+0:0:0:0:2, 7+0:2:0:0:0, 7+1:4:0:0:2, 4+0:2:0:0:2, 4+0:2:0:0:2, 111+4:51:2:0:35
G minor (2b), 1+0:0:0:0:0, 10+0:0:1:0:4, 1+0:0:0:0:0, 8+0:0:0:0:1, 4+0:0:1:0:3, 10+2:4:0:0:6, 2+0:2:0:0:1, 3+0:1:0:0:0, 3+0:1:0:0:0, 6+0:4:0:0:3, 3+0:2:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:1, 3+0:0:0:0:1, 5+0:2:0:0:0, 3+1:1:0:0:1, 5+0:1:0:0:0, 9+0:3:0:0:2, 5+0:1:1:0:1, 4+1:1:0:0:3, 3+0:0:0:0:1, 3+0:0:0:0:1, 97+4:23:3:0:33
B minor (2#), 1+0:0:0:0:1, 13+0:8:1:0:9, 4+0:1:0:0:2, 11+0:6:0:0:7, 8+0:5:1:0:6, 7+2:4:0:0:4, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 7+0:4:0:0:5, 6+0:4:0:0:5, 6+0:4:0:0:5, 4+0:0:0:0:0, 5+1:3:0:0:3, 7+0:2:0:0:3, 9+0:0:0:0:2, 8+0:2:0:0:3, 8+1:4:0:0:4, 4+0:2:0:0:3, 4+0:2:0:0:3, 120+4:51:2:0:65
