 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, rowcost
C major (0), 1+0:0:0:0:0, 5+2:0:1:1:2, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 2+1:0:1:0:2, 1+0:0:0:0:0, 3+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:3, 2+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 3+0:0:0:0:1, 7+2:0:1:2:3, 3+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 6+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 62+5:0:3:3:21
A minor (0), 2+0:0:0:0:0, 6+2:0:1:1:3, 4+0:0:0:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 3+1:0:1:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:1, 8+2:0:1:2:4, 4+0:0:0:0:1, 3+0:0:0:0:0, 0+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 7+0:0:0:0:2, 3+0:0:0:0:0, 2+0:0:0:0:0, 77+5:0:3:3:16
F major (1b), 1+0:1:0:0:1, 6+2:1:1:1:3, 3+0:1:0:0:1, 3+0:1:0:0:1, 2+0:1:0:0:1, 2+1:2:1:0:2, 2+0:1:0:0:1, 4+0:2:0:0:2, 1+0:1:0:0:1, 2+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:4:0:0:4, 3+0:1:0:0:1, 2+0:1:0:0:1, 3+0:2:0:0:2, 2+0:1:0:0:1, 0+0:0:0:0:0, 3+0:2:0:0:2, 8+2:1:1:2:4, 3+0:1:0:0:1, 3+0:1:0:0:1, 2+0:1:0:0:1, 4+0:1:0:0:1, 2+0:2:0:0:2, 2+0:0:0:0:0, 2+0:1:0:0:1, 1+0:0:0:0:0, 5+0:1:0:0:1, 3+0:2:0:0:2, 1+0:1:0:0:1, 82+5:35:3:3:40
G major (1#), 0+0:0:0:0:0, 4+2:4:1:1:2, 2+0:1:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 3+1:0:1:0:2, 0+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:0:0:2, 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:1, 6+2:6:1:2:3, 2+0:1:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 4+0:1:0:0:1, 1+0:0:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:1, 0+0:0:0:0:0, 5+0:3:0:0:1, 1+0:0:0:0:1, 0+0:0:0:0:0, 50+5:17:3:3:18
D minor (1b), 1+0:1:0:0:0, 6+2:1:1:1:3, 4+0:1:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 3+1:2:1:0:1, 3+0:1:0:0:0, 5+0:2:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:3:0:0:1, 2+0:1:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:2:0:0:1, 8+2:1:1:2:4, 4+0:1:0:0:0, 3+0:1:0:0:0, 2+0:1:0:0:0, 5+0:1:0:0:2, 3+0:1:0:0:0, 2+0:0:0:0:1, 3+0:1:0:0:0, 2+0:0:0:0:0, 6+0:1:0:0:1, 3+0:2:0:0:0, 2+0:1:0:0:0, 94+5:31:3:3:14
E minor (1#), 0+0:0:0:0:0, 5+2:4:1:1:3, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 4+1:0:1:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 7+2:6:1:2:4, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 0+0:0:0:0:0, 5+0:3:0:0:3, 2+0:0:0:0:0, 1+0:0:0:0:0, 76+5:17:3:3:15
Bb major (2b), 1+0:1:0:0:1, 6+2:1:1:1:3, 4+0:1:0:0:1, 4+0:1:0:0:2, 3+0:1:0:0:2, 3+1:2:1:0:2, 3+0:1:0:0:2, 5+0:2:0:0:3, 2+0:1:0:0:1, 2+0:1:0:0:2, 1+0:0:0:0:1, 2+0:0:0:0:1, 6+0:4:0:0:5, 4+0:1:0:0:2, 3+0:1:0:0:2, 4+0:2:0:0:3, 3+0:1:0:0:2, 1+0:0:0:0:0, 3+0:2:0:0:2, 8+2:1:1:2:4, 4+0:1:0:0:1, 4+0:1:0:0:2, 3+0:1:0:0:2, 5+0:1:0:0:2, 3+0:2:0:0:2, 2+0:0:0:0:1, 3+0:1:0:0:2, 2+0:0:0:0:1, 4+0:1:0:0:2, 4+0:2:0:0:3, 2+0:1:0:0:1, 104+5:35:3:3:60
D major (2#), 0+0:0:0:0:0, 4+2:4:1:1:3, 3+0:1:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 4+1:0:1:0:1, 1+0:0:0:0:0, 3+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 6+2:6:1:2:4, 3+0:1:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 5+0:1:0:0:2, 2+0:0:0:0:0, 2+0:1:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 6+0:3:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 62+5:17:3:3:14
G minor (2b), 0+0:0:0:0:0, 5+2:0:1:1:2, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:1, 4+1:2:1:0:2, 2+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 5+0:3:0:0:2, 3+0:1:0:0:0, 4+0:1:0:0:1, 3+0:1:0:0:0, 3+0:1:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 7+2:0:1:2:3, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:1, 6+0:1:0:0:1, 2+0:1:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:1:0:0:1, 1+0:0:0:0:0, 92+5:17:3:3:18
B minor (2#), 1+0:0:0:0:0, 4+2:4:1:1:3, 4+0:1:0:0:1, 1+0:0:0:0:1, 3+0:0:0:0:1, 5+1:0:1:0:2, 2+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+2:6:1:2:4, 4+0:1:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 6+0:1:0:0:2, 3+0:0:0:0:0, 2+0:1:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 7+0:3:0:0:3, 1+0:0:0:0:0, 2+0:0:0:0:0, 80+5:17:3:3:25
