 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, rowcost
C major (0), 1+0:0:0:0:0, 3+0:0:1:0:2, 3+0:0:1:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:1:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:2, 0+0:0:0:0:0, 24+0:0:3:1:10
A minor (0), 1+0:0:0:0:0, 4+0:0:1:0:1, 4+0:0:1:0:3, 4+0:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:1, 2+0:0:0:1:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:1, 0+0:0:0:0:0, 30+0:0:3:1:9
A minor mel (0), 2+0:0:0:0:0, 4+0:0:1:0:1, 5+0:0:1:0:3, 5+0:0:0:0:2, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:1, 2+0:0:0:1:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:0:1:0:1, 1+0:0:0:0:0, 39+0:0:3:1:9
C major blues (0), 3+0:0:0:0:0, 4+0:0:1:0:2, 5+0:0:1:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:0, 5+0:0:0:1:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:2, 3+0:0:0:0:0, 49+0:0:3:1:10
A minor blues (0), 3+0:0:0:0:0, 4+0:0:1:0:2, 5+0:0:1:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 5+0:0:0:0:0, 5+0:0:0:1:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:1:0:2, 3+0:0:0:0:0, 49+0:0:3:1:10
C dorian (0), 2+0:0:0:0:0, 3+0:0:1:0:2, 4+0:0:1:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:1:2, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:2, 1+0:0:0:0:0, 33+0:0:3:1:10
C phrygian (0), 0+0:0:0:0:0, 3+0:0:1:0:2, 3+0:0:1:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:1:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:2, 1+0:0:0:0:0, 24+0:0:3:1:10
C lydian (0), 2+0:0:0:0:0, 3+0:0:1:0:2, 4+0:0:1:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:1:2, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:2, 1+0:0:0:0:0, 33+0:0:3:1:10
C mixolydian (0), 0+0:0:0:0:0, 3+0:0:1:0:2, 3+0:0:1:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:1:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:2, 1+0:0:0:0:0, 24+0:0:3:1:10
C aeolian (0), 1+0:0:0:0:0, 3+0:0:1:0:2, 3+0:0:1:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:1:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:2, 0+0:0:0:0:0, 24+0:0:3:1:10
C locrian (0), 1+0:0:0:0:0, 4+0:0:1:0:2, 4+0:0:1:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:0:1:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:2, 2+0:0:0:0:0, 35+0:0:3:1:10
F major (1b), 0+0:0:0:0:0, 3+0:0:1:0:2, 3+0:0:1:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:1:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:2, 1+0:0:0:0:0, 24+0:0:3:1:10
G major (1#), 2+0:0:0:0:0, 3+0:0:1:0:2, 4+0:0:1:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:1:2, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:2, 1+0:0:0:0:0, 33+0:0:3:1:10
D minor (1b), 0+0:0:0:0:0, 2+0:1:1:0:1, 4+0:0:1:0:3, 3+0:0:0:0:1, 0+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:0:0:0, 5+0:3:0:1:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 0+0:0:0:0:0, 2+0:1:1:0:1, 1+0:0:0:0:0, 26+0:5:3:1:7
E minor (1#), 3+0:1:0:0:1, 3+0:0:1:0:1, 5+0:3:1:0:3, 5+0:3:0:0:3, 4+0:1:0:0:1, 3+0:0:0:0:0, 4+0:2:0:0:2, 4+0:0:0:1:1, 0+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 3+0:0:1:0:1, 2+0:0:0:0:0, 42+0:11:3:1:14
D minor mel (1b), 1+0:0:0:0:0, 2+0:1:1:0:1, 4+0:0:1:0:3, 4+0:0:0:0:1, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 4+0:3:0:1:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:1:0:1, 0+0:0:0:0:0, 26+0:5:3:1:7
E minor mel (1#), 3+0:1:0:0:1, 2+0:0:1:0:1, 6+0:3:1:0:3, 6+0:3:0:0:3, 3+0:1:0:0:1, 2+0:0:0:0:0, 5+0:2:0:0:2, 5+0:0:0:1:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:1:0:1, 2+0:0:0:0:0, 44+0:11:3:1:14
F major blues (1b), 3+0:0:0:0:0, 5+0:2:1:0:2, 5+0:0:1:0:1, 4+0:0:0:0:0, 4+0:1:0:0:1, 4+0:1:0:0:1, 5+0:0:0:0:0, 5+0:3:0:1:2, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:2:1:0:2, 3+0:0:0:0:0, 52+0:9:3:1:9
G major blues (1#), 2+0:0:0:0:0, 3+0:0:1:0:1, 5+0:3:1:0:2, 5+0:2:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:1:0:0:0, 5+0:0:0:1:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 43+0:6:3:1:7
D minor blues (1b), 3+0:0:0:0:0, 5+0:2:1:0:2, 5+0:0:1:0:1, 4+0:0:0:0:0, 4+0:1:0:0:1, 4+0:1:0:0:1, 5+0:0:0:0:0, 5+0:3:0:1:2, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:2:1:0:2, 3+0:0:0:0:0, 52+0:9:3:1:9
E minor blues (1#), 2+0:0:0:0:0, 3+0:0:1:0:1, 5+0:3:1:0:2, 5+0:2:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 5+0:1:0:0:0, 5+0:0:0:1:2, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:1, 2+0:0:0:0:0, 43+0:6:3:1:7
F dorian (1b), 1+0:0:0:0:0, 3+0:0:1:0:2, 3+0:0:1:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:1:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:2, 0+0:0:0:0:0, 24+0:0:3:1:10
G dorian (1#), 2+0:1:0:0:0, 2+0:1:1:0:1, 5+0:3:1:0:2, 5+0:3:0:0:1, 2+0:1:0:0:0, 2+0:0:0:0:0, 4+0:2:0:0:0, 4+0:0:0:1:2, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:0, 2+0:1:1:0:1, 1+0:0:0:0:0, 35+0:13:3:1:7
F phrygian (1b), 1+0:0:0:0:0, 4+0:0:1:0:2, 4+0:0:1:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:0:1:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:2, 2+0:0:0:0:0, 35+0:0:3:1:10
G phrygian (1#), 1+0:0:0:0:0, 3+0:0:1:0:2, 3+0:0:1:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:1:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:2, 0+0:0:0:0:0, 24+0:0:3:1:10
F lydian (1b), 1+0:0:0:0:0, 3+0:0:1:0:2, 3+0:0:1:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:1:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:2, 0+0:0:0:0:0, 24+0:0:3:1:10
G lydian (1#), 2+0:1:0:0:0, 2+0:1:1:0:1, 5+0:3:1:0:2, 5+0:3:0:0:1, 2+0:1:0:0:0, 2+0:0:0:0:0, 4+0:2:0:0:0, 4+0:0:0:1:2, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:0, 2+0:1:1:0:1, 1+0:0:0:0:0, 35+0:13:3:1:7
F mixolydian (1b), 1+0:0:0:0:0, 4+0:0:1:0:2, 4+0:0:1:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:0:1:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:2, 2+0:0:0:0:0, 35+0:0:3:1:10
G mixolydian (1#), 1+0:0:0:0:0, 3+0:0:1:0:2, 3+0:0:1:0:1, 3+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:0, 3+0:0:0:1:2, 0+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:1:0:2, 0+0:0:0:0:0, 24+0:0:3:1:10
F aeolian (1b), 0+0:0:0:0:0, 3+0:0:1:0:2, 3+0:0:1:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:1:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:2, 1+0:0:0:0:0, 24+0:0:3:1:10
G aeolian (1#), 2+0:0:0:0:0, 3+0:0:1:0:2, 4+0:0:1:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:0:0:1:2, 0+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:1:0:2, 1+0:0:0:0:0, 33+0:0:3:1:10
F locrian (1b), 2+0:0:0:0:0, 5+0:2:1:0:2, 5+0:0:1:0:1, 2+0:0:0:0:0, 3+0:1:0:0:1, 4+0:1:0:0:1, 5+0:0:0:0:0, 5+0:3:0:1:2, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 5+0:2:1:0:2, 3+0:0:0:0:0, 47+0:9:3:1:9
G locrian (1#), 0+0:0:0:0:0, 3+0:0:1:0:2, 3+0:0:1:0:1, 2+0:0:0:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:1:2, 1+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 3+0:0:1:0:2, 1+0:0:0:0:0, 24+0:0:3:1:10
Bb major (2b), 1+0:0:0:0:0, 4+0:0:1:0:2, 4+0:0:1:0:1, 1+0:0:0:0:1, 2+0:0:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:0:1:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+0:0:1:0:2, 2+0:0:0:0:0, 35+0:0:3:1:10
D major (2#), 2+0:1:0:0:0, 2+0:1:1:0:1, 5+0:3:1:0:2, 5+0:3:0:0:1, 2+0:1:0:0:0, 2+0:0:0:0:0, 4+0:2:0:0:0, 4+0:0:0:1:2, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:0, 2+0:1:1:0:1, 1+0:0:0:0:0, 35+0:13:3:1:7
G minor (2b), 2+0:0:0:0:0, 4+0:2:1:0:1, 5+0:0:1:0:2, 2+0:0:0:0:1, 3+0:1:0:0:0, 4+0:1:0:0:0, 5+0:0:0:0:0, 5+0:3:0:1:2, 2+0:0:0:0:0, 3+0:1:0:0:0, 2+0:0:0:0:0, 4+0:2:1:0:1, 3+0:0:0:0:0, 44+0:10:3:1:7
