 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, rowcost
Eb major (3b), 4+0:0:0:0:1, 4+0:1:0:0:3, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:1:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:1:0:0:1, 4+0:2:0:0:4, 2+0:0:0:0:1, 2+0:0:0:0:1, 2+0:1:0:0:1, 3+0:1:0:0:2, 3+0:0:0:0:0, 1+0:0:0:0:1, 1+0:0:0:0:1, 3+0:1:0:0:2, 3+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:2, 3+0:1:0:0:2, 2+0:0:0:0:1, 2+0:0:0:0:1, 67+0:9:0:0:40
A major (3#), 6+0:3:0:0:2, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 4+0:1:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+0:3:0:0:3, 2+0:0:0:0:0, 3+0:1:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 67+0:10:0:0:6
C minor (3b), 5+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:0:0:0:0, 2+0:1:0:0:1, 3+0:2:0:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:0, 2+0:1:0:0:0, 3+0:0:0:0:1, 0+0:0:0:0:0, 2+0:0:0:0:0, 3+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 2+0:0:0:0:0, 59+0:9:0:0:8
F# minor (3#), 7+0:3:0:0:5, 2+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:2, 4+0:1:0:0:2, 3+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:2, 5+0:1:0:0:3, 2+0:0:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:1, 1+0:0:0:0:1, 1+0:0:0:0:1, 5+0:3:0:0:5, 2+0:0:0:0:1, 4+0:1:0:0:2, 2+0:0:0:0:0, 4+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:2, 4+0:1:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:1, 85+0:10:0:0:45
Ab major (4b), 5+0:0:0:0:2, 5+0:1:0:0:4, 4+0:0:0:0:3, 4+0:0:0:0:3, 4+0:0:0:0:3, 4+0:1:0:0:3, 3+0:0:0:0:2, 4+0:0:0:0:3, 3+0:0:0:0:2, 3+0:0:0:0:2, 2+0:1:0:0:2, 5+0:2:0:0:4, 3+0:0:0:0:2, 2+0:0:0:0:2, 3+0:1:0:0:2, 4+0:1:0:0:3, 4+0:0:0:0:1, 2+0:0:0:0:1, 2+0:0:0:0:1, 3+0:1:0:0:3, 4+0:0:0:0:3, 3+0:0:0:0:2, 4+0:0:0:0:3, 4+0:1:0:0:3, 3+0:0:0:0:2, 2+0:0:0:0:2, 89+0:9:0:0:63
E major (4#), 7+0:3:0:0:3, 2+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:1:0:0:1, 4+0:0:0:0:0, 4+0:0:0:0:0, 4+0:0:0:0:0, 5+0:1:0:0:1, 2+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+0:0:0:0:0, 6+0:3:0:0:3, 3+0:0:0:0:0, 4+0:1:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 4+0:0:0:0:0, 4+0:1:0:0:1, 4+0:0:0:0:0, 2+0:0:0:0:0, 89+0:10:0:0:10
F minor (4b), 4+0:0:0:0:0, 4+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:1, 4+0:2:0:0:2, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+0:1:0:0:1, 4+0:1:0:0:1, 5+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 2+0:1:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:0, 3+0:0:0:0:0, 3+0:1:0:0:1, 3+0:0:0:0:0, 1+0:0:0:0:0, 72+0:9:0:0:9
C# minor (4#), 7+0:3:0:0:6, 3+0:0:0:0:1, 5+0:0:0:0:3, 4+0:0:0:0:2, 5+0:0:0:0:3, 4+0:1:0:0:3, 5+0:0:0:0:3, 5+0:0:0:0:3, 5+0:0:0:0:3, 5+0:1:0:0:4, 2+0:0:0:0:2, 3+0:0:0:0:0, 3+0:0:0:0:2, 2+0:0:0:0:2, 2+0:0:0:0:1, 3+0:0:0:0:1, 6+0:3:0:0:5, 4+0:0:0:0:2, 4+0:1:0:0:3, 1+0:0:0:0:1, 5+0:0:0:0:3, 3+0:0:0:0:2, 5+0:0:0:0:3, 4+0:1:0:0:3, 5+0:0:0:0:3, 2+0:0:0:0:2, 102+0:10:0:0:66
Db major (5b), 6+0:0:0:0:3, 6+0:1:0:0:5, 5+0:0:0:0:4, 5+0:0:0:0:4, 5+0:0:0:0:4, 5+0:1:0:0:4, 4+0:0:0:0:3, 5+0:0:0:0:4, 4+0:0:0:0:3, 4+0:0:0:0:3, 2+0:1:0:0:2, 5+0:2:0:0:5, 4+0:0:0:0:3, 3+0:0:0:0:2, 3+0:1:0:0:3, 4+0:1:0:0:4, 3+0:0:0:0:2, 3+0:0:0:0:2, 3+0:0:0:0:2, 4+0:1:0:0:3, 5+0:0:0:0:4, 4+0:0:0:0:3, 5+0:0:0:0:4, 5+0:1:0:0:4, 4+0:0:0:0:3, 3+0:0:0:0:2, 109+0:9:0:0:85
B major (5#), 8+0:3:0:0:4, 3+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:0:0:1, 5+0:1:0:0:2, 5+0:0:0:0:1, 5+0:0:0:0:1, 5+0:0:0:0:1, 6+0:1:0:0:2, 3+0:0:0:0:1, 1+0:0:0:0:0, 4+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 3+0:0:0:0:0, 7+0:3:0:0:4, 3+0:0:0:0:1, 4+0:1:0:0:1, 2+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:0, 5+0:0:0:0:1, 5+0:1:0:0:2, 5+0:0:0:0:1, 3+0:0:0:0:0, 111+0:10:0:0:25
Bb minor (5b), 5+0:0:0:0:0, 5+0:1:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:0:0:0:1, 4+0:1:0:0:1, 3+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:0, 1+0:1:0:0:1, 5+0:2:0:0:3, 3+0:0:0:0:0, 2+0:0:0:0:0, 2+0:1:0:0:1, 3+0:1:0:0:2, 2+0:0:0:0:0, 3+0:0:0:0:1, 3+0:0:0:0:0, 3+0:1:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:0, 4+0:0:0:0:1, 4+0:1:0:0:1, 3+0:0:0:0:1, 2+0:0:0:0:0, 86+0:9:0:0:22
G# minor (5#), 8+0:3:0:0:7, 3+0:0:0:0:2, 5+0:0:0:0:4, 4+0:0:0:0:3, 5+0:0:0:0:4, 5+0:1:0:0:4, 5+0:0:0:0:4, 5+0:0:0:0:4, 5+0:0:0:0:4, 6+0:1:0:0:5, 3+0:0:0:0:2, 1+0:0:0:0:1, 4+0:0:0:0:3, 3+0:0:0:0:2, 4+0:0:0:0:2, 4+0:0:0:0:2, 7+0:3:0:0:6, 3+0:0:0:0:3, 4+0:1:0:0:4, 2+0:0:0:0:1, 5+0:0:0:0:4, 4+0:0:0:0:3, 5+0:0:0:0:4, 5+0:1:0:0:4, 5+0:0:0:0:4, 3+0:0:0:0:2, 113+0:10:0:0:88
Gb major (6b), 7+0:0:0:0:4, 6+0:1:0:0:6, 6+0:0:0:0:5, 6+0:0:0:0:5, 6+0:0:0:0:5, 5+0:1:0:0:5, 5+0:0:0:0:4, 6+0:0:0:0:5, 5+0:0:0:0:4, 5+0:0:0:0:4, 3+0:1:0:0:2, 5+0:2:0:0:5, 5+0:0:0:0:4, 4+0:0:0:0:3, 4+0:1:0:0:3, 5+0:1:0:0:3, 4+0:0:0:0:2, 3+0:0:0:0:3, 4+0:0:0:0:3, 4+0:1:0:0:4, 6+0:0:0:0:5, 5+0:0:0:0:4, 6+0:0:0:0:5, 5+0:1:0:0:5, 5+0:0:0:0:4, 4+0:0:0:0:3, 129+0:9:0:0:105
F# major (6#), 9+0:3:0:0:5, 4+0:0:0:0:0, 6+0:0:0:0:2, 5+0:0:0:0:1, 6+0:0:0:0:2, 6+0:1:0:0:2, 5+0:0:0:0:2, 6+0:0:0:0:2, 5+0:0:0:0:2, 7+0:1:0:0:3, 3+0:0:0:0:2, 2+0:0:0:0:0, 5+0:0:0:0:1, 4+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 7+0:3:0:0:5, 3+0:0:0:0:1, 5+0:1:0:0:2, 3+0:0:0:0:0, 6+0:0:0:0:2, 5+0:0:0:0:1, 6+0:0:0:0:2, 6+0:1:0:0:2, 5+0:0:0:0:2, 4+0:0:0:0:1, 129+0:10:0:0:45
Eb minor (6b), 6+0:0:0:0:1, 5+0:1:0:0:3, 5+0:0:0:0:2, 5+0:0:0:0:2, 5+0:0:0:0:2, 4+0:1:0:0:2, 4+0:0:0:0:1, 5+0:0:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:1, 3+0:1:0:0:1, 4+0:2:0:0:4, 4+0:0:0:0:1, 4+0:0:0:0:1, 3+0:1:0:0:1, 4+0:1:0:0:1, 3+0:0:0:0:0, 2+0:0:0:0:1, 3+0:0:0:0:1, 4+0:1:0:0:2, 5+0:0:0:0:2, 4+0:0:0:0:1, 5+0:0:0:0:2, 4+0:1:0:0:2, 4+0:0:0:0:1, 4+0:0:0:0:1, 107+0:9:0:0:39
D# minor (6#), 9+0:3:0:0:8, 5+0:0:0:0:3, 6+0:0:0:0:5, 5+0:0:0:0:4, 6+0:0:0:0:5, 7+0:1:0:0:5, 5+0:0:0:0:5, 6+0:0:0:0:5, 5+0:0:0:0:5, 7+0:1:0:0:6, 3+0:0:0:0:3, 2+0:0:0:0:1, 5+0:0:0:0:4, 4+0:0:0:0:3, 3+0:0:0:0:3, 3+0:0:0:0:3, 7+0:3:0:0:7, 3+0:0:0:0:3, 5+0:1:0:0:4, 4+0:0:0:0:2, 6+0:0:0:0:5, 5+0:0:0:0:4, 6+0:0:0:0:5, 7+0:1:0:0:5, 5+0:0:0:0:5, 4+0:0:0:0:3, 133+0:10:0:0:111
Cb major (7b), 8+0:0:0:0:5, 6+0:1:0:0:6, 7+0:0:0:0:5, 6+0:0:0:0:6, 7+0:0:0:0:5, 6+0:1:0:0:5, 6+0:0:0:0:5, 7+0:0:0:0:6, 6+0:0:0:0:5, 6+0:0:0:0:5, 4+0:1:0:0:3, 5+0:2:0:0:5, 5+0:0:0:0:5, 4+0:0:0:0:4, 4+0:1:0:0:4, 5+0:1:0:0:4, 5+0:0:0:0:3, 4+0:0:0:0:3, 4+0:0:0:0:4, 4+0:1:0:0:4, 7+0:0:0:0:5, 5+0:0:0:0:5, 7+0:0:0:0:5, 6+0:1:0:0:5, 6+0:0:0:0:5, 4+0:0:0:0:4, 144+0:9:0:0:121
C# major (7#), 9+0:3:0:0:6, 5+0:0:0:0:1, 7+0:0:0:0:3, 6+0:0:0:0:2, 7+0:0:0:0:3, 6+0:1:0:0:3, 6+0:0:0:0:3, 7+0:0:0:0:3, 6+0:0:0:0:3, 7+0:1:0:0:4, 3+0:0:0:0:2, 3+0:0:0:0:0, 5+0:0:0:0:2, 4+0:0:0:0:2, 3+0:0:0:0:1, 4+0:0:0:0:1, 7+0:3:0:0:5, 4+0:0:0:0:2, 5+0:1:0:0:3, 3+0:0:0:0:1, 7+0:0:0:0:3, 5+0:0:0:0:2, 7+0:0:0:0:3, 6+0:1:0:0:3, 6+0:0:0:0:3, 4+0:0:0:0:2, 142+0:10:0:0:66
Ab minor (7b), 7+0:0:0:0:2, 5+0:1:0:0:4, 6+0:0:0:0:2, 5+0:0:0:0:3, 6+0:0:0:0:2, 5+0:1:0:0:3, 5+0:0:0:0:2, 6+0:0:0:0:3, 5+0:0:0:0:2, 5+0:0:0:0:2, 4+0:1:0:0:2, 5+0:2:0:0:4, 4+0:0:0:0:2, 3+0:0:0:0:2, 4+0:1:0:0:2, 5+0:1:0:0:2, 6+0:0:0:0:1, 3+0:0:0:0:1, 3+0:0:0:0:1, 3+0:1:0:0:3, 6+0:0:0:0:2, 4+0:0:0:0:2, 6+0:0:0:0:2, 5+0:1:0:0:3, 5+0:0:0:0:2, 3+0:0:0:0:2, 124+0:9:0:0:58
A# minor (7#), 9+0:3:0:0:9, 5+0:0:0:0:4, 7+0:0:0:0:6, 6+0:0:0:0:5, 7+0:0:0:0:6, 6+0:1:0:0:6, 6+0:0:0:0:5, 7+0:0:0:0:6, 6+0:0:0:0:5, 7+0:1:0:0:7, 4+0:0:0:0:3, 4+0:0:0:0:2, 5+0:0:0:0:5, 4+0:0:0:0:4, 3+0:0:0:0:3, 4+0:0:0:0:3, 7+0:3:0:0:7, 4+0:0:0:0:3, 5+0:1:0:0:5, 3+0:0:0:0:3, 7+0:0:0:0:6, 5+0:0:0:0:5, 7+0:0:0:0:6, 6+0:1:0:0:6, 6+0:0:0:0:5, 4+0:0:0:0:4, 144+0:10:0:0:129
