name,KSgt,KSest,notes,err,success
1p64c,0,-1,388,8,97.94
2RfYc,0,-2,447,22,95.08
3RfYc,0,-1,490,12,97.55
3zn4c,0,-2,980,36,96.33
6Cbwc,0,-3,530,16,96.98
73bwc,0,-5,680,22,96.76
7RfYc,0,-5,599,12,98.00
7XTyc,0,-2,552,17,96.92
9RfYc,0,-4,384,4,98.96
9THwc,,0,362,17,95.30
BRfYc,0,-2,459,9,98.04
D3fYc,0,-3,434,7,98.39
FRfYc,0,-5,958,169,82.36
GRfYc-Shaw-Nuff,0,-2,516,16,96.90
KRfYc,0,-1,473,9,98.10
LRfYc,0,-3,536,4,99.25
N3fYc,0,-3,495,15,96.97
N8swc,0,-2,758,27,96.44
Nqn4c,0,-1,390,7,98.21
PRfYc,0,-1,490,11,97.76
Pq3yc,0,-4,477,17,96.44
Q6Ryc,0,-1,549,11,98.00
QRfYc,,0,371,10,97.30
Qrqyc,0,-1,439,16,96.36
Rln4c,0,-5,473,9,98.10
S1swc,0,-1,332,16,95.18
S5VYc,0,-1,734,20,97.28
SRfYc,0,-2,480,12,97.50
V3fYc,0,-1,1029,49,95.24
WG3yc,0,-2,567,23,95.94
WRfYc,0,-5,593,15,97.47
WS64c,,0,491,22,95.52
cXbwc,0,-4,705,39,94.47
gRfYc-Segment,0,-5,700,29,95.86
lTXyc,0,-3,738,23,96.88
mRfYc,0,-2,528,9,98.30
mTHyc,0,-2,347,11,96.83
myn4c,,0,778,29,96.27
nRfYc,0,-2,466,21,95.49
nvJyc,0,-1,512,12,97.66
rCn4c,0,-1,454,8,98.24
rRfYc,0,-1,395,7,98.23
t66yc,0,-1,355,8,97.75
tCfYc,0,-2,889,26,97.08
tRfYc,,-1,509,15,97.05
vRfYc,0,-3,476,13,97.27
wkTyc,,0,552,19,96.56
wv3wc,0,-4,771,75,90.27
xRfYc,0,-2,511,5,99.02
yp3wc,0,-1,829,23,97.23
,50,6,27971,1032,nan
,,12,,,96.31
