name,KSgt,KSest,notes,err,success
1p64c,0,-1,326,8,97.55
2RfYc,0,-2,378,21,94.44
3RfYc,0,-1,408,22,94.61
3zn4c,0,-2,799,34,95.74
6Cbwc,0,-3,446,7,98.43
73bwc,0,-5,565,10,98.23
7RfYc,0,-5,510,16,96.86
7XTyc,0,-2,455,19,95.82
9RfYc,0,-1,329,5,98.48
9THwc,,0,308,10,96.75
BRfYc,0,-2,373,14,96.25
D3fYc,0,-1,340,10,97.06
FRfYc,0,-5,428,97,77.34
GRfYc-Shaw-Nuff,0,-2,414,19,95.41
KRfYc,0,-1,395,28,92.91
LRfYc,0,-3,432,6,98.61
N3fYc,,0,426,17,96.01
N8swc,0,-2,610,21,96.56
Nqn4c,0,-1,333,9,97.30
PRfYc,0,-1,424,12,97.17
Pq3yc,0,-4,402,8,98.01
Q6Ryc,0,-1,460,12,97.39
QRfYc,,0,315,10,96.83
Qrqyc,0,-1,366,17,95.36
Rln4c,0,-5,403,7,98.26
S1swc,0,-1,291,16,94.50
S5VYc,0,-1,586,20,96.59
SRfYc,0,-2,386,16,95.85
V3fYc,0,-1,883,58,93.43
WG3yc,0,-2,487,21,95.69
WRfYc,0,-2,513,17,96.69
WS64c,,0,419,33,92.12
cXbwc,0,-4,596,11,98.15
gRfYc-Segment,0,-5,584,29,95.03
lTXyc,0,-3,334,23,93.11
mRfYc,0,-2,430,8,98.14
mTHyc,0,-2,293,12,95.90
myn4c,,0,633,34,94.63
nRfYc,0,-2,390,19,95.13
nvJyc,0,-1,415,14,96.63
rCn4c,0,-1,375,10,97.33
rRfYc,0,-1,324,6,98.15
t66yc,0,-1,296,17,94.26
tCfYc,0,-2,758,33,95.65
tRfYc,-1,-2,437,15,96.57
vRfYc,0,-3,398,9,97.74
wkTyc,,0,475,21,95.58
wv3wc,0,-4,647,69,89.34
xRfYc,0,-2,421,9,97.86
yp3wc,0,-1,682,23,96.63
,50,6,22698,982,nan
,,12,,,95.67
